Date,01,10,14,25,26,27,28,32,45,46,47,49,52,63,68,73,77,79,86,93,16,22,31,38,41,96,62,69,82,23,43,72,94,18,20,24,61,70,17,74
2020-02-01,354476.88773,69636.38616,,15547.00156,,61621.86435,47274.8676,9662.69527,660.03882,398811.46398,226811.32409,7681.61829,7027.78006,,18928.87331,16745.72144,20317.04309,14954.42284,68781.38951,,4022.84153,15273.70854,11504.65978,816.85614,,,3014.66667,,0.02004,16.70071,976.24969,703.91189,,,,,,,,
2020-03-01,355842.1549,62757.55013,,15235.12962,,61394.97381,80525.38842,9519.68641,658.04107,401197.45016,227837.66917,15606.5312,7019.8429,127.69373,18297.11431,13721.70478,18879.41366,12728.42638,68708.30916,,4018.68853,15457.72631,11680.60911,2075.43775,,,150.18033,,,16.70071,975.02013,7.37022,,,,,,,,
2020-04-01,425745.9253,73686.09135,0.08041,23767.2065,,64541.44746,108354.42599,10880.98216,591.26087,358803.49198,213396.21398,16244.20082,7027.78006,157.78034,16903.30043,16112.74543,20263.23384,12608.16638,68380.53849,,4021.99453,15005.88597,11974.24728,1475.90751,,,3017.45902,,,16.70071,0.01615,3531.74863,0.28207,,,,,,,
2020-05-01,425012.29489,71232.68234,,24407.05782,,63721.78218,100803.67677,10456.11646,586.87709,292450.93098,200773.72035,15559.16894,6020.40984,308.17588,16039.81889,13803.19447,18223.93764,10531.01772,68172.17622,,4018.30602,14768.75004,11467.9143,1877.87077,,,3013.64754,,,16.70071,,,,,,,,,,
2020-06-01,423105.59498,70700.98209,,22366.47857,,63724.30611,100842.10607,10432.89268,568.93495,344742.79513,138507.01474,15498.56125,6022.70491,343.43033,18327.12635,11308.41542,16936.46655,10396.84243,68200.11584,,4020.13661,11851.34671,11874.49711,1812.56941,11922.86885,,3015.16393,,,16.70071,,,,,,,,,,
2020-07-01,420211.06223,81030.00102,,29151.63925,,63648.88506,85593.27568,9960.85186,518.77285,348217.41915,137246.78697,15310.28745,7021.22952,1414.46439,17543.93746,12486.55619,15555.99101,10307.99521,66782.10255,,3466.77288,11845.54241,11734.15411,1815.31103,14020.65573,,3013.64754,,,16.70071,,,,,,,,,,
2020-08-01,424353.38895,74855.28692,2519.08641,18466.38147,4264.97184,61662.31813,88300.16722,10335.69659,469.42883,412923.57462,174438.72378,15326.04121,51294.42482,4027.0223,16567.08028,15998.54257,14851.72284,10118.3666,66303.51397,,2462.47097,10246.012,11256.80582,1665.54256,9017.70492,0.00745,,,,,,,,,,,,,,
2020-09-01,442367.1026,75639.44824,0.81122,18521.88251,5777.07281,37595.43716,79368.25796,10255.29917,447.13484,533306.28321,178606.56012,22286.5775,51578.45905,2986.52433,16039.72328,19620.25237,13459.26854,10114.7548,65866.1443,,1608.83265,6187.71583,3185.7595,2111.26006,,0.00745,641.11913,0.00969,1407.04039,,,,,,,,,,,
2020-10-01,358480.87414,128183.82026,,14846.44381,5903.21288,37576.22951,79048.51018,10560.43154,10830.2219,561088.68523,281748.35413,21825.29038,52113.55361,4625.3843,13610.47233,22019.65041,12546.68915,11238.87129,65257.48191,,1005.02317,2975.99895,3007.70527,1964.91355,,,,,1795.55597,,,,,,,,,,,
