Date,00,01,03,10,11,14,15,16,17,20,21,22,23,24,25,27,28,29,33,35,36,42,43,45,46,47,49,52,55,56,58,59,62,63,64,68,73,77,79,81,82,86,94,38,41,93,09,26,30,70,74,78,80,91,31,18,66,71,13,85,08,69,61
2020-02-01,191351.04009,219100.23599,,432868.08611,162397.46096,1350.99054,795.52427,10502.23025,161188.97699,2071.45091,184103.50439,39436.36505,5548.47839,5911.56955,33101.33122,49720.19296,35530.20227,10.45,29838.5193,384399.92396,3.64845,272841.74157,3.40994,18706.00784,2499180.34854,235457.4368,1489.9245,662750.90522,88008.66024,2620.22196,,20355.54877,,,191485.53878,284219.27547,,108389.25913,118.72789,6306.18964,,4861.35998,1080.51165,62967.76264,45664.00552,3051.47097,771.18468,519.23105,22.0,11279.52904,0.02039,506.7227,1378.75991,2202.88816,,,,,,,,,
2020-03-01,213358.23765,80006.91772,,410382.07383,158362.49004,2594.73926,2.37184,9879.68858,162572.27793,8832.96126,172529.703,36470.93021,6497.36812,16664.58146,48563.74769,47739.09241,35280.54119,,45294.51723,461736.65799,1413.98048,265318.3029,510.64218,15667.06788,2769738.52505,272097.16074,1473.59906,632944.95219,86821.76753,2499.47097,,22349.97201,,,177424.25637,259327.1976,,108242.89301,204.86787,5617.17277,,4779.7309,1014.58807,67171.10698,43312.24456,2768.14398,755.62066,722.22906,,11485.21886,0.02097,8.43828,1224.0605,3075.88577,,,,,,,,,
2020-04-01,344102.01893,200326.32186,,609096.48048,164815.46497,14.07674,1007.18402,10435.24114,176384.53503,12178.87873,182129.97967,78726.89932,6653.28107,19179.27144,90369.80139,54601.7005,34368.67821,5034.73979,47745.5081,737283.20996,317.65286,9232.66757,418.11513,31072.22969,2888413.18747,296689.54949,15103.06994,691106.98735,92139.85086,2442.54243,,30597.21793,,785.89685,202429.01651,254657.98545,421.06226,108385.44577,64.83606,5934.01146,1.1056,4781.45259,950.76159,72304.75293,40706.7774,6780.0419,768.05913,,2024.00111,,0.02159,2.11228,,,,,,,,,,,
2020-05-01,344325.15725,314883.50626,,630285.14025,182589.75587,4355.04949,1011.33888,10034.0446,168505.22592,1714.14648,171957.73163,77197.38921,6583.02947,19168.2416,82422.22703,71444.92689,34220.14649,2566.14022,44809.395,648077.11999,11.59119,7459.96104,3856.30946,15552.74512,2639783.9513,370382.06659,13338.39318,657661.20102,88766.5795,2418.02839,,37015.27039,,773.15722,195502.708,256551.36777,420.77534,103252.92982,0.20024,6021.70161,4.12092,4784.84772,885.83294,69039.36457,38307.79247,6302.98021,,,2040.6315,,0.02219,2204.52908,,,,,,,,,,,
2020-06-01,343504.7574,380940.23559,,647261.7143,222105.79912,7772.76774,762.99878,9959.44962,149450.54469,1601.59324,174193.0642,73416.46242,6719.73113,83706.20873,46850.02021,44605.0369,34120.25928,27.44443,41527.65626,488623.91774,2105.66995,12309.06556,3684.40532,21382.97644,2435809.27376,254708.64559,12192.50314,577812.19725,88573.32817,2420.18971,,37879.80952,0.01208,692.47543,195631.49123,373081.0209,1318.40781,93197.01639,,6031.47645,952.01309,4792.92436,821.90992,,2181.37893,4718.71905,,,4.015,,0.02281,1929.28059,,,,,,,,,,,
2020-07-01,340789.70119,393720.87849,,595261.67783,207518.99207,12455.28001,257.38692,9832.97798,144251.04494,1416.04288,176085.5148,57459.4596,6569.44337,81357.48749,44062.06792,44282.18176,33124.18494,3015.35583,41761.02846,491329.85614,878.68604,9577.73572,558.56828,21425.89216,2406312.43243,203867.88923,11051.44329,569496.168,87853.38345,1311.35857,,42829.24534,,610.50634,195051.7518,365456.31353,1542.92599,15795.85246,,6172.12086,,4796.48265,756.5687,,2175.86069,3234.75751,,,,,,12.54136,,,,,,,,,,,
2020-08-01,256638.42897,419161.54368,787.939,583735.55684,178776.65628,18051.82658,,9656.11935,144832.3765,1400.47446,186490.59638,30347.16014,5935.63057,73798.16387,27265.95583,40230.02005,33081.73646,20.25835,71755.97241,536094.32032,1111.53423,14328.71351,306.31936,20591.26294,2526294.79042,202150.08763,9767.48338,573212.11043,90444.66684,1241.5088,,50443.64777,0.06441,509.34506,198892.51648,354516.53459,1781.55319,88257.50875,,5782.53929,,4804.43658,692.84683,111664.90667,4150.25107,1238.0988,,,,,,,,,,,,,,,,,
2020-09-01,254653.0189,358319.98918,1426.58737,585041.99647,158839.53634,29773.48632,970.75169,9107.13012,135281.27421,1413.98316,175219.27415,11502.49397,8678.30491,73172.00991,9408.23364,39331.43873,20261.75521,,75206.66225,539583.51524,6.39194,41716.59092,484.97504,20635.5867,2718660.10688,149907.71965,9706.50633,620975.81399,82790.89411,1217.94541,,49617.7908,,407.30756,187908.93302,337394.04128,1784.92692,172255.2425,,6088.81512,,4810.42241,628.17775,,1012.40049,2.01261,,,,,,,,,,,,,,,,,
2020-10-01,262290.51216,247919.90145,1520.293,611805.33223,155839.53249,8471.31102,976.22297,8911.07696,129107.08175,1454.88206,173166.26332,42330.39172,8054.03918,66508.12953,8541.02397,40568.53387,32315.94662,3225.78854,74130.39331,628371.02926,15.63271,35672.76637,386.79883,39336.76393,2983075.05717,123631.44101,8567.6115,737580.10552,77946.88339,1192.76534,228.28745,48848.35637,,305.42108,162813.23368,343261.2121,1468.9457,180594.19117,56.69224,5851.60463,,9387.78007,563.15672,,14.2,,,,,,,,,,,,,,,,,,
2020-11-01,263592.07056,245767.969,1369.49804,640128.83243,142508.67204,26.79057,548.17464,8413.31396,121341.32126,1417.80754,125597.95859,68293.29716,7593.34451,65404.56902,8097.62258,40867.17541,22011.94562,4058.46698,52235.16555,650642.04472,130.84428,23704.93183,996.10011,32169.70059,3015015.10245,152190.39086,7644.57286,737352.88101,78198.18272,1170.7132,210.15556,48950.14335,0.00572,204.00449,163686.89214,337626.73902,1840.61503,191602.61643,22.19872,5803.76731,2218.03043,9394.72155,499.20916,,,,,,,,,,,,,,,,,,,,
