Date,01,26,27,28,35,41,42,43,45,46,47,60,63,64,77,81,86,16,20,65,71,13,49,24,52,23,38,03,00,68,70
2020-02-01,2233.25137,,,304.784,,1423.14207,,300.20492,79985.26988,44442.86642,2604.92551,,45.53187,35167.23593,,176.94373,46993.78388,0.07525,53.23187,,,,,,,,,,,,
2020-03-01,2232.00348,,,,,909.2827,,0.70631,75485.94188,41490.37675,2576.88201,,1869.81924,29210.88782,,251.73236,46602.35731,,87.56739,,,,,,,,,,,,
2020-04-01,2236.88774,,,367.84426,,551.5729,,533.00171,72544.1761,44762.10329,3915.89305,,50.32949,28602.81721,,236.6482,47003.09098,,88.13176,,,,,,,,,,,,
2020-05-01,1135.70045,,,418.59289,1296.93222,1050.96483,,1390.58035,83254.77752,38877.65081,2773.00685,24315.17858,0.16826,30672.44701,,229.67225,46568.57866,,88.19305,,0.0037,,,,,,,,,,
2020-06-01,1117.29236,,,500.90229,1180.83229,907.62037,,901.88972,65999.56934,45195.76925,1614.29033,24319.13852,2976.2688,31515.16041,,204.34435,47219.09183,,,175.90161,,,,,,,,,,,
2020-07-01,5226.09443,2011.31148,,483.04884,1105.03052,909.88109,,708.82102,63771.76882,47256.37975,512.76173,24122.68765,2926.52317,31516.05538,,254.85339,47712.53579,,,,,,,,,,,,,,
2020-08-01,8362.54751,2038.96175,,500.54673,1417.93735,599.66844,,861.83649,46144.25866,47712.95297,1421.56936,25029.11464,4.01976,38907.76073,15059.52182,254.12834,50657.16087,,,,,,,,,,,,,,
2020-09-01,8792.73009,2037.91045,,,1244.61665,695.70291,8377.38631,804.35725,42251.35849,48985.45206,387.29779,24834.46561,,39037.67736,15202.26193,255.00367,50207.26661,,,,,,,,,,,,,,
2020-10-01,8799.10249,2036.6471,,,1066.75409,698.12972,8467.02343,1497.25393,41864.50512,50599.89415,3868.49596,25574.85072,2993.59369,39093.31828,15197.37796,254.16526,51354.87221,,,,,,,,,,,,,,
