Date,total
2020-02-01 0:00:00,25338466.13
2020-03-01 0:00:00,24539198.03
2020-04-01 0:00:00,27653786.97
2020-05-01 0:00:00,24190609.24
2020-06-01 0:00:00,24232321.87
2020-07-01 0:00:00,25904240.01
2020-08-01 0:00:00,28241370.45
2020-09-01 0:00:00,27519113.95
2020-10-01 0:00:00,28761439.53
2020-11-01 0:00:00,29411058.1
2020-12-01 0:00:00,28852511.89
2021-01-01 0:00:00,29411058.1
2021-02-01 0:00:00,33181272.29
2021-03-01 0:00:00,29262097.77
2021-04-01 0:00:00,29395586.2
2021-05-01 0:00:00,31616294.39
2021-06-01 0:00:00,32472074.39
2021-07-01 0:00:00,31841251.97
2021-08-01 0:00:00,32009297.17
2021-09-01 0:00:00,34479652.76
2021-10-01 0:00:00,34736137.05
2021-11-01 0:00:00,36104712.9
2021-12-01 0:00:00,38467641.96
2022-01-01 0:00:00,37168629.73
2022-02-01 0:00:00,39243732.11
2022-03-01 0:00:00,41197033.16
2022-04-01 0:00:00,36624469.11
2022-05-01 0:00:00,36624469.11
2022-06-01 0:00:00,36624469.11
2022-07-01 0:00:00,35952051.79
2022-08-01 0:00:00,41562047.45
2022-09-01 0:00:00,40437999.33
2022-10-01 0:00:00,39229926.95
2022-11-01 0:00:00,38024840.45
2022-12-01 0:00:00,37473360.28
2023-01-01 0:00:00,35429678.91
2023-02-01 0:00:00,35208453.53
2023-03-01 0:00:00,33612650.45
2023-04-01 0:00:00,33295930.02
2023-05-01 0:00:00,32919724.57
2023-06-01 0:00:00,31584679.6
2023-07-01 0:00:00,31136463.85
2023-08-01 0:00:00,30760768.25
2023-09-01 0:00:00,30498383.51
2023-10-01 0:00:00,29753685.76
2023-11-01 0:00:00,29694900.49
2023-12-01 0:00:00,29664660.01
2024-01-01 0:00:00,31089002.09
2024-02-01 0:00:00,30991755.84
2024-03-01 0:00:00,31667373.35
2024-04-01 0:00:00,32437990.77
2024-05-01 0:00:00,32904689.29
2024-06-01 0:00:00,35718160.47
