Date,total
2020-02-01 0:00:00,6159280.238
2020-03-01 0:00:00,5656038.538
2020-04-01 0:00:00,6259508.771
2020-05-01 0:00:00,5447199.586
2020-06-01 0:00:00,5466653.205
2020-07-01 0:00:00,5528611.451
2020-08-01 0:00:00,6092088.683
2020-09-01 0:00:00,6062465.608
2020-10-01 0:00:00,6173359.963
2020-11-01 0:00:00,4433502.888
2020-12-01 0:00:00,4158675.493
2021-01-01 0:00:00,4118634.938
2021-02-01 0:00:00,4118634.938
2021-03-01 0:00:00,2039208.751
2021-04-01 0:00:00,1957313.517
2021-05-01 0:00:00,1951953.245
2021-06-01 0:00:00,1942287.711
2021-07-01 0:00:00,1920367.374
2021-08-01 0:00:00,1926607.593
2021-09-01 0:00:00,1954239.601
2021-10-01 0:00:00,1503967.2
2021-11-01 0:00:00,1465889.24
2021-12-01 0:00:00,1508621.004
2022-01-01 0:00:00,1522676.371
2022-02-01 0:00:00,1584490.917
2022-03-01 0:00:00,1527687.012
2022-04-01 0:00:00,1527687.012
2022-05-01 0:00:00,1527687.012
2022-06-01 0:00:00,3077252.38
2022-07-01 0:00:00,3470441.987
2022-08-01 0:00:00,4685198.246
2022-09-01 0:00:00,4777801.196
2022-10-01 0:00:00,5931008.545
2022-11-01 0:00:00,6167880.415
2022-12-01 0:00:00,6278701.649
2023-01-01 0:00:00,8118460.737
2023-02-01 0:00:00,8124942.874
2023-03-01 0:00:00,7920599.719
2023-04-01 0:00:00,9571248.375
2023-05-01 0:00:00,9358147.587
2023-06-01 0:00:00,8901646.228
2023-07-01 0:00:00,8202445.923
2023-08-01 0:00:00,8434686.371
2023-09-01 0:00:00,10334816.67
2023-10-01 0:00:00,10309912.89
2023-11-01 0:00:00,10779739.62
2023-12-01 0:00:00,10784966.82
2024-01-01 0:00:00,11007214.61
2024-02-01 0:00:00,10730638.99
2024-03-01 0:00:00,10802171.95
2024-04-01 0:00:00,11132365.37
2024-05-01 0:00:00,11167138.29
2024-06-01 0:00:00,11411147.72
