date,privatbank,oschadbank,ukrgasbank,ukrexim,sense,first investment
2020-03-31,141575.1496208947,127282.33058034656,60255.07143787052,86703.6611607995,42628.45816775123,610.1303948944376
2020-06-30,115537.2441865838,99337.83178538064,63078.39485789128,79562.99167047297,35706.90505555135,462.25672263612944
2020-09-30,102048.34111762018,86621.75110115293,61146.08374446533,80338.93893673914,30417.81552380675,337.39578494290004
2020-12-31,88403.75516969248,78943.7004043482,52277.211704273854,75591.43757296022,28545.77782031258,382.969935153065
2021-03-31,74950.49177284032,75712.54562942419,39010.08749018597,68921.91476083949,31060.953111408024,562.6699688113437
2021-06-30,64962.06164512532,76252.89298786504,31621.694936435797,65523.844826192304,33788.40970822302,899.7017548860231
2021-09-30,52432.157222427806,72923.06340189726,26892.169741747646,68496.04450984599,35470.199019001804,674.8829004702625
2021-12-31,46314.53628250491,67511.42341479809,28279.995331167192,65839.20831791247,37680.01733055992,385.9906616507153
2022-03-31,42403.594826878965,62971.44892825954,25899.63381782581,60479.93159972249,38491.23123228783,431.3231037634448
2022-06-30,31814.82055213676,61129.37573504273,38625.77857538461,71408.8180765812,37268.94079008547,816.9852919658119
2022-09-30,24024.38570439144,50882.80329333582,65702.06574994371,93986.94234548912,40186.97892596842,1092.398873840796
2022-12-31,21589.79035903746,59954.70677276456,65621.64289390211,101033.56573311458,30042.02733333332,1008.5314254853708
2023-03-31,26021.709368334698,77679.32562674323,62773.0465086136,116117.70287312004,32166.23601503965,896.5607549904294
2023-06-30,36010.77928247198,90405.37941864916,79065.01540825814,122551.75633634123,34001.24757287394,842.1448758545255
2023-09-30,52638.75834536505,104270.15301121138,72748.25860787532,124190.36444900194,36767.40545447088,183.7402340716437
2023-12-31,66197.56258784744,106578.15987630858,77672.5384164762,106537.2428831596,51358.95112074694,65.51332721514336
2024-03-31,69506.3106022312,113750.33132893432,76078.87485800985,106303.41789887974,51679.99481397811,77.147419510405
2024-06-30,71106.64596500847,129164.0899182492,71324.31004233897,103975.97442037976,49112.45998595918,78.32587577841409
