date,privatbank,oschadbank,ukreximbank,ukrgasbank,sense,first investment bank
2020-03-31,67479865.08082823,38513781.631849945,25183022.612235427,17091520.354697805,11137748.277730295,190888.52423716636
2020-06-30,64946076.75962255,33185111.82472051,24662189.54528221,17159413.75747364,10621142.948420204,207416.44567616604
2020-09-30,64385290.068726376,29488614.343756232,25405768.048565272,17769178.781698134,10996256.123055456,182127.1496045219
2020-12-31,59971205.499152005,28622624.6871391,25659956.082821947,16972427.30684944,11144160.006340776,182823.68170755764
2021-03-31,59938700.19907334,30281332.353698634,25578863.429613598,15725649.352675578,11874845.162919857,247210.57201807795
2021-06-30,60057924.562989,31094075.319312498,26929319.16736073,14937288.426435925,12416225.93682511,359397.15028811974
2021-09-30,61210247.82494962,28780810.694090515,26463910.302704886,13904467.730409238,13045910.225674596,403081.7447287905
2021-12-31,63511678.68165925,27380896.979142044,24249599.59272449,14484592.219711604,13613192.125761293,383969.93101124116
2022-03-31,60219179.69140303,25927894.11577464,22084538.195160355,13060937.795720335,12852600.654555108,346357.26376510446
2022-06-30,63452666.177256405,26222959.707992136,22031043.251983248,13589169.915184956,11074991.878873505,199371.70213230766
2022-09-30,59943481.34762222,22844859.259234637,21162937.81231169,13485955.340531155,9436137.76552313,124133.00572817885
2022-12-31,58890962.45649467,23292128.29829259,21222745.541898005,12355425.87404922,7864990.853418102,97747.83795023244
2023-03-31,60706349.05733197,25131433.358776044,22289623.914781243,12421637.978290949,7917179.105502871,91790.58288487831
2023-06-30,61900146.81545337,25985568.621265516,22658452.359225325,13771934.433421383,7942160.346477987,79966.40632048127
2023-09-30,64497069.461002454,27797779.659466505,22262669.391517635,13888239.793315284,8398931.94048209,40898.47616270167
2023-12-31,68777298.7108168,29198585.55913393,21710296.872165672,14849634.75503989,10121780.990720099,39709.03122573686
2024-03-31,67567513.49905875,29971754.304691844,22144369.534748852,14708230.194886353,10484076.11333708,34842.44787189043
2024-06-30,43742835.197891496,20725883.570967026,14779779.42962806,9893579.471284144,6901864.999713688,22481.328971773124
