date,privatbank,oschadbank,ukreximbank,ukrgasbank,sense,first investment bank
2020-03-31,160660.52958003394,115105.72319397982,34836.84080472308,38355.099761859594,106272.13397530073,1234.0320181388988
2020-06-30,469198.22615711833,90415.494984858,66788.71719262455,32793.14106672819,81773.298826077,1288.6995996266544
2020-09-30,158041.9558343643,123697.07063547357,25762.854971432214,42795.85297322291,87832.86617470295,1370.311508196619
2020-12-31,289598.0085923055,200663.68954178444,146019.25168606374,62121.47855853438,85313.21529292912,1561.879031910103
2021-03-31,141085.81670501488,88090.46186049022,26385.43356481886,51812.92978074396,74717.90961687578,1545.6722073165818
2021-06-30,180362.3524854693,129458.83296522402,70230.48455543506,46605.28870230212,82759.3091433594,1522.5790854598306
2021-09-30,166458.25912447332,129647.12668043541,38422.49992012602,25282.70923412018,80199.92043175983,1256.611170564647
2021-12-31,94564.30239272394,185712.1735403866,20253.91222789038,-7823.667246478573,105200.0953319858,107.04892406235217
2022-03-31,248713.3483051706,190683.99236432544,99005.42516628593,116312.55493933363,111610.7337110696,1306.7304090899331
2022-06-30,386483.56511042744,247356.91609230777,132049.4675603419,127221.70688307693,216706.3043353846,1457.0859904273502
2022-09-30,415461.667389341,234973.94415915007,186121.1086560649,55490.40124625692,157541.21594099206,1501.253140626544
2022-12-31,146240.64920946115,167883.58817418647,41865.82844407981,69870.38662975121,163010.25761799287,2151.9739464041572
2023-03-31,155389.91246103361,78050.99867623736,11851.268164889254,11229.4802179382,45353.707074651364,-982.117475799836
2023-06-30,170580.3625482636,78361.58614492755,8290.931888159696,23161.192511348097,26305.80391359037,695.6621145747881
2023-09-30,147115.19332813786,99520.09788542519,13383.366215750615,52009.95203882964,50334.854030899645,1113.1545228329232
2023-12-31,314380.5239266248,130427.44348974703,26394.20403406152,37828.4338632431,130765.53256381626,-137.3772437601295
2024-03-31,176269.36499997784,96265.36791131218,-4100.158851302182,22811.63907211306,36092.338050925595,543.4026752167467
2024-06-30,105351.13102530023,60395.77832751919,-156.46313759064833,21417.748382830203,31688.279486329302,422.4768706345087
