date,privatbank,oschadbank,ukrgasbank,ukrexim,sense,first investment
2020-03-31,426260.9905977212,103035.9891610922,17792.654507937223,-77660.1153955824,12656.351280384835,311.4438303392433
2020-06-30,129943.41809820174,35612.21002317242,3994.548204049941,5570.648636872164,6310.6466894429,148.2833508573785
2020-09-30,261871.38538788265,41572.2900253031,9755.367456908552,-11827.060766456076,12780.00076667535,155.1429625426936
2020-12-31,106592.76950550318,-71165.69596101849,-11003.52349529099,-109125.0253165675,12342.93227912281,-67.61686735233354
2021-03-31,84986.32440184253,8989.280997041333,11093.993582677247,11622.089022209166,34901.74130882615,61.75853031076238
2021-06-30,334781.2939635399,9395.40319183592,22104.9959909033,28914.430782951968,17721.979284581263,129.8715971095328
2021-09-30,355842.6419653051,12512.292331369905,48540.039368426325,23274.689944004604,36941.7145833187,383.6469568223555
2021-12-31,514262.8962013897,8060.787973994478,92894.50022220734,36527.91994354812,32606.418962983367,1265.1218363097323
2022-03-31,139054.77791414387,9380.576647049918,-47995.30459084814,-68714.8304797504,25694.017800783844,-106.075016935385
2022-06-30,108515.4249336752,-146553.1807736752,-61328.14748376069,-17683.01514700856,-105535.55628444444,-1010.5375524786324
2022-09-30,280738.78515227983,199066.29523388212,-5738.308408103859,-149938.23345791426,-58347.30136848316,-1487.5102253555576
2022-12-31,498182.7598441345,-56722.69248455017,-17417.640736669397,-1904.9575884604665,-70609.30218594475,-2214.4171933278644
2023-03-31,545687.6509975389,69501.07509789444,38665.58659994531,26842.83838829641,32720.29783757178,891.6234115395132
2023-06-30,457458.3798990977,117487.49830024612,35571.28126715888,27188.39117910856,25809.618439431237,-817.5130177741319
2023-09-30,437692.9313746239,209390.10313508345,17809.980918238987,44275.40867268254,94202.30451107465,-902.8560869565216
2023-12-31,549701.3675802447,-142255.8235655176,35632.252059024104,58866.822210260114,-54042.04362763273,684.1503841665448
2024-03-31,488892.816411306,126876.24415542414,49903.26261210069,64870.989142001534,34662.263893137344,-199.6013372030299
2024-06-30,504307.42675149743,147490.3115939407,44345.82701224118,64168.33144177239,19707.554298608215,-337.09156906944634
