date,income,expenses
2020-03-31,118,106
2020-06-30,88,81
2020-09-30,100,87
2020-12-31,97,85
2021-03-31,109,74
2021-06-30,100,82
2021-09-30,117,80
2021-12-31,137,105
2022-03-31,137,111
2022-06-30,111,216
2022-09-30,99,157
2022-12-31,92,163
2023-03-31,78,45
2023-06-30,52,26
2023-09-30,144,50
2023-12-31,76,130
2024-03-31,70,36
2024-06-30,44,31
