date,income,expenses
2020-03-31,586,160
2020-06-30,599,469
2020-09-30,419,158
2020-12-31,396,289
2021-03-31,226,141
2021-06-30,515,180
2021-09-30,522,166
2021-12-31,608,94
2022-03-31,387,248
2022-06-30,494,386
2022-09-30,696,415
2022-12-31,644,146
2023-03-31,701,155
2023-06-30,628,170
2023-09-30,584,147
2023-12-31,864,314
2024-03-31,665,176
2024-06-30,441,105
