date,income,expenses
2020-03-31,218,115
2020-06-30,126,90
2020-09-30,165,123
2020-12-31,129,200
2021-03-31,97,88
2021-06-30,138,129
2021-09-30,142,129
2021-12-31,193,185
2022-03-31,200,190
2022-06-30,100,247
2022-09-30,434,234
2022-12-31,111,167
2023-03-31,147,78
2023-06-30,195,78
2023-09-30,308,99
2023-12-31,-11,130
2024-03-31,223,96
2024-06-30,158,60
