date,income,expenses
2020-03-31,56,38
2020-06-30,36,32
2020-09-30,52,42
2020-12-31,51,62
2021-03-31,62,51
2021-06-30,68,46
2021-09-30,73,25
2021-12-31,85,-7
2022-03-31,68,116
2022-06-30,65,127
2022-09-30,49,55
2022-12-31,52,69
2023-03-31,49,11
2023-06-30,58,23
2023-09-30,69,52
2023-12-31,73,37
2024-03-31,72,22
2024-06-30,50,21
