date,Державні банки,ПриватБанк,Приватні банки
2020-03,92116.96140075065,67479.86508082824,56848.26721185219
2020-06,85835.27452157272,64946.07675962255,54261.276811202166
2020-09,83841.94444667963,64385.290068726375,58153.280031030125
2020-12,82581.99176485882,59971.205499152005,59823.46367781352
2021-03,83707.90087092573,59938.70019907334,63239.815049403274
2021-06,85736.30600022236,60057.924562989,66103.20055394627
2021-09,82598.18069760803,61210.24782494962,72576.9424849593
2021-12,80112.25084835067,63511.67868165925,78355.01816558761
2022-03,74272.32802497555,60219.179691403035,76678.18758718243
2022-06,73117.53645616616,63452.666177256404,76948.6794951323
2022-09,67054.0231833288,59943.481347622226,70882.417960975
2022-12,64833.03840560814,58890.962456494664,74108.48755728958
2023-03,67851.66494023599,60706.34905733197,78977.984404525
2023-06,70438.08216671071,61900.14681545337,83887.36885336229
2023-09,72388.51926094422,64497.069461002444,87761.25490495816
2023-12,75920.00720828533,68777.2987108168,91147.96810246189
2024-03,77343.27259553602,67567.51349905875,91988.2607542138
2024-06,78485.38320084702,65614.25279683725,91967.99161560342
