,,,,,,,,,,,,,,,,Date,Total
2023-03-01 00:00:00,394758.99071,3636539.79248,2064045.35584,367423.59872,6797.15862,3534414.74972,97959.12233,1117.38711,,52429.54103,7605.46772,53594.60666,10544.70757,73413.88451,1079268.80344,130556.71496,22232737.2841
2023-04-01 00:00:00,391833.18201,3644907.63052,2072418.01048,368512.67416,6783.31047,3464900.90457,87696.59849,1130.1735,,50784.30546,7208.76766,54085.69181,10632.46198,69152.21831,1100986.41394,129533.89237,21964897.67844
2023-05-01 00:00:00,388648.41604,3416843.42301,2055953.39398,368976.03452,6430.43076,3437605.59663,87559.49956,1142.54743,,50554.46315,6964.57377,54571.87264,10720.21638,65785.77619,1113763.98635,128876.02839,21854204.3394
2023-06-01 00:00:00,385772.00458,3402764.1141,2029357.56315,368782.10539,6354.20321,3407205.08255,87734.38419,1155.33382,,49085.82813,6693.09122,55079.173,10807.97078,49166.78317,1039081.76348,127259.47083,20685640.20379
2023-07-01 00:00:00,382586.31781,3381092.81696,1999962.16733,367539.61516,6368.98613,3352467.47398,77352.33034,1167.70775,,48404.73656,6527.05994,55649.18577,10895.72518,42990.9202,1039974.51903,126658.94664,20363484.29006
2023-08-01 00:00:00,384239.01412,2810683.00332,2005238.46002,368697.74565,6172.70709,3329222.43638,77262.33181,1180.49414,,47662.81706,6446.0145,56209.91426,10983.47958,33011.85298,1038574.76265,109647.59811,20585183.2196
2023-09-01 00:00:00,376165.97969,2805161.17508,2004070.02092,369808.59696,5693.12701,3295686.15525,77293.42259,1193.28053,,46833.55187,6360.93868,56732.09892,11071.23398,31741.49655,1030954.47813,79519.34117,20379617.95757
2023-10-01 00:00:00,372095.20555,2795046.0579,1998306.86015,366736.68609,5177.15425,3276954.57281,12879.79478,1205.65446,,47198.16932,5966.96746,38796.21726,11158.98838,28864.9577,1008960.98093,67362.00446,19784337.48974
2023-11-01 00:00:00,364840.70192,2835151.05961,1990021.40863,365849.39125,4658.2019,3489806.97224,12748.56941,1218.44085,,46581.26737,5558.10041,39329.86459,11184.40201,28251.79622,984630.97916,67078.70747,19515069.334629998
2023-12-01 00:00:00,361634.3217,3110431.57715,1725633.03555,366950.39532,4071.21667,3435605.55562,12727.70341,1230.81478,,46377.27735,5218.20015,39832.66296,11274.55253,27703.12873,1007852.55431,67233.30207,19508117.012730002
2024-01-01 00:00:00,374304.91153,3316463.57966,1804003.7898,761161.22186,3540.77586,2402551.84737,12719.5129,1243.60117,,56003.85102,4121.10949,40347.56373,11863.85392,76195.66586,1059003.22228,67303.82117,21165477.584990002
2024-02-01 00:00:00,366227.15659,3325539.50462,1794509.36121,761131.77216,3566.82808,2622038.45565,12704.33507,1256.35676,,56216.3366,1658.66679,40854.20919,11921.07087,81090.45928,1027590.51513,62608.90241,20885450.810429998
2024-03-01 00:00:00,370933.01133,3370846.81196,1809519.33977,768638.07554,3516.04034,2859035.52055,12681.08748,1268.28941,,56848.71756,1550.38442,41328.16785,12117.60224,85658.78638,1023485.91095,61593.27793,21249945.603830002
2024-04-01 00:00:00,372143.05099,3473153.29897,1856792.93182,786041.36876,3121.8054,3052459.11441,12681.76871,1281.045,,68513.45338,3584.1607,41832.4909,12533.21837,90715.50472,1040494.94804,60169.69814,21622642.61331
2024-05-01 00:00:00,372862.95761,3577953.8998,1879297.76552,796052.62372,2832.66288,3106131.11193,12660.91147,1293.38912,,69268.06267,3149.00784,55084.19799,12771.37928,135665.94788,1034295.1079,56124.32925,21845370.26159
2024-06-01 00:00:00,377087.42104,3648780.16841,1922344.10375,814106.02093,2496.57775,3256615.84206,12648.27517,1306.14471,,74371.23602,2769.0999,56047.96077,13136.2054,136521.72461,1078692.86613,49425.23464,24321236.822699998
