date,income,expenses
2020-03-31,1,1
2020-06-30,1,1
2020-09-30,1,1
2020-12-31,1,1
2021-03-31,1,1
2021-06-30,1,1
2021-09-30,1,1
2021-12-31,1,0
2022-03-31,1,1
2022-06-30,0,1
2022-09-30,0,1
2022-12-31,0,2
2023-03-31,0,0
2023-06-30,0,0
2023-09-30,0,1
2023-12-31,0,0
2024-03-31,0,0
2024-06-30,0,0
