,raiffeisen,fuib,ukrsibbank,universal,agricole,otp,citibank,pivdenny,kredobank,procredit,tascombank,ing,a - bank
2022-02,1191072.69508,1127024.36042,581523.5611900002,725903.57862,402812.10615000007,613471.57222,255170.99983999995,160327.40994000004,212651.9541,143375.88002,235188.35925,31469.631950000003,288400.6461499999
2022-03,1079595.8562099999,1217345.4994799998,756373.1152199998,941090.0764100002,414807.6303699999,579637.3805200001,180827.68426999997,267031.52452999994,218965.31213999994,132120.05799,238159.64019999997,30497.55863,392580.75459000014
2022-04,997523.7301700008,1188692.02362,726265.0057900003,677917.8634899999,427982.4091700001,569827.2532800001,168749.35550000006,304012.9882900001,241067.22482,131081.53405000002,252319.36132000003,25320.477620000005,357439.32583
2022-05,1426048.0570199993,1297096.4098300003,813090.3496199995,1305414.4160000002,498296.95949000004,698195.43004,244343.30964,406262.0612499998,355698.6400300001,152223.93513999996,287268.7563199999,27268.167749999993,483157.8824
2022-06,1634053.8668099986,1222939.1846699994,1173742.1932,1909404.7130699996,592077.0169099998,787884.3452599999,354581.66833,614893.8611400002,324387.3235500001,147303.1527300001,423950.2451200001,32851.96840000001,590197.79874
2022-07,1945578.236440002,1386309.6882100012,1582101.4203000003,1478805.4777900008,668586.82626,781541.9944799994,603584.29684,392046.7164399999,341583.03642999986,133491.93648999988,469827.39106000005,54512.852199999994,518037.0712899999
2022-08,1842806.41144,1046342.946659999,1097660.8463199995,1028613.938219999,628278.7944399999,805298.952130001,529782.6195299998,365601.58281000005,224930.04003999988,137955.51968999987,406819.81617,21245.53238999998,348789.1338800001
2022-09,2016444.0684200004,1094731.6686499994,1113068.44288,2016662.86417,646887.1049299999,779128.2506099995,497725.62237,405686.70192000037,286830.14575000014,148563.15980000002,353998.4782400001,27781.045820000058,475772.33391000004
2022-10,1891481.1061099991,1142642.9698799998,1293093.1101099998,1296180.4467000011,655763.5217400007,830479.4405100001,561743.503,355393.89805999957,334995.84810000006,178964.49376000022,189552.3550999998,25127.705729999987,341902.94020000007
2022-11,2002608.6083500013,1322629.7235200014,1342501.49725,1414486.2038999982,553524.6984299999,944037.05645,562163.8689700002,407722.7241700003,350815.9364100001,177780.05669999984,230650.9779000003,26481.083189999976,286383.1891999999
2022-12,2138297.1888299994,2126807.8440199997,1418747.1984900013,1511427.9624300003,720067.7487199996,956539.52685,645597.3856299995,394623.1873699995,354721.96427999996,208406.28820000007,324802.81773999985,28556.89254999999,44391.87807000056
2023-01,1890083.92391,1234222.59812,1287118.23236,1448653.70547,682532.26551,949299.91624,669627.97707,350195.8614,385310.2723,182890.89069,277773.51811,28572.79764,334724.61569
2023-02,1910599.1520600002,1059257.8117799999,1186802.7940500004,1295650.3069000002,658170.8969699999,772072.6406099998,581094.40022,284791.47561,280728.91384999995,169892.75683,255252.75611999998,26965.72446,294575.54611999996
2023-03,1906109.6408099993,1245748.8463000003,1345978.8632199997,1442584.1655799998,719786.3226600001,901664.4654600001,664701.63827,400315.09349,339401.03359,186407.35092,318907.43912999996,27708.070269999997,251428.56295000005
2023-04,1678406.7634900007,1155806.8337300005,1175285.6541099995,1224562.98282,693211.6036,805930.7336800001,636744.2749400001,248955.26572999987,293682.5219800001,238310.20864999993,201621.8305899999,26456.36369,240515.96776999987
2023-05,1956526.3454400003,1269746.88203,1264418.46612,1079316.26774,723569.2256800001,889081.0583200003,653267.52342,372642.78170000017,345044.94191000005,199477.10535000009,241092.89957000013,30011.415800000017,245242.1049800003
2023-06,1841809.0987899993,1290725.8501899997,1326599.0716000004,1394235.0117099993,765429.3759699999,861694.4007900003,643823.00355,388286.85396,346069.0914899998,204616.23988,272332.86981000006,30781.653709999984,294317.7833499999
2023-07,1858159.2710999995,1383270.9151999997,1341239.1617199993,1376528.4674700005,818822.7813200001,927283.4831499988,667935.6518400004,431827.4334399998,397149.34251000034,223246.5380500001,262549.53538999986,33394.14082999999,351866.5361799998
2023-08,2009828.852330001,1396221.1176399998,1428402.3181600012,1468390.55401,831754.0304300003,857492.0185300009,709633.4180699997,435594.81297999993,378781.1066899998,230960.78510999982,269283.6139900002,36116.12144000002,303419.51560000004
2023-09,1899183.7528300006,1421288.6333300006,1194627.7226899993,437521.7595899999,761135.8902499992,678113.98752,698577.1349099996,430883.2844800004,375339.91301999986,233364.3859100002,292503.5392499999,38010.94416999997,366168.6816800004
2023-10,1896990.6623899974,1624445.9960200004,1231276.3270999994,1565565.84423,807026.8293200005,1019013.6951200003,780667.3335600002,576738.18395,393193.46276,249478.1707799998,280493.3812000002,33207.71147000004,400696.6881299997
2023-11,1992762.2044900022,1451638.1404099986,1288077.8324800003,1593162.9450500011,795287.1892199991,822184.1737099998,720250.7248499999,396045.82715000026,398277.3300999999,238366.29969000025,292830.8722799998,32942.202359999996,386870.29212999996
2023-12,1746788.147239998,1511309.6673600003,1344437.8191299997,1466641.0898399986,784956.3734600013,901036.9345800001,745407.4539100006,501896.2075199997,408436.59493000014,253247.22189999977,286674.85112999985,38096.469570000016,326507.4950299999
2024-01,1956399.50476,1551005.3077699998,1269971.98642,1785326.1510299998,861170.04475,873473.0954,683905.92241,480958.21043,408588.96491,249121.22094,290970.20017,30426.84593,488364.58158
2024-02,1720968.6455200003,1551332.7369600004,1199205.1957399999,1423552.6800200003,813448.7916799999,798306.5671699999,641710.1040299999,404636.49298,378398.44948000007,230708.34627,327519.57884000003,34062.1315,390193.9404699999
2024-03,1781020.4327199995,1408928.8129499992,1361912.78914,1546248.4586499995,839258.4653999999,824057.07427,678622.9447700002,426697.90017000015,419661.94421999995,242775.45869999996,305973.70583,37145.333869999995,387491.65502000006
2024-04,1756692.2233600002,1413402.34676,1214842.9678200004,1436254.6479600007,828658.7909500003,861058.6260300004,644672.0505999997,562019.2305699999,431403.0280800001,225099.68968000007,343887.56045,40374.41368,489414.7401400001
2024-05,1922775.6131499996,1496627.8335000006,1354890.8966799993,1492095.0021000002,858653.5826100004,844760.4769599997,686033.9050799999,424497.5992800002,405677.09782,237850.83571999997,297609.01364,33828.184559999994,420728.83739
