,privatbank,oschadbank,ukreximbank,ukrgasbank,sense,first investment bank
2023-05,4597140.40182,160819.19496000023,292473.7419400001,376173.0633100001,72009.40187000018,-9484.57994
2023-06,4269909.736559998,4607071.18875,439711.3385099999,411136.63610999985,745451.9104500001,-10029.133240000001
2023-07,4649403.342310004,1397986.2397300005,350215.1381900001,289813.08413999993,3216645.8855100004,-31420.70396
2023-08,4811777.223869994,1248443.07957,747081.8057300001,-264488.8642600002,77784.21216999926,4689.259470000001
2023-09,4162324.579820007,4691781.75835,521854.7512400001,299646.72897000005,146018.96421000082,-6286.00261
2023-10,3728748.622869998,406234.42810999975,536769.9026099998,440192.40923000034,157812.20406999998,1308.2829700000002
2023-11,7354535.506949998,-3019331.85613,793609.1789299999,718642.6779699996,-490676.4533400005,29586.64768
2023-12,-16691361.142530002,-5585103.08813,-1678006.8128,-2143447.9971199995,-2392256.7854500003,-16937.7133
2024-01,5869204.72619,1556264.32868,1061225.66717,939916.99532,479268.63818,-3550.76298
2024-02,1700231.9954399997,908257.5838300001,622027.7039300001,510854.9361100001,-1612.673060000001,-89.61243999999988
2024-03,6287355.87614,2391543.629899999,791217.3730899999,456996.40377,715470.8073399998,-4000.5119200000004
2024-04,3613610.072200002,1616157.729510001,393880.46270000003,548965.2194400001,261882.98559000017,-4832.321870000001
2024-05,6486733.334460001,2267013.14248,1301366.67105,370259.7080099997,254132.56961000012,-4048.645260000001
