,raiffeisen,fuib,ukrsibbank,universal,agricole,otp,citibank,pivdenny,kredobank,procredit,tascombank,ing,a - bank
2022-04,545219.4077099997,381488.98120000004,339275.8093300001,330815.84336000006,173361.47598999995,275091.76772,53067.55323000002,113925.22412999993,111358.86460999999,55045.07457,93383.98426999996,20844.118579999995,110375.14863999997
2022-05,545725.4822,385396.25168,352262.26499000005,284511.4732199998,173833.68565,172986.63040000002,60044.20948999998,123872.92870000005,117397.83745000005,53463.38386,99246.4466400001,23718.508329999997,116989.26412000007
2022-06,652823.8304099999,350573.4775399999,402519.3801600002,328994.88456000015,200729.62393000012,176985.0181,60547.96594999998,133424.90833999997,120946.60924999986,69312.02733999997,108061.62076999992,23985.109589999993,123920.13267999992
2022-07,560251.3293899996,403993.3207399999,346619.7971599996,392990.40873999987,169877.07004999998,189568.14611999993,51518.04225,137593.49958000006,154025.09372000012,55070.90699000005,101356.37995000009,23418.069400000008,148025.77853
2022-08,575001.67184,382711.59847000055,344499.8293700004,350560.79178000055,170726.17593999975,218338.0456699999,57486.35870000004,151945.18316000002,138967.28758999996,72555.52717999998,101426.66281999997,29275.67591000002,135077.4352800001
2022-09,704464.32596,430720.83807999967,373752.66587999975,905155.0906999996,185457.28243000014,218121.41026000027,55880.25812999997,189249.2124999999,130599.66426999995,70504.14630000002,127121.24945,23931.852039999998,119902.12956000003
2022-10,617752.3802300002,416487.48834999977,385928.44497000007,652925.3028300004,174203.80401000008,208425.79639000003,71529.20473000006,133398.26052000024,126919.41486000014,65414.95904999995,108868.68312999979,22873.369149999984,118565.98694999982
2022-11,634031.0069200005,433698.85772000067,454308.3548700004,675188.3877299996,166541.62843000004,222769.07438000012,55355.02555999998,149497.34398999996,130429.90224999981,63208.544440000085,144683.5857200001,24510.049880000006,120590.39087
2022-12,972330.3754199995,609854.9311499996,673386.1013699993,574767.7743499996,192077.0749400002,274959.9308799999,236447.41626999993,210574.66196999978,195825.00202,300266.7147499999,192032.60433,25761.865359999996,166046.49494000012
2023-01,651376.2643500001,485202.46065,463846.98339,752025.47572,198489.65898,193423.83938,59434.93171,163404.84266000002,120697.86987,64658.079580000005,127917.11991,22821.03098,119717.31513
2023-02,689058.8680199999,482021.70352,458748.17037999997,863021.12589,189146.39266999997,222039.69149000003,59953.09389,151589.16684999998,118123.37189000001,80199.14480999998,157311.44822000002,23110.86577,156089.73682
2023-03,737490.4418200001,501586.7651800001,572969.5779199998,853067.94022,212910.39376000006,265964.97872,119445.38392,175540.16882999998,144739.82968000002,69954.81789,174448.14232999994,24546.493730000002,143168.45603
2023-04,710956.4872500002,514681.2660599998,472051.9361000003,808474.9847700004,204927.32051999995,211424.9027199999,60327.10157,160981.33284000005,139088.63926999999,81815.58858000004,149270.99969000008,23063.027870000005,163938.65223
2023-05,808191.1028899997,496364.04272,437786.3691299998,820577.2400199994,206333.46637000004,242474.67560999992,101156.34625,166981.9204699999,143494.17307999998,74777.76511999994,139774.2657,23597.94812999999,204725.65199999989
2023-06,706670.8007000005,537074.6682900004,513625.8020100002,1019563.6842799997,220479.54015999986,225683.90069000004,143354.84898,257642.01002000016,139729.93102999998,74284.10809000005,159662.70881999994,23425.687730000005,174700.77994000015
2023-07,698306.9175299993,594248.8052699994,482424.92996999994,798210.9567400003,230095.85053000017,243519.15356,74245.37997000001,190076.64711000002,148695.44155,70142.46542999998,139989.36640000006,22082.579339999997,172194.79356999986
2023-08,690217.6478700005,601603.185190001,426729.77836999996,861560.4984200001,219826.89974000002,247581.00908000022,92560.22644,167621.72936999984,152560.77318000013,72165.58098999993,141285.5419999999,25221.52105000001,203286.9997700001
2023-09,897427.5928199999,586431.8044699989,455527.11986,-196368.10111999977,228119.36555999983,253964.2363900002,99089.49051999999,199559.73941000015,151898.84642999992,91381.56906000013,147575.92898000008,24869.586419999978,177046.72398
2023-10,807911.8926600004,682192.43621,470955.4824799998,862888.61845,229882.50788000016,384911.58842999954,93651.30760000006,203540.04280999978,177317.4064999998,77647.44631999999,158392.11725000013,24000.417130000016,223788.80692999996
2023-11,788673.1313499995,690390.0851400001,501891.8846500004,875539.8674899992,227514.88161000004,264189.99725,120453.24967999989,182458.3090900001,168232.86308000027,84729.15376000002,163170.24278999981,26056.980780000013,228105.35098999995
2023-12,958822.5518700005,959377.0774799995,918388.2434999999,959320.872250001,260514.99750999967,316347.68224,157150.17113000015,779797.9938500004,217107.75538999983,92329.43193999992,276958.41430000006,35232.861719999986,400660.63326000026
2024-01,712703.50439,638006.56724,500911.10641,807683.11019,204803.66483,223941.90575,69770.07858999999,182843.87987,143554.47542,76381.21148,166576.6556,25697.57918,195735.13176
2024-02,823627.9737600001,631135.1206800002,500529.05894,839427.96742,213315.14297000002,251852.62989,51425.75377000001,201547.17573000002,163446.45949,85390.18728000001,171896.79186,26489.403440000002,215813.56325000004
2024-03,769573.0953200001,650438.5443499999,649923.9016299999,828739.4127799999,237381.06874999992,253541.08623999998,69220.88709999999,203213.97645999998,176585.59057,97754.36718999999,191869.23625000002,29053.460209999997,238923.07330000005
2024-04,803139.8027299996,750010.2070900002,533912.5650299999,737917.6037099999,231930.88884000015,250394.35123000003,82080.30995999998,330634.32476,187157.09017000004,90106.28082999997,243434.58233,27448.824009999997,226717.70104999992
2024-05,830223.4409500002,703716.3094699997,524568.3968900004,720868.5721400003,237148.42267999984,284469.37361,173406.41731000005,210684.22376999992,180639.00021999993,94210.01050000003,205824.52897999994,30924.983750000014,239743.6476400001
