Date,00,01,02,03,08,09,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,35,36,37,38,41,42,43,45,46,47,49,50,51,52,53,55,56,58,59,60,61,62,63,64,65,66,68,69,70,71,72,73,74,75,77,78,79,80,81,82,84,85,86,87,88,90,93,94,95,96,91
2020-02-01,0.32188,187064.39541,863.41385,188.51117,4264.99682,0,32601.28905,62858.29589,107.21762,887.53795,107.18005,3414.3352,0.14174,98859.08659,0.0,314.19793,0,47103.83836,1872.58471,87.35753,1299.81606,0.03571,463717.29866,619.96474,0.01264,0,1223.75504,63.60814,936.59556,0.0,0.00305,159.21932,591.34943,1148.50126,5776.07496,2934.74034,5988.09316,258584.55818,33723.05799,5438.00094,0.12567,5.13799,9822.69424,42.54948,349.71087,796.79335,34.59387,1774.68426,0.20559,0.30154,415.91639,128.70138,0.02094,1.74704,6.72131,1328133.69667,128.44279,334.2262,711.18799,7.11159,989.04465,307.11082,0.20822,2717.06187,0.91647,1.17359,50.08385,258.31402,280.43172,2.61818,8.00122,39.2428,0,39.0109,68.81154,100.61822,0.06242,151.5662,2130.2097,
2020-06-01,0.66841,196472.50423,1552.73774,206.44587,5594.61639,0,3097.05448,123191.7169,228.1469,788.82613,485.75785,6756.15064,0.1484,101559.10795,0.0085,2.99873,0,49300.59094,6148.38984,930.18278,638.54903,0.06686,514981.47346,2673.17554,284.3783,0,2237.18133,69.10874,944.90597,0.03403,42.44473,181.02815,559.52154,1455.12958,5273.38675,2393.04709,7590.427,196465.27409,43690.38887,7398.31367,43.22047,5.13799,5895.48925,22.98211,1666.23999,2452.21587,56.53378,1801.30465,0.20559,0.4111,853.19355,643.27415,0.0011,1.72729,49.38789,1255821.55097,139.98398,209.78686,578.54187,354.83603,1430.91393,591.97319,0.5739,2340.08074,0.9063,1325.06307,24.68531,313.21796,298.43324,3.30681,258.40922,1679.03485,0,30.87926,51.27191,1057.71617,0.07389,1283.4422,2778.21919,0.00568
2020-05-01,0.41561,180001.31121,1153.4779,201.62228,5919.28226,0,3248.66638,112095.30532,105.71975,683.68106,376.60449,7925.14753,0.1484,101353.60704,0.07345,325.13582,0,49655.8363,3942.81574,61.36974,665.73599,0.06686,512426.11931,1279.16874,0.0,0,1275.88232,67.63463,987.68646,0.0,41.43451,159.21932,589.84252,1157.67813,5547.22779,2377.00327,7424.69891,210651.84339,44907.88473,6080.35746,42.31599,5.13799,5671.02301,202.41936,448.1418,1754.33097,57.48188,1800.28196,0.20559,0.3965,642.80368,283.21588,0.0011,1.72729,48.04407,1278000.97596,262.47995,220.71046,725.73773,282.88085,1112.88479,163.62906,0.07472,2834.24318,0.89966,271.77657,28.75415,274.4526,305.84118,3.12048,231.07128,82.12606,0,33.96064,74.11109,90.30245,0.03592,1338.88486,2893.13706,0.00568
