Date,00,01,03,05,06,10,11,14,15,16,18,19,20,22,23,24,25,27,28,30,31,32,33,35,41,42,43,45,46,47,49,52,53,55,56,61,62,63,64,65,66,68,69,70,71,73,74,75,77,78,79,81,82,85,86,88,90,91,93,95,96,ZZ
2021-12-01,170527.42332,7.66607,87999.91837,186220.62094,0,717687.10821,507423.68986,0.74216,0.01823,0.45288,0.05987,0.61964,1361203.63915,1321771.71855,0.03503,379021.78242,325804.6549,3490390.61774,2658056.10695,3739072.85558,0.37315,0.0947,147934.53126,0,2.20799,11169.05452,65472.0673,3075.25608,650456.67256,78150.41643,4419342.69346,491907.60078,0.19783,1.75664,23.3164,0.46253,7.84873,9.48969,0,0.00928,0.99599,3281243.14872,10.42095,3.1295,0.73319,2.91966,0.65763,0.09172,643513.94762,0.58355,1.00303,2.01381,1.68928,5.95663,0.73231,0.21126,9.41871,0.1387,345679.16741,1.86007,7.68533,
2022-02-01,55883.42835,8.18304,93015.23436,,0,760208.66444,537487.54307,1.2459,0.02009,0.46392,0.06085,0.65002,1388156.86542,1411506.23211,0.03577,398091.7163,348087.0605,3729349.40795,2819786.11439,4000672.1441,0.38249,0.1009,159176.12139,0,2.70197,11311.77018,3.13188,1.88921,863.39912,97.85406,4247672.24438,1.71918,0.20899,1.70382,25.09745,0.47675,7.31193,9.83777,0,0.08482,1.02561,3520021.7533,11.00005,3.03432,0.75513,9.8158,0.69697,0.09668,693906.21086,0.49439,1.04705,2.09427,1.73025,6.34601,0.77579,0.22676,9.99129,0.14238,369971.5061,1.85132,7.81138,498.59782
2022-01-01,52960.51975,7.93026,88409.34526,,0,720441.91276,509371.3047,0.75906,0.01919,0.4584,0.06036,0.63532,1341308.89081,1332257.32164,0.0354,382806.26672,329029.88546,3525650.98279,2677842.51631,3772464.94096,0.37782,0.0979,149675.91232,0,2.26407,11240.41239,3.07315,1.84291,847.45964,93.35428,4008340.24228,490303.84386,0.20359,1.70432,23.98748,0.46964,7.37779,9.65776,0,0.05241,1.0109,3314920.62067,10.71878,2.98088,0.83743,2.7963,0.67781,0.09428,651788.28135,0.48897,1.02563,2.05424,1.62928,6.15503,0.75462,0.21926,9.71415,0.14054,348675.79158,1.81,7.85262,491.15051
