date,приватбанк,ощадбанк,укргазбанк,укрексім,сенс,перший інвестиційний
2020-03-31,614048016.04611,0.0,78891548.64231,81740513.76753,116654617.38875,506620.83116
2020-06-30,656131903.24241,0.0,82438815.34429,82161308.9543,118320064.92278,536570.36614
2020-09-30,685360759.76556,0.0,89285633.72305,84653434.61832,124852000.39167,630526.57743
2020-12-31,729829161.31769,0.0,90778461.36369,86370157.75768,128886050.25426,813867.31125
2021-03-31,746150923.75972,0.0,90599316.98738,87216856.36652,133272732.10458,764797.00346
2021-06-30,756670361.56079,0.0,89399474.78387,86359330.15099,136880759.86811,747406.82033
2021-09-30,746003801.28933,0.0,84927387.41703,81380297.21351999,140290913.72669,649161.33999
2021-12-31,758013162.70108,0.0,84464084.4136,79829409.39273,147245843.21587,512551.32255
2022-03-31,772565656.7316301,0.0,77874564.93739,82117904.30392,149850401.76406,513687.70461
2022-06-30,904533188.08943,397384714.92023,77557581.15794,82860240.15391,133470625.29244,400060.01784
2022-09-30,1027380499.13032,452259817.31311,90168799.15718,96703247.66946,139250320.3926,341252.25989
2022-12-31,1112511482.61499,486607457.01867,97240757.90979,98087696.15592,128754108.12943,237121.10196
2023-03-31,1162796511.50314,515504596.94117,96507499.99618,98750386.56536,132447924.50322,203674.70761
2023-06-30,1201436536.41101,522899587.32983,95704451.3271,103028696.59292,131877022.09583,179300.21669
2023-09-30,1256427458.18075,542443041.09223,99667120.2864,106222463.88954,134082573.34507,177044.79172
2023-12-31,1332762701.67143,561433999.97182,102383464.94126,111461617.96505,142412552.63477,176045.22553
2024-03-31,1356698333.52802,568421393.22281,100831750.23155,117364709.59616,142900086.29499,171403.1851
2024-06-30,1411453613.803425,584435090.674485,101769292.52869499,118983484.37189999,144015771.00183,175701.72705
