date,Total
2020-03-31,0.32290700989700405
2020-06-30,0.4003261734957178
2020-09-30,0.40226630653478046
2020-12-31,0.3272299847146969
2021-03-31,0.2144311370787827
2021-06-30,0.3726297814098768
2021-09-30,0.3589064987737186
2021-12-31,0.3019543393778479
2022-03-31,0.259692572797578
2022-06-30,0.1049307380055864
2022-09-30,0.3934248112798837
2022-12-31,0.6153766973668064
2023-03-31,0.8429757205726709
2023-06-30,0.8141361450854914
2023-09-30,0.869395955690565
2023-12-31,0.9438297298768485
2024-03-31,0.9588484441105734
2024-06-30,0.9654030711262114
