date,privatbank,oschadbank,ukreximbank,ukrgasbank,sense,first investment bank
2020-03-31,10429428.05437,2628429.15575,-2074172.8163400001,339071.62218,295003.62237,7339.085739999999
2020-06-30,3607994.5980100017,964683.0035299999,156876.9208099998,98110.55715999997,167230.35086,3068.9515500000016
2020-09-30,7241968.946959998,1143450.6169400006,-328951.39363,248005.97332000005,348209.6281,3120.3078800000003
2020-12-31,3022833.848990001,-1960239.6821000003,-3357751.91178,-274148.81104,344342.21145000006,-2576.2096199999996
2021-03-31,2384821.34949,252355.77025,324903.66581000003,244057.52983999997,977908.69956,1660.8203500000004
2021-06-30,9226679.13224,260278.43251999997,798041.9074099999,482371.4195000001,482431.44773,3272.15147
2021-09-30,9600131.606200002,336718.96562000003,626993.5879800001,1021357.84508,997748.2308500002,9507.66658
2021-12-31,13838778.650480002,206024.3470999999,978478.0208,2023219.7999000002,861032.5718299998,25127.815319999994
2022-03-31,3714976.413,243562.1900299999,-2019289.16029,-1408884.1203400001,720672.7551899999,-3233.0088900000005
2022-06-30,2569025.4723099996,-4286475.370610001,-517228.19305000035,-1789962.93537,-3069173.55186,-29558.223410000002
2022-09-30,7544215.281950001,6755582.17213,-5369608.03418,-160149.84039000003,-1969624.53651,-52535.054449999996
2022-12-31,16369751.27396,-2072866.00913,187821.32520000078,-502515.7577499999,-2792038.0992099997,-78625.00447000001
2023-03-31,16042628.31686,2541687.02701,981642.59986,1433558.6497,1194266.37492,32606.66816
2023-06-30,13706628.82546,4296562.36681,994279.46542,1162507.91819,949384.32085,-29896.45106
2023-09-30,13623505.146000005,7338211.07765,1619151.6951600004,324970.9488499998,3440449.0618900005,-33017.4471
2023-12-31,-5608077.012710005,-8198200.5161500005,-347627.73126000026,-984612.9099199995,-2725121.034720001,13957.217349999999
2024-03-31,13856792.59777,4856065.542409999,2474470.74419,1907768.3352,1193126.77246,-7640.887339999999
2024-06-30,10100343.406660004,3883170.871990001,1695247.13375,919224.9274499998,516015.5552000003,-8880.96713
