date,приватбанк,ощадбанк,укргазбанк,укрексім,сенс,перший інвестиційний
2020-03-31,690196759.3780398,349255744.47361,112137374.11394,335842172.36149997,77531451.13049999,1511115.33322
2020-06-30,697093250.0292598,332521658.70649,110778965.38092999,336680584.39318997,74327171.11912,1564774.16451
2020-09-30,701460812.56804,260940665.5198399,119294492.71447003,324270818.1311101,84521923.92932001,1665728.7904
2020-12-31,395846851.57834005,161576537.93170008,83936954.40585001,190498173.55648002,58263569.985589996,1263064.35992
2021-03-31,544446743.6095201,229108583.83246994,133632545.30406998,279783328.61248004,91838956.26233,1823000.7616499998
2021-06-30,546812859.9009101,222125335.23674,135379803.30321002,262951209.05772,95929620.74978,1670850.34325
2021-09-30,546608453.34331,206783494.04688996,134550269.45793003,259399726.94159,101225086.98266998,1619706.0374
2021-12-31,546667283.17553,182294471.01927,145811270.10143998,242901065.71473998,111740984.58873999,973159.11519
2022-03-31,370002099.29486,122589158.63231003,101826207.7663,162407741.07990998,80440765.27361001,614518.8619299999
2022-06-30,386777134.63475,135020809.08431,123510762.14502001,186372123.18515,72576520.89362998,695862.18925
2022-09-30,592384691.0965703,231264796.30986005,213455445.59036005,313845086.6866,121229973.73380998,766279.50026
2022-12-31,594085573.6219199,241001398.95628,203302259.50336,297201224.58131,110927879.65040997,589481.18312
2023-03-31,594957917.8993801,242240034.07098997,194438250.58385998,276811101.08807,102117034.00166997,417642.61781
2023-06-30,598342268.51872,240177997.04337,186492891.70093,260651129.13950998,95640868.02657002,360090.34663
2023-09-30,621980627.4745501,242877487.77863994,189138462.43154997,252616352.3185,91012837.52367002,347864.33953
2023-12-31,625947153.39371,253071540.02351007,194318786.45033997,253810625.18041998,90448562.59060003,185199.49117
2024-03-31,614182129.1637299,262359435.0714,195750755.20919,259864805.69397,95097119.96152,61486.88778999999
2024-06-30,415294704.09555006,180837703.66704994,132444865.97088999,176420844.50131005,68622849.75655003,24386.92965
