date,privatbank,oschadbank,ukrgasbank,ukrexim,sense,first investment
2020-03-31,53807572.01881,110988532.65981,95674322.20514,85420004.0066,20582115.08515,551974.79964
2020-06-30,44955376.694120005,69974037.20066,107767980.15827,83787962.90825,34081955.698259994,711973.29999
2020-09-30,67741423.80629,58219156.09148,91099554.41599,97860118.31475,37941562.78938,789799.5593900001
2020-12-31,79317722.07117,53300263.02375001,80351181.78796,92462163.4003,40725662.53217,471650.51145
2021-03-31,81113193.04678,58905747.4107,57909279.44438,84895005.54523,36370216.21591,1022533.94823
2021-06-30,86212973.11879,69094510.37528,64863710.42327,123626117.26591001,29665502.244060002,3112690.2541
2021-09-30,91764936.45008,41862611.72596,69450551.73484,116636965.21822998,45594708.573010005,4675644.78219
2021-12-31,85019487.5804,21341484.288140003,69081924.99418,93277713.95613,44357277.95106,4752309.765699999
2022-03-31,79364432.21945,15216666.195,42624496.883760005,83811035.99411,31915227.00289,4606489.953749999
2022-06-30,93924257.97316,16545022.620980002,47383900.2466,83755422.13359,23855897.24272,1311950.97003
2022-09-30,132931218.47106001,30729529.63836,92267076.92365,130318163.91795999,28164167.69104,261782.03376000002
2022-12-31,165852314.16761,26717321.64689,81343322.04245,159074661.71534,25265181.09982,302262.33903000003
2023-03-31,205766121.02842003,39705149.45884,70385917.22771,191560894.8055,28035737.68601,312981.54153
2023-06-30,193939289.76358998,57179579.858119994,66962583.13567001,177810071.67946,29645374.877299998,141864.353
2023-09-30,232419677.58890998,74761838.10794,66437025.63904,173614398.94152,27525392.94551,68400.68686
2023-12-31,231370170.17698997,81113999.59964,65257613.56342,164449506.91167998,36982701.89068,63658.72612
2024-03-31,196235262.52618,86652459.08939001,63883770.77691,174790502.2236,39464241.68062,85889.364
2024-06-30,138452645.84044,70901722.12334,34449733.67024,123208711.58628,27809194.812310003,86263.99139000001
