date,Total
2020-03-31,2167630843.3564506
2020-06-30,2223727649.42953
2020-09-30,2400163830.4556594
2020-12-31,2500872058.3905
2021-03-31,2612483125.57825
2021-06-30,2717531494.3657007
2021-09-30,2899403131.0061693
2021-12-31,3092852767.735009
2022-03-31,3019468045.1470995
2022-06-30,2952250490.117532
2022-09-30,3168133277.2465897
2022-12-31,3418826738.2568297
2023-03-31,3597734644.6793594
2023-06-30,3801888472.717781
2023-09-30,3964726079.37836
2023-12-31,4157419946.93768
2024-03-31,4365615234.54303
2024-06-30,3014156411.333001
