date,райффайзен,укрсиббанк,південний,кредобанк,універсал,таскомбанк,а-банк,сітібанк,агріколь,отп,прокредит,інг
2020-03-31,122598772.36171004,49916260.77952,46201432.26282,19333454.37534,4434169.313940001,35081652.63175,3066823.8065500013,11778410.36,63466248.61943001,56843612.19006,51121706.10854,23143150.04527
2020-06-30,123382786.75248998,48576650.38332,49677550.61382,20178624.70949,4519423.33077,37034501.57925999,3308666.11035,8094242.836750001,61667323.01403001,56057379.55347,54592351.78351998,21336120.88525
2020-09-30,120645559.03394996,52300377.11266999,54314292.0689,22698378.12178,5785041.83499,39717386.68118999,3248385.34401,9097443.26867,66364901.29347001,58637227.80622,57294062.46274,21443180.1802
2020-12-31,124050486.03514503,52554588.10068,57917891.41286999,22957007.957984995,7176615.626310001,40323426.57799501,3094053.847845,8152769.21019,68872470.45451501,63875750.32839003,59667689.37055501,21121023.612405
2021-03-31,122858623.63779998,51404674.47260001,54224533.25679,23420594.746000003,8435583.10423,32834939.696249995,3112091.21804,3031594.66732,66397718.89227,66073692.12497,59453622.12125,21252106.62446
2021-06-30,142876483.14698,53121264.647,57767088.74065001,26711845.200499997,8430854.03985,34402319.84304,3307748.7048900006,6008648.54793,66747916.08299999,73504099.71894999,63784779.79034999,18172387.93147
2021-09-30,156634069.44199997,54704125.280920014,59719225.46539,29487907.07063,7001286.4410500005,35848993.053270005,3732643.72853,13844763.94347,83495854.61299002,83628168.81254,65829278.52303998,18344601.15595
2021-12-31,181365993.15784,64666365.03053999,65103301.5076,29083425.12666999,6821052.5231,36779330.00009,3641696.28098,19169691.31979,92736459.94231002,94833447.84147,68447161.22109,19213532.46631
2022-03-31,192309808.49368507,67952670.97887,67781933.886795,28015641.624015,7689977.16048,37952437.65994501,3851604.88863,23665354.465889998,102861555.434685,109114360.11236998,70632661.9749,20032559.374935005
2022-06-30,194601845.40070504,62746851.74416499,64488854.914244995,27671491.25614501,8581830.492284998,36351316.158435,4189917.0357299997,24834532.326194998,93606985.87562999,101006705.055015,74271101.87526001,21249799.028309997
2022-09-30,204980724.97951,56651920.77918,67908673.63598,28277728.39421,10781611.56254,38302410.37143999,4329498.72133,27613101.452599995,96194548.15486,103489652.41895,75124893.14324,22888704.25383
2022-12-31,198535035.86305,49342795.92439999,61737323.34372,26307001.76416,10194479.54764,37802711.41907,4226973.20128,25232930.44665,89296133.95293999,96434379.94323002,68941355.69303,23105922.97508
2023-03-31,189635215.90991,43028391.382410005,54204768.84304,24407754.90694,10546006.03826,35814155.714200005,4160746.4855399993,16574243.934699995,84506892.53554998,88787876.33748,66032328.92030001,24208807.82316
2023-06-30,168817695.88458002,39787085.53156,53377664.52728,26448950.65057,10188722.74118,38805697.65592,4067354.98567,14523492.21334,73089518.64077002,81339495.95928001,64680619.04906001,23156641.20493
2023-09-30,169626332.82181004,32588313.3042,55168646.45914,28368562.49803,10355485.65902,39866547.82416,4136746.12395,10686616.4087,72540911.18002002,80781625.31739001,63880573.221020006,21790017.93023
2023-12-31,178984434.69586003,35321492.13701,57260786.73143999,29800837.63590001,11392820.29597,38496363.53239001,3846659.1660699993,8839196.83193,72885583.16136,82660435.52858002,61933045.63590001,20496648.50222
2024-03-31,171305157.98888004,33572730.125310004,60792815.524490006,29855091.623859998,11702778.432290005,38668331.02928,4125147.7194500007,10052958.54582,66297890.18675,82431233.39494,59673295.19447,22331258.32757
2024-06-30,176432642.79661506,33176347.185645,61759670.526705,31301665.120800003,12073785.62397,41235349.705620006,4578936.107505001,12051358.55721,64681228.192545,87986615.99883004,59086139.297040015,23610306.87246
