date,райффайзен,укрсиббанк,південний,кредобанк,універсал,таскомбанк,а-банк,сітібанк,агріколь,отп,прокредит,інг
2020-03-31,122598772.36171004,49916260.77952,46201432.26282,19333454.37534,4434169.313940001,35081652.63175,3066823.8065500013,11778410.36,63466248.61943001,56843612.19006,51121706.10854,23143150.04527
2020-06-30,123382786.75248998,48576650.38332,49677550.613819994,20178624.70949,4519423.33077,37034501.57925999,3308666.1103499997,8094242.836750001,61667323.01403001,56057379.55347,54592351.78351998,21336120.88525
2020-09-30,120645559.03394997,52300377.11266999,54314292.068900004,22698378.12178,5785041.83499,39717386.68118999,3248385.34401,9097443.26867,66364901.29347001,58637227.806219995,57294062.462740004,21443180.1802
2020-12-31,82700324.02343002,35036392.06712,38611927.608579986,15304671.971989997,4784410.417540001,26882284.385330006,2062702.5652299998,5435179.47346,45914980.30301,42583833.55226002,39778459.58037001,14080682.408270001
2021-03-31,122858623.63779998,51404674.47260001,54224533.25679,23420594.746000003,8435583.10423,32834939.696249995,3112091.2180399997,3031594.66732,66397718.89227,66073692.124970004,59453622.121249996,21252106.62446
2021-06-30,142876483.14698,53121264.647,57767088.74065001,26711845.200499993,8430854.03985,34402319.84304,3307748.7048900006,6008648.54793,66747916.08299999,73504099.71894999,63784779.79034999,18172387.93147
2021-09-30,156634069.44199997,54704125.280920014,59719225.46539,29487907.07063,7001286.4410500005,35848993.053270005,3732643.72853,13844763.94347,83495854.61299002,83628168.81254,65829278.52303998,18344601.15595
2021-12-31,181365993.15784,64666365.03053999,65103301.5076,29083425.12666999,6821052.5231,36779330.000089996,3641696.2809800003,19169691.31979,92736459.94231002,94833447.84146999,68447161.22109,19213532.466310002
2022-03-31,128206538.99579003,45301780.65258,45187955.92453,18677094.41601,5126651.44032,25301625.106630012,2567736.5924199997,15776902.977260001,68574370.28979,72742906.74158,47088441.3166,13355039.583290003
2022-06-30,129734563.60047004,41831234.49610999,42992569.94283,18447660.837430008,5721220.328189999,24234210.77229,2793278.02382,16556354.884130001,62404657.250420004,67337803.37001,49514067.91684001,14166532.685539998
2022-09-30,204980724.97951,56651920.77918,67908673.63598,28277728.394209996,10781611.56254,38302410.37143999,4329498.72133,27613101.452599995,96194548.15486,103489652.41895,75124893.14324,22888704.25383
2022-12-31,198535035.86304998,49342795.92439999,61737323.34372,26307001.76416,10194479.54764,37802711.41907,4226973.20128,25232930.446650002,89296133.95293999,96434379.94323002,68941355.69303,23105922.975080002
2023-03-31,189635215.90990996,43028391.382410005,54204768.843040004,24407754.90694,10546006.03826,35814155.714200005,4160746.4855399993,16574243.934699997,84506892.53554998,88787876.33748,66032328.92030001,24208807.82316
2023-06-30,168817695.88458002,39787085.531560004,53377664.52728,26448950.650569998,10188722.74118,38805697.65592,4067354.9856699994,14523492.213340001,73089518.64077002,81339495.95928001,64680619.04906001,23156641.20493
2023-09-30,169626332.82181004,32588313.3042,55168646.459139995,28368562.49803,10355485.65902,39866547.824159995,4136746.12395,10686616.4087,72540911.18002002,80781625.31739001,63880573.221020006,21790017.93023
2023-12-31,178984434.69586003,35321492.13701,57260786.73143999,29800837.635900006,11392820.29597,38496363.53239001,3846659.1660699993,8839196.83193,72885583.16136,82660435.52858002,61933045.63590001,20496648.502219997
2024-03-31,171305157.98888004,33572730.125310004,60792815.524490006,29855091.623859994,11702778.432290003,38668331.02928,4125147.7194500007,10052958.54582,66297890.18675,82431233.39494,59673295.194469996,22331258.32757
2024-06-30,117621761.86441004,22117564.790430002,41173113.68447,20867776.747199997,8049190.41598,27490233.137080003,3052624.071670001,8034239.03814,43120818.79503,58657743.99922002,39390759.53136001,15740204.581640001
