date,приватбанк,ощадбанк,укргазбанк,укрексім,сенс,перший інвестиційний
2020-03-31,690196759.3780398,349255744.47361,112137374.11394,335842172.3615,77531451.13049999,1511115.33322
2020-06-30,697093250.0292598,332521658.70649,110778965.38093,336680584.39319,74327171.11912,1564774.16451
2020-09-30,701460812.56804,260940665.5198399,119294492.71447004,324270818.1311101,84521923.92932001,1665728.7904
2020-12-31,593770277.3675101,242364806.8975501,125905431.60877502,285747260.33472,87395354.978385,1894596.53988
2021-03-31,544446743.6095201,229108583.83246997,133632545.30406998,279783328.61248004,91838956.26233,1823000.76165
2021-06-30,546812859.9009101,222125335.23674,135379803.30321002,262951209.05772,95929620.74978,1670850.34325
2021-09-30,546608453.34331,206783494.04689,134550269.45793003,259399726.94159,101225086.98266998,1619706.0374
2021-12-31,546667283.17553,182294471.01927,145811270.10143998,242901065.71474,111740984.58874,973159.11519
2022-03-31,555003148.9422901,183883737.94846505,152739311.64945,243611611.61986497,120661147.91041502,921778.2928949998
2022-06-30,580165701.9521251,202531213.626465,185266143.21752998,279558184.777725,108864781.34044498,1043793.2838750001
2022-09-30,592384691.0965703,231264796.30986005,213455445.59036005,313845086.6866,121229973.73380998,766279.50026
2022-12-31,594085573.6219199,241001398.95628,203302259.50336,297201224.58131,110927879.65040997,589481.18312
2023-03-31,594957917.8993801,242240034.07099,194438250.58386,276811101.08807,102117034.00166996,417642.61781
2023-06-30,598342268.51872,240177997.04337,186492891.70093,260651129.13951,95640868.02657002,360090.34663
2023-09-30,621980627.4745501,242877487.77863997,189138462.43155,252616352.3185,91012837.52367002,347864.33953
2023-12-31,625947153.39371,253071540.02351007,194318786.45034,253810625.18042,90448562.59060004,185199.49117
2024-03-31,614182129.1637299,262359435.0714,195750755.20919,259864805.69397,95097119.96152,61486.88778999999
2024-06-30,622942056.1433251,271256555.50057495,198667298.956335,264631266.75196508,102934274.63482505,36580.394474999994
