date,privatbank,oschadbank,ukreximbank,ukrgasbank,sense,first investment bank
2020-03-31,14487437.865510002,5518326.492490001,-1191060.2735700002,1409406.6218400002,2988183.76713,38503.91525
2020-06-30,16178697.225539997,3398153.5071400004,1952144.73253,986788.89635,2367214.00706,38639.45975
2020-09-30,11599212.977849998,4553649.96047,384237.26910000015,1449990.1744499998,2777845.7816899996,42091.060289999994
2020-12-31,11197730.289060004,3661696.3683699984,1043492.8122399999,1444593.0205500005,2759879.2236699993,42232.950780000014
2021-03-31,6330421.7746,2715062.17832,1062228.36026,1758753.63079,3063328.4434,44922.03252
2021-06-30,14221739.873780001,3832913.3791999994,2753662.02601,1895115.5044099998,2771690.6240799995,45590.65128
2021-09-30,14082099.825040001,3831181.8939200016,1660378.5585499997,1986653.17393,3151874.4888500012,44152.885829999985
2021-12-31,16303280.661519997,5188277.667949999,1519592.6566200005,2268955.7397999996,3680781.883469999,36592.09876000002
2022-03-31,11031868.88032,5712396.97771,859327.92321,1947331.87687,3910536.10433,34091.34008
2022-06-30,14478720.458789999,2948509.2580699986,3345218.7330899998,1927386.61243,3251744.38049,13061.541809999995
2022-09-30,24156118.143000003,14750050.08564,1190031.1321099997,1725664.5369399996,3371720.225249999,473.3746600000013
2022-12-31,23566564.06909,4065153.9553700015,1461369.0471900003,1918196.9173100004,3379102.94015,-2283.54954
2023-03-31,25638406.49568,5395979.33792,1415043.47665,1824662.59353,2855166.35964,-3309.3679299999994
2023-06-30,22967376.811300006,7162201.0181599995,1297478.8445699997,2147846.5660800003,1905860.9954499998,-4456.087530000001
2023-09-30,21386433.120380007,11296846.051320001,2108581.3976700003,2553314.9482399994,5285723.887879999,7690.6138
2023-12-31,31645315.65371999,-454568.3847599998,3122231.05562,2687447.474770001,2806943.4587600026,19935.795359999996
2024-03-31,25391555.2684,8537115.05521,2319023.00064,2774582.93794,2700926.25634,13112.32886
2024-06-30,17472047.375510007,6278718.233449999,1686069.4462499996,2015911.07994,1772445.7671099994,7819.560749999999
