date,privatbank,oschadbank,ukrgasbank,ukrexim,sense,first investment
2020-03-31,275879561.18694,125360138.0284,10441.15422,81377226.06424,2280274.44326,549604.0121299999
2020-06-30,297906391.94377,133676258.60679999,2008.77534,84946026.33158,1691226.6696499998,0.0
2020-09-30,305016842.99337,138103564.6637,15322.62053,87544513.9105,1453620.31161,0.0
2020-12-31,304630947.58595,139234560.14450002,10397.59029,88718631.83408,944895.03298,0.0
2021-03-31,290719074.91839004,135436817.5392,10814.24958,86494188.03951,1310490.5277200001,644.9222500000001
2021-06-30,283745600.07258,131521489.1964,33070.55531,85657149.47795999,1952831.77341,0.0
2021-09-30,282499570.42732,128945629.54,15466.905980000001,80019179.48866999,1758066.50794,0.0
2021-12-31,276066553.72365,127223848.39649999,17887.905700000003,71681759.74488,1872088.4386,0.0
2022-03-31,279739477.15285003,134563590.25358,12524.17982,73461860.10385,2583725.14453,0.0
2022-06-30,268751339.36316,135103664.6082,1380.95957,73665961.52215,2509034.95375,0.0
2022-09-30,299439628.33072,165747681.86522,6583.03662,90472700.82629,1054544.14127,2010.3156
2022-12-31,290638068.02826,164847535.44904,30294.479330000002,90760125.10442,67302.00816,0.0
2023-03-31,291457743.08906996,163045949.86772,69873.7885,91577787.89383,48556.57282,0.0
2023-06-30,294861449.06923,159540808.62435,38333.59287,91661982.73129,22596.67901,0.0
2023-09-30,289975332.11195004,161573754.33512002,24632.09173,83328247.08078,5089.40449,0.0
2023-12-31,290296348.15296,158120927.99212,44425.71973,67915671.50933,934458.90726,0.0
2024-03-31,305868519.90313,149012955.67552,5584.22946,70702687.98793,1973155.13637,0.0
2024-06-30,206078864.50985998,103125016.91720998,174.83183,47626898.24257,2314932.38725,0.0
