date,privatbank,oschadbank,ukreximbank,ukrgasbank,sense,first investment bank
2020-03-31,183790446.52199998,61566559.57779,24558042.748069998,25132240.69385,25502345.75273,1065101.8389
2020-06-30,159563344.60698,68620647.80088,19310708.64479,25633492.038610004,26500295.90826,1080895.25152
2020-09-30,141557642.3006,72002426.52673,26759249.62613,27743617.35855,27678718.7492,1101159.51596
2020-12-31,158004037.58832,70357936.17276,34164710.68217,26915999.44863,28364402.96708,1089971.01892
2021-03-31,162913403.70188,66080589.26479,30027447.55904,25197023.56682,30550381.75811,1078184.72732
2021-06-30,123061857.80203,65718365.82773,32483376.89463,26308363.89181,32672146.16764,1087802.91945
2021-09-30,152021979.92449,64716329.008320004,34382497.60782,28667546.22278,35535989.44799,1101650.30418
2021-12-31,180656438.14234,65542767.24457,36297279.22813,33671640.63573,37957610.21347,1229023.30911
2022-03-31,178176941.50952,67092838.38024999,34942242.453889996,32729427.38815,40136085.78982,1211368.7769300002
2022-06-30,152355894.99778,54560735.87881,30551595.71635,26590348.84565,37002902.16922,1160745.0725600002
2022-09-30,208717002.64145,69173985.09284,20202093.46385,22301410.03402,26412051.34894,1014768.2348799999
2022-12-31,171612422.09395,68051188.71208,8301210.35082,19402674.72843,22735401.416840002,845070.66
2023-03-31,202634982.79264,73276908.71552,12053415.35354,23248658.533940002,20699932.17668,866870.24868
2023-06-30,186335094.78497,77326129.66666,16360147.26574,29271235.52154,23370167.36568,752125.3555000001
2023-09-30,237090503.40648,98050219.6816,19050713.272749998,33655014.75575,34878105.53367,631412.91353
2023-12-31,269405853.58325,98977462.78069,23535840.96189,36500773.02944,33084329.21775,669614.91593
2024-03-31,282167502.52649,89790613.78903,30250887.37602,38247197.886590004,33091815.25717,650342.74563
2024-06-30,155342126.49497998,69233383.87028,22977872.25136,30047321.907059997,22246227.13046,414454.78390000004
