date,privatbank,oschadbank,ukrgasbank,ukrexim,sense,first investment
2020-03-31,430016515.1409,225547520.4,81971289.7608,109768655.4551,24433125.5074,617794.7
2020-06-30,482246667.6169,256943063.0,115950978.2009,128897475.4474,26693959.543300003,928986.5
2020-09-30,501508809.37979996,275875057.2,131413049.41160001,140584838.2335,32889528.2746,724262.7
2020-12-31,543207005.6307,288162023.0,133764926.0843,171319335.363,33144538.1302,1160267.0
2021-03-31,586210596.6604,308046935.0,130002132.76519999,157580474.2697,30261469.449699998,2276965.0500000003
2021-06-30,550624433.5077,298566621.0,109851123.9972,154217964.6027,32589650.3517,2928200.25
2021-09-30,546480444.3855,248453393.0,91684099.0379,155490248.1217,29964497.373400003,2497120.552
2021-12-31,572868660.6836,253164995.0,67754172.8841,147334817.098,30817246.384899996,2557265.4
2022-03-31,617523517.1467,267725357.0,73129142.1228,151063324.2258,34319791.3068,2297741.1500000004
2022-06-30,646963678.3234999,269024342.0,71802547.6286,145531139.7569,32378432.998099998,1761000.0
2022-09-30,674632267.5085,262686434.0,66637947.4608,143135336.3269,29158455.5175,1761000.0
2022-12-31,699162770.4588,267471058.0,63472046.654300004,143568607.0816,12947052.757299999,1710000.0
2023-03-31,724671180.3184,288021608.0,77486958.50320001,161851999.6494,17365544.677,1754758.0
2023-06-30,698418909.9871,282749412.4748,85269679.8566,174607908.4911,18859789.1494,1807137.0
2023-09-30,680988712.6937,285845746.174,103045973.37110001,180151870.04050002,16723720.171300001,431181.0
2023-12-31,736933463.5897,311084250.653,123107525.58250001,171399754.7587,41946793.742599994,216181.0
2024-03-31,780058467.6246,329738584.12880003,133417205.5789,173670661.4535,59881549.565500006,246181.0
2024-06-30,518339190.89860004,232682852.68379998,94279909.20699999,119342015.3022,47060634.0613,297454.0
