Date,01,02,03,06,08,09,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,35,38,41,42,43,45,46,47,49,52,55,56,58,59,61,62,63,68,69,70,71,72,73,74,77,78,79,80,81,86,90,93,94,95,96,00,66,82,85,64,36,91,88,60,87
2020-11-01,1805331.07696,23.15549,180.75325,35400.21046,6908.555,514.14099,964134.89827,26848.48304,65762.40855,67138.51804,9970.67077,203716.71426,79202.64203,2245.68055,16612.11061,69088.39498,112938.73395,264626.05236,32544.01223,75093.0319,289111.43785,654.74723,37137.34868,134435.94807,438.28756,0.03951,45099.50637,40452.80719,7731.70149,73055.57824,1438.85547,90293.25189,102609.77978,70744.44824,179168.94358,1504636.47784,350381.1876,123296.15831,111172.84077,0.00025,2406.37266,11457.19325,31.10583,970.51529,44855.8114,0.68498,250060.8124,144.38785,2477.21981,93.84545,3275.22502,1026.42503,1603.58196,287510.12782,0.19191,0.88931,241.04938,20273.98815,3038.51282,0.00078,131.69851,0.00158,45847.4223,670.17578,,,,,,,,,,
2020-08-01,1819442.58368,45.05646,180.67135,34337.28667,9332.15761,,929474.00846,27298.97935,77988.86965,65112.39507,10102.08498,230352.73105,95755.11937,1937.16219,49900.34071,67898.87379,113526.5434,211414.58941,38308.39617,62035.11719,233005.12903,2544.72275,33993.0066,146545.11686,476.38068,0.04053,83903.03741,44200.86647,4554.74155,78814.88154,1886.34056,99319.56081,69909.55423,76679.98011,181273.46635,1272791.43657,381072.06093,113738.0243,38952.26729,61.36378,1366.21913,18351.20405,40.99083,1161.05444,41887.79157,14.62172,259073.40863,34.41847,2699.55095,162.55798,3572.81391,1106.90117,1655.0167,272899.83805,3.49664,0.97335,351.27129,9878.56196,1493.71643,0.00433,442.32564,0.00155,44431.1664,842.40267,0.00077,0.004,16.81975,6.25118,,,,,,
2020-09-01,1882268.08768,71.80379,181.41941,34070.19124,8288.18425,525.95454,890859.03113,26964.42944,74752.45846,64817.59376,10040.4742,210728.31269,92803.61149,2782.5281,59998.80401,67898.52802,113020.15965,192274.2965,35003.94095,62259.02994,202372.80724,,31599.35554,133174.56076,485.69004,0.04053,60321.68262,42991.76516,4806.6904,77722.07777,1875.27625,101029.43582,88759.75302,76141.66681,188000.28412,1359382.98862,363454.79625,115694.77847,110320.50295,87.87895,1241.71457,14776.33481,35.38267,1054.62348,41520.54064,2.3795,256676.45912,101.02486,2556.67077,618.27985,3461.23155,1091.40606,1634.38692,267372.15785,0.22897,0.85146,268.95145,11242.46253,2465.29957,0.00433,375.59731,0.00156,44869.73232,788.93066,0.00077,0.21822,10.90082,6.95632,,,,,,
2020-10-01,1882570.16861,28.27985,181.044,35090.70907,7355.41538,536.9221,939363.2909,26844.92395,75388.78029,67320.21976,10041.38573,210671.06968,78844.01359,2041.04069,51515.59755,69029.53819,103202.064,213935.64299,50990.98646,69379.26944,282076.69037,345.96262,31893.25148,127218.50631,487.0183,0.04053,51997.15269,42306.64162,5643.41252,77276.3605,1713.21556,92253.23213,98916.0735,76325.68522,184300.78749,1551212.94359,439908.09729,124423.52875,126474.42063,75.0574,1079.9738,13134.48799,30.48639,1166.71544,45805.18276,0.51942,272085.71419,76.52658,2621.67217,413.66964,3375.05742,1099.70133,1655.93505,275527.75175,7.55411,0.89311,260.38559,12289.00903,2508.57873,0.00433,228.04995,0.00157,45435.00217,724.00294,0.00077,0.19042,4.87898,5.80744,,,,,,
2020-12-01,1734370.45144,17.44204,146.49432,35300.51634,6295.1826,495.48993,1020841.98882,26722.48571,63496.88331,68111.94357,10044.53415,215917.30786,74818.60446,1776.78481,20964.13079,74582.57827,114756.83728,283198.18305,31610.30104,75724.48378,280554.07378,259.9482,40167.05867,128728.77824,426.81868,0.15843,53378.9767,39096.82177,11502.84818,71831.61933,1371.66993,99382.15568,106750.84479,66814.12708,196714.76921,1450785.37914,350259.59343,122542.40139,90950.68594,0.00025,2345.18511,13725.89329,31.72526,949.46229,43753.45105,22.35024,229305.50291,126.87938,2430.23898,53.1696,3169.00392,1319.70391,1564.15177,291322.89446,0.14301,0.81949,325.70645,21006.85916,2727.71122,0.00078,186.6052,0.00159,42717.82074,618.1775,,0.21827,,0.11514,,,,,,
2020-03-01,1433959.21941,9.62737,180.62874,30455.74501,50131.5036,,750345.87254,38567.98029,86092.51355,57607.8358,9033.25875,203957.89583,87220.40435,7337.00297,45317.89913,49546.30565,94069.9708,158545.85656,34061.50219,37323.41129,163722.21199,3819.6945,31401.85682,138063.46073,568.04256,0.04157,111185.19105,33302.11684,4941.63507,57679.34098,2392.51458,78431.05231,29107.43115,66506.05425,197849.46988,1192376.54825,163123.00012,120999.23304,18010.30754,93.26401,1057.41601,14992.88225,49.56722,3245.69036,46000.26009,41.7186,320974.1736,181.55184,70.94378,233.97135,1266.78367,871.6322,1498.18284,186631.42126,0.19795,19.53078,375.05585,14223.27168,3234.71701,0.13828,483.11122,0.00242,37152.0107,629.48343,0.00077,,121.75579,0.00028,11039.75677,,,,,
2020-07-01,1727944.81546,58.27867,179.04541,33167.35979,11453.80013,,889949.92489,27626.07594,73214.96641,62343.93203,9483.3683,209397.62348,90285.18803,2812.07328,40148.15618,60108.92925,122952.72821,193462.56797,43209.4677,61955.81161,193313.39764,2244.1707,33315.44541,156271.50578,501.30268,0.0415,89313.25168,42804.88138,4035.07812,81065.10735,2003.25248,149130.7551,32169.11397,72313.19386,187619.75807,1189936.81405,397197.59085,109357.94774,37891.6129,89.03254,1496.48413,19835.85291,47.87473,1867.29637,45850.42879,12.65169,253956.86819,52.14756,20.51882,740.50207,3727.06147,1133.61027,1561.21291,219712.37928,3.39576,22.23906,279.55905,10854.17157,2303.34524,0.13258,451.78068,0.00154,40862.90996,403.07997,0.00077,,22.78963,4.58847,,,,,,
2020-04-01,1530182.05826,1.32036,177.69449,34955.84171,49857.02266,,855983.47725,28538.41067,96703.43736,65674.54835,10389.32105,229412.73752,92446.72935,8602.68377,60497.04093,61029.43562,113833.40686,178456.32773,33037.64308,52264.08275,178703.51788,4855.85894,45077.83662,153151.10721,475.24362,0.03967,112328.72164,40976.53799,5040.48956,73865.15959,2245.7262,102328.88351,34040.47929,65962.44001,266862.14266,1231045.49881,215760.70264,125974.39492,17721.37133,78.21902,1075.61044,15486.53412,45.50304,3085.52711,53416.09192,8.1631,309638.11253,192.58762,115.29298,190.09239,1455.93433,845.09959,1675.41622,191289.08308,0.07157,20.08841,397.66386,13561.89037,3840.13457,0.26343,415.89538,0.01559,42712.27228,473.50395,0.00077,0.1128,40.71721,19.55924,,,,,,
2021-07-01,2353891.53799,1252.26797,77.08539,103944.09242,18733.51155,353.04875,1051429.33917,8047.28375,104415.02817,66328.02618,10770.65303,186675.90418,94094.07295,3804.04749,23848.35161,80572.78039,105866.75314,277312.66517,153243.67304,86546.57148,224872.66126,1089.75169,41373.43322,97377.95981,116.38679,0.10849,111712.59677,38815.0885,18389.21125,54987.01959,5146.18385,191288.3722,252510.49864,110028.51285,328143.48263,1846263.80006,456203.00586,173254.64187,48425.62251,1303.65954,3614.86749,12906.71417,6e-05,12198.0954,52252.47796,1178.16433,269781.68196,43.35799,2228.85938,9308.78251,1232.84823,881.42185,1492.99591,222930.23663,0.00568,0.95346,372.76224,32139.98397,15511.83709,0.00078,131.71779,,35148.65683,1916.53984,,0.00185,,,0.05608,1012.70739,0.00673,,,
