Date,01,03,06,08,10,11,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,29,30,31,32,33,35,37,38,41,42,43,45,46,47,49,51,52,55,56,61,64,68,70,71,73,77,86,96,00,19,50,58,62,72,75,85,05,36,65,66,69,80,02,09,81,79,07
2020-11-01,1927942.49359,2194.95208,705224.27582,134611.11601,9691370.49624,2766269.87876,363370.72502,5697.23753,3042.10276,166355.0745,228570.39924,1502275.4998,11254287.85797,45812.20093,959992.92579,675226.02869,8142581.25089,398724.66605,30474.97883,4082341.30909,2662458.5647,1019894.2778,533393.50238,74862.7938,270.90645,11897.73219,14414188.02658,1830.97184,1421.18043,1277720.19286,507028.60014,24019.16408,369931.90504,9678550.51991,262470.95476,2290930.29219,8216.36894,772116.94564,4312415.06955,201.42458,461.00891,33824.23218,8979632.46932,4298473.86188,21935.41003,322.98313,77879.67216,3179.71558,956.81211,,,,,,,,,,,,,,,,,,,
2020-08-01,2453265.95542,185312.2125,1906640.98381,142032.60018,11223473.8406,2540021.04083,375719.08864,13231.37274,5066.51928,181728.37692,233097.71979,1507267.40072,14119929.73537,54164.98705,2946708.61723,3823355.16874,9212750.15343,697659.04596,30443.31294,3956957.90109,2823307.25714,1230471.14345,992654.31548,212544.41728,,16705.17818,14402885.86057,1876.01857,245635.95612,1496357.03265,504498.35043,21638.49662,472800.48739,13314986.24276,519399.68686,2408693.34598,148224.01349,738194.24364,4177247.66084,201.32062,447.21565,39969.91421,11605372.45895,5088891.0566,21367.44098,322.77812,76673.57556,316590.68222,,303073.50511,1258.95986,188.22125,3930.67581,924.07044,,,,,,,,,,,,,,
2020-09-01,2358989.64101,185323.52634,207794.12029,138943.45931,11139401.77861,2529280.11594,373942.18156,12389.22012,5066.51928,178453.55169,229386.79727,1509459.50336,14090409.51518,57649.66221,2941287.2006,2861028.27749,9203080.54652,644114.89356,30459.85487,3963003.20507,2627132.31958,1234200.82897,698086.92289,211143.78241,,16431.23353,14307228.39421,1779.82177,247569.05108,1541177.77706,511493.72022,22719.92841,446463.47325,13181945.04526,313810.11965,2374521.43824,147365.9033,738873.07093,4179341.92677,201.35565,451.91445,37874.66239,11442166.54832,5049289.49085,21338.50435,322.8472,76196.56274,300195.53564,,303710.3484,,,3961.49482,932.54785,908.93125,,,,,,,,,,,,,
2020-10-01,2064206.64697,2333.26532,600383.33333,146318.3155,9230895.00297,2492832.3621,367785.17184,8262.31712,3056.11786,168534.2318,229737.06033,1509472.19701,11202705.7794,52193.38064,984636.69006,929097.39443,8064986.76974,440667.43022,30449.52176,4061150.83808,2678673.1702,1017291.30323,557617.4718,76414.52357,182.11929,19282.14579,14456235.51695,1547.6235,318.19408,1466604.9349,502624.79869,22046.49337,394424.71917,10051117.29872,227365.88142,2325436.24279,42847.98878,766973.3417,4257649.74362,201.30171,456.46168,35816.00379,8904394.9609,4280871.87283,21964.82048,322.72066,74286.51982,1769.81101,,,,,,,1919.63239,,,,,,,,,,,,,
2020-12-01,1820138.80788,3624.86135,1606894.10774,139740.19886,9754759.82754,2829604.51824,358285.23162,5404.41216,,167945.97823,225436.17557,1522273.07083,11338675.27402,42308.44982,968199.29172,816553.84938,8164822.18765,360408.7888,30381.31623,4117384.34663,2638141.42288,1022387.2075,504164.95112,75732.41971,607.02299,10691.87312,14443552.10379,341.94708,1498.10954,1280314.68002,510405.28567,24429.36722,329591.19675,9501807.14633,225818.68397,2253055.41985,,777431.89626,4355286.38348,201.37064,465.70771,56819.99395,9074046.18321,4307445.31969,21967.9227,322.85659,77894.27322,3121.87883,939.20964,,,,,,,,,,,,,,,,,,,
2020-03-01,2609017.80461,185235.79327,,122274.66281,10300715.13722,2509542.38101,363004.80974,21923.40497,5061.66607,208799.75135,204665.12163,1378513.68571,12457234.53101,70287.36537,2706707.009,4387898.81204,8390005.12818,418763.80315,30125.3473,3337802.38885,2457318.66497,1211654.85771,2545731.20788,192928.98877,,20644.10286,12387888.48244,1943.03394,236095.172,1450675.36766,2221509.16007,17636.8281,309717.16624,12778772.56533,571843.02781,2535049.50305,93053.15789,624499.67864,3561503.67318,,423.87322,48842.80089,10261845.83343,4511633.11376,18977.88585,260.29274,69175.23339,277131.0753,369.92496,472709.04274,1576.13219,17030.55296,3778.56908,881.95685,,247.69104,38.16097,,,,,,,,,,,
2020-07-01,2572406.49709,185295.97865,723668.89107,144471.08346,11039966.78535,2570733.74522,364601.02579,16236.58485,5064.40716,192817.46007,217935.86075,1449106.77959,13480863.57659,42586.88095,2871614.91193,3801692.80877,8849863.36713,772620.90318,29982.00073,3730102.68749,2617109.11988,1226665.7698,1328897.19975,205490.98078,,21638.90678,13510815.9518,2022.64785,243702.84866,1455600.24022,500670.8328,19594.12093,282180.2074,13371201.00083,329516.37204,2425415.24605,141964.43979,704051.20937,3986717.16446,201.19775,442.51685,41725.44071,11306046.71907,4904144.56423,20611.26476,322.51565,74294.19874,304493.42681,,494346.99536,1214.16879,15928.4114,3899.8568,915.59303,,1.33,,,,,,,,,,,,
2020-04-01,2775077.88745,185253.35303,,119926.53079,11326682.73031,2544242.96342,407846.13799,24583.40076,5067.23503,226789.80152,230514.19288,1475884.33278,14050434.17265,114439.17053,2919925.31775,4772822.87264,9521478.61439,465217.79603,30213.25036,3832205.02478,2765332.48319,1215898.80475,2629476.36476,214195.32903,,18897.81554,13955715.6727,1998.75318,238028.29196,1517160.4385,488403.95455,17832.25164,299016.10951,13198311.15753,594985.77352,2532690.01783,148510.23062,718991.3443,4089560.69745,101.13119,428.72359,47486.16837,11659835.67688,5156988.34165,21584.06063,260.4559,77428.27653,315310.95434,425.42414,492396.61606,1276.7088,17042.87156,3809.38809,890.70772,,229.704,28.8987,,,,,,,,,,,
2021-07-01,1694816.0059,3817.36545,,130926.7931,9934577.75617,2486729.70205,428155.918,,,145299.09206,199857.0775,1477733.79217,1001823.52092,27115.92855,1016936.05462,758310.384,8204076.0496,353124.39585,31244.58397,3993355.08815,2317686.43953,882270.91205,508802.75541,92153.36086,20237.09864,17642.69392,16785073.31419,,52291.08566,1302872.80613,1403611.35663,20409.47416,273200.82354,8863380.12721,19914.36573,1870412.91316,238185.05932,727418.79516,2566614.92975,,488.74699,69208.56124,9211017.04418,4111017.35127,1015.35952,185.0346,218327.56663,8693.02536,805.37513,,2.33265,,,1.5541,,,,294973.69738,764.1058,11855.16271,2533.82176,1138.97544,111.73903,,,,,
