Date,00,01,07,10,24,25,27,28,33,35,42,43,46,68,70,71,93,95,20,23,29,45,47,49,52,63,73
2020-11-01,0.0,350938.53626,3643521.14408,2922282.45838,798627.21061,130793.11995,4688622.4846,2641231.84359,1017211.94464,1312603.44587,1270586.25076,4218.76801,4081982.38738,1541230.64276,15813.38252,27037.8144,275854.44358,1658.95351,,,,,,,,,
2020-08-01,2393.6665,340491.02987,3502830.23839,4525972.18342,1074775.54205,125305.92412,4447758.77417,2515663.39263,990492.43881,3379140.00138,1273924.50639,4218.76801,11617830.69929,1574042.1023,15813.38252,27024.96212,264363.34645,1658.95351,829073.35557,51909.94398,3801.65631,248.81586,7435.71892,4318.56337,2739.11498,1646.98724,24800.65986
2020-09-01,2393.6665,344815.08005,3490976.99782,4509457.77441,1070313.83487,127154.87054,4452514.59558,2514881.38098,982787.7781,4431105.12627,1273924.50639,4218.76801,11557791.04588,1564701.08528,15813.38252,27029.2282,267768.95215,1658.95351,822624.31197,51006.58581,3522.37904,248.81586,7435.71892,4318.56337,2739.11498,1646.98724,24800.65986
2020-10-01,0.0,346614.48608,3610681.35537,2890604.63992,798573.39749,128944.17353,4625107.6082,2608935.86059,1012225.73432,1296991.12551,1270701.36592,4218.76801,4057628.8889,1533598.87683,15812.95081,27033.41884,272531.56027,1658.95351,,,2884.82603,,,,,,
2020-12-01,0.0,355123.10095,3670398.03699,2942238.55086,798573.39749,129004.28758,4732994.64984,2662836.42394,1018277.86335,1329451.49294,1270586.25076,4218.76801,4092260.60711,1542768.31204,15812.95081,27046.36455,282464.84408,1658.95351,,,,,,,,,
2020-03-01,2393.6665,321606.60168,3096050.06389,3948144.2806,1035589.16763,116180.47888,3771350.20727,2148402.71254,878524.47483,2799801.84756,1273924.50639,4218.76801,10601143.70695,1394445.71566,15825.90164,26720.08186,215380.4273,1658.95351,735352.64456,51536.99795,100105.40325,481242.93939,7435.71892,4318.56337,2783.03655,1646.98724,24800.65986
2020-07-01,2393.6665,336166.97969,3384740.56357,4354164.08542,1063228.05553,123456.9777,4249053.22411,2406647.92667,954755.54688,3117905.45743,1273924.50639,4218.76801,11278613.61303,1517730.89522,15812.95081,27020.76038,245206.91866,1658.95351,799160.45189,53111.65898,4665.82429,248.81586,7435.71892,4318.56337,2739.11498,1646.98724,24800.65986
2020-04-01,2393.6665,323473.80013,3529219.11448,4510472.20344,1071870.94572,118029.4253,4349045.191,2473785.6317,1003734.15375,3219986.4445,1273924.50639,4218.76801,11697611.45394,1584771.03503,15813.38252,27008.78869,243688.3523,1658.95351,840157.08786,48567.2425,100269.11162,482704.38616,7435.71892,4318.56337,2783.03655,1646.98724,24800.65986
2021-07-01,0.0,384763.19427,3626145.22007,2922337.26578,733652.81122,141655.45959,4784415.79871,2669078.23558,972071.36051,268224.74493,1270586.25076,4046.99983,4024936.71472,1475051.28131,15812.9863,26746.337,286027.34639,1658.95351,,,,,,,,,
2021-06-01,0.0,380567.16502,3660579.88193,2940961.83225,802372.40258,139861.263,4803356.20933,2682712.64732,983664.12065,269044.37869,1270586.25076,4046.99983,4041723.70811,1490400.59244,15813.41918,26746.337,291599.09399,1658.95351,,,,,,,,,
2021-04-01,0.0,372035.23888,3686344.57815,2948657.26857,798241.78103,136213.06326,4791976.72778,2682733.16016,997428.06423,1294268.53354,1270586.25076,4218.76801,4052123.80792,1511255.05812,15813.41918,26949.22592,282608.12458,1658.95351,,,,,,,,,
2021-05-01,0.0,376231.26813,3677873.51271,2950734.86672,798187.82048,138007.25985,4807206.76373,2688087.78673,992592.08405,1323966.80587,1270586.25076,4218.76801,4050232.68748,1503852.40529,15812.9863,26873.25356,291156.42126,1658.95351,,,,,,,,,
2021-09-01,0.0,393434.98805,,2920933.63203,733366.03684,145363.46589,4805690.92395,2674753.7857,960761.1761,269906.38071,1270586.25076,4046.99983,7623174.42339,1462414.24472,15813.41918,26416.337,286003.1711,1658.95351,,,,,,,,,
2021-10-01,0.0,397631.0173,,2905645.30876,720611.66492,147157.66248,4791697.44077,2664047.75059,950599.17931,269350.76973,1270586.25076,4046.99983,7595560.92554,1449112.79374,15812.9863,26286.337,282896.98739,1658.95351,,,,,,,,,
2021-11-01,0.0,401966.91419,,2894328.68727,718921.67005,149011.66563,4784419.13769,2657037.69622,941674.79283,269175.59016,1270586.25076,4046.99983,7574042.43404,1437726.02064,15813.41918,26156.337,281521.14553,1658.95351,,,,,,,,,
2021-08-01,0.0,389099.09116,3596530.69392,2907511.05776,743109.42403,143509.46274,4771940.74865,2659019.12919,961712.63374,267770.06163,1270586.25076,4046.99983,4010377.24658,1461597.56258,15813.41918,26546.337,285492.95867,1658.95351,,,,,,,,,
2021-03-01,0.0,367699.34199,3668902.99135,2936305.89476,798469.89938,134359.06011,4759688.86691,2667955.90153,999034.0961,1335955.26844,1270586.25076,4218.76801,4041790.80361,1513460.74726,15812.12055,26946.15798,290251.79716,1658.95351,,,,,,,,,
2021-12-01,0.0,406162.94344,,3003436.00617,,150805.86222,4976085.67234,2760543.21814,971985.51469,280190.76361,1270586.25076,4046.99983,7787825.72495,,15812.9863,26026.337,284594.31957,1658.95351,,,,,,,,,
2021-02-01,0.0,363783.04802,3682110.84597,2948344.41588,798631.78103,132688.57087,4768001.33065,2675648.10996,1008434.21141,1335653.27623,1270586.25076,4218.76801,4055689.01884,1527931.04328,15813.41918,27001.34064,287928.67906,1658.95351,,,,,,,,,
