    ,a-bank,alpari bank,altbank,ap bank,asvio bank,b concord,b industrialbank,b lviv,bank 3/4,bank alliance,bank avangard,bank credit dnipro,bank familny,bank for investments and savings,bank grant,bank portal,bank trust-capital,bank ukrainian capital,bank vostok,bta bank,cb accordbank,cb globus,cb privatbank,citibank,clearing house,cominvestbank,credit agricole bank,credit europe bank,creditwest bank,crystalbank,deutsche bank dbu,eib,first investment bank,fuib,ibox bank,idea bank,iib,ing bank ukraine,kredobank,metabank,motor-bank,mtb bank,okci bank,oschadbank,otp bank,piraeus bank icb,pivdennyi bank,policombank,poltava-bank,pravex bank,procredit bank,radabank,raiffeisen bank,rws bank,seb corporate bank,sense bank,sky bank,tascombank,ukrainian bank for reconstruction and development,ukrconstinvestbank,ukreximbank,ukrgasbank,ukrsibbank,unex bank,universal bank
2020/01/01,1443184.61692,35820.77577,49214.91305,100554.04216,84636.72197,77105.25605,334414.55276,127044.20336,89229.26221,151901.17038,80725.26121999999,221619.80264,27729.44714,146059.28790999998,134256.88423,52941.1866,18129.34148,38284.9703,655116.1447299999,30958.76721,141430.23278000002,148700.36217,19666809.25846,1921891.32294,118175.23579,31587.97146,2531153.4882300003,76525.72714,113174.2066,124960.8678,136004.50673,65216.10517,104108.19537,5292099.6725200005,59630.93023,1610031.3443699998,147478.88692999998,983699.11033,1490852.54644,61815.24264,83244.14521,288808.50878000003,18815.28673,5491640.16971,3647214.92132,225376.74817,1199848.98946,40522.60135,163299.51421000002,393880.49115,1295567.45453,143739.30462,7173438.23822,29396.11097,132012.85154,3976594.05943,9028.50002,1337138.57747,23504.66379,54671.32335,1770932.83507,2739886.5457900004,4230761.48906,106032.98947,1226568.08383
2020/02/01,162008.10197999998,2864.7431,5199.01502,8029.33863,6651.48273,5354.07524,25260.7708,14383.65663,7785.66243,13582.56584,4416.7773,30303.41029,2107.98375,13055.21653,11980.69613,4120.46447,1874.98415,3195.62256,59652.79231,2791.09225,14904.54212,16883.25847,1796027.70291,197901.27232,9247.20058,2684.8634100000004,219828.66457,7419.92575,9613.93253,10072.48494,11219.59202,5667.27821,7715.714300000001,580411.4127100001,3578.49605,147015.89588,11613.3493,71519.1521,141900.64459,5026.894,6400.66384,25614.297270000003,1450.32232,525191.98071,312618.2084,18390.13435,106440.83899,3606.42546,11082.10798,30177.23019,117442.28515,13220.7804,634564.1428400001,4478.83091,10077.21192,416720.89793,1972.56326,112507.13969,1711.8785,4977.52414,160597.10318,307893.17125,332986.52843,10439.50189,176042.49958
2020/03/01,334992.72151,5408.21794,8583.32007,15085.8676,12711.60545,9260.98001,46524.52604,25790.47722,15054.97558,25493.39306,8257.40442,63173.19754,4443.98466,27634.38944,21955.96897,7771.96039,3589.14922,5110.06954,116283.08274,5265.044620000001,27822.05133,35507.00125,3422395.89664,362441.83403,20024.69211,4863.18092,421073.45719,15071.67441,19341.33095,19268.38013,19825.60368,10942.25435,16304.76953,1134325.52545,7157.75428,275103.5407,23742.33976,127880.88211,272283.0724,9332.42651,11904.21958,50406.35356,2574.44219,967807.72072,614125.6385499999,33654.82541,219705.35152,6856.22535,23530.153680000003,52912.0517,215437.73024,25530.536900000003,1231239.87613,9185.43349,18210.20234,996417.54718,2075.21759,215233.62697,3444.99501,9375.94778,263689.28018,555938.95283,626796.50155,18251.46148,342487.59937
2020/04/01,408764.81467,8212.82014,11635.37051,22344.5822,18791.94385,13098.83992,69731.34572,40978.659810000005,22362.38953,38357.38132,13734.37858,96031.42427,6113.49802,44215.20883,32750.177020000003,11665.04342,5237.5373500000005,6736.2354,176130.55082,7697.95773,40667.58651,58125.12531,5217613.01226,501815.75668,31039.61359,6764.74424,619554.01254,21391.85467,29875.26693,29869.85355,29571.71049,15423.59932,25184.61692,1722445.9062400002,11076.80848,423839.48781,34656.917129999994,180654.48574,413889.60696,14385.0014,18986.75253,73553.30994,3455.33752,1482721.60979,950995.41932,50645.64219,330335.44139999995,10319.46822,34796.665740000004,78664.12389,326853.05561000004,38484.12894,1860255.69779,13551.01086,25307.79903,1388036.34028,1694.36956,317400.40076000005,4958.93596,14337.78867,325986.30921,881077.1366699999,937283.32388,26180.22713,502872.35714
2020/05/01,537017.89328,10922.5717,14458.5552,29387.10216,24958.43781,16409.50459,95694.96671,55063.1094,31175.10554,53597.945770000006,20548.78424,123744.84674,8385.61047,64718.19307,42728.63769,15586.42396,6765.00259,7751.9989,235490.82462,9893.90867,54103.35556,80732.69804,7038161.23147,606286.40314,42280.17571,8075.52454,829249.4964,27553.18167,39846.3222,39024.06849,38288.97635,21332.79685,34203.720519999995,2294030.48301,14830.84429,573527.13694,46854.93344,235931.52063,549827.64349,19415.73988,25185.00997,98987.15293,4889.06392,2053352.07889,1245993.5763,67901.6095,432613.24773,14040.47542,47565.3196,103267.43936,431314.14232,50685.09357,2470841.21003,17577.239110000002,33170.157779999994,1770287.642,2108.4607,422553.88127,6553.63342,18833.04879,350828.95092000003,879656.57836,1251378.96814,33770.72185,667958.89119
2020/06/01,675024.71736,13658.85097,17266.127829999998,36179.23787,31465.59222,20191.4318,117017.72176,69963.288,39846.14689,68671.64486999999,30062.46817,155441.79345,10120.05082,86107.06142,53170.02872,19199.59547,8261.08453,9982.06158,292677.96053,12173.85303,69832.53259,103095.58894,8880096.75316,690572.5444700001,54777.97718,9970.43863,1013907.5476,33475.259710000006,50117.83681,49524.44668,45261.487850000005,27206.69277,44478.72212,2817474.30929,18499.38589,711297.4112000001,56053.47746,281982.47311,693223.5290600001,23849.21912,30998.75452,118982.67481,6457.64692,2674199.35154,1518187.81173,85375.04328999999,561136.64833,18061.99952,59451.24737,128618.84929,535782.61605,64783.76308,3112884.73672,20859.49031,40871.05701,2149475.37147,1931.99274,525570.2033,8073.08592,23452.43921,439107.9604,1219416.98398,1543077.77752,41443.33054,834034.9738899999
2020/07/01,813136.02373,15908.32817,20449.26542,42839.19925,37307.5122,21222.56155,140407.59229,83937.85443,48652.88826,82783.35674,39081.73343,185523.27105,11678.80682,107858.06823,63363.86673,22605.45269,9685.0041,12648.91944,346090.22163,14285.91513,86873.93606,126209.48327,10570106.22341,778768.68535,65853.43717,11495.40858,1193020.73189,39337.69416,59989.754,57980.46731,50561.24725,32874.00746,54490.73715,3319877.00637,22101.829810000003,850990.63093,65972.71078,322178.54318000004,833299.33592,29145.95388,36658.86657,146032.68451,8226.9766,3377110.04192,1778729.24645,102326.76454,729359.43614,21896.94695,72748.93404,151571.70373,637494.57216,78854.43857,3724726.54264,24392.3125,47183.63319,2547990.04939,2037.01299,630494.31917,9552.62762,27651.60234,509470.14058,1442352.9808200002,1797977.94752,48767.59967,1002500.52629
2020/08/01,971842.86256,17948.23014,24128.69437,49881.24337,43913.21945,25716.538490000003,164272.57051000002,98795.45881,58274.2852,100369.55875,47128.93845,218025.90644,13107.36976,133690.32971,73372.89693,25777.55732,11137.59941,15006.98562,402517.31989,16460.104789999998,106950.69347,152280.81755,12345446.19549,869518.43489,75308.73733999999,11652.07155,1387613.91723,44967.92147,69790.20310999999,66643.26547,55916.712080000005,38811.86378,63408.90019,3875863.6683,26374.66453,992843.42637,78586.69009999999,356185.22182,988309.53943,34693.27292,41758.90146,189678.93766,10526.71538,4218381.58834,2071476.5876,118222.91716,894743.26537,25766.65863,85967.93168000001,175067.61474000002,749110.39916,94250.05685,4341463.43535,28181.94582,53830.91254,2943884.15769,2897.14076,744869.36069,10957.26229,32312.30659,577341.70578,1710772.9110299998,2049281.31057,55859.92942,1188409.75645
2020/09/01,1131782.02044,20249.89942,28016.60908,56824.92442,50597.10328,30672.63106,186674.14794,117151.31202,68802.25816,118404.47913,53779.80412,253836.59834,15250.80813,174537.06843,84123.64202,28796.72903,12454.29806,17618.768920000002,458926.33603,18521.38414,129644.26926,178036.52052999998,14092739.12189,968553.15186,84908.50163,13281.0293,1580898.2113899998,50903.55665,79054.41931,76711.48624,61229.33072,44564.79396,72351.80025,4498450.75233,31228.73131,1115080.3941,87047.60541,386875.97592,1146615.79209,40169.86272,46645.26494,226195.29955,13496.45139,5087908.888979999,2351007.54244,134334.34722000005,1023724.71575,29662.74562,99168.03695,199716.68605,856748.96906,109190.69154,4932916.13054,32240.87247,60419.5281,3351411.07314,3354.20758,867174.28537,12423.17001,36104.85839,668289.3709999999,1906388.54348,2305290.05143,62315.28804,1384340.2022
2020/10/01,1293277.49032,22607.17432,32195.857580000004,63792.78909,56874.80573,36610.00093,207230.49564,134215.94992,78792.78417,136302.87838,60942.80105,290832.20517000003,15366.76438,197523.20238,94191.88064,31996.30556,13712.27944,20390.36638,515568.885,20428.23472,152471.31181,203312.37607,15847590.9925,1064649.12814,95123.74459,15342.45521,1775245.32658,56549.157880000006,87284.75727999999,87376.34863,66410.44176,50662.10819,80969.6822,5126363.04362,35453.51674,1258046.10937,112251.34388,416900.47904,1299236.2965,44900.30117,51063.58038,254924.58628,16969.89733,5668736.95358,2631969.59873,151100.73016,1159041.45034,32603.28266,112095.33968,224216.162,959423.69246,124468.8119,5507612.00892,37764.11303,66517.60814,3766353.98561,4649.91462,998757.16006,13855.4681,39969.0015,751240.8110999999,2150651.77696,2565393.8154100003,68072.37913,1592679.35704
