,raiffeisen,fuib,ukrsibbank,universal,agricole,otp,citibank,pivdenny,kredobank,procredit,tascombank,ing,a - bank
2021-01,447083.97508,404481.22922,316845.32684,260976.29891999997,167665.63273,187255.73326,26636.8937,163805.64683,107266.78563,49496.197799999994,102237.04802,13499.394620000001,80312.00262
2021-02,951030.86266,806566.40428,623734.49196,558528.5309,334122.78321,381216.69821,51748.98498,318136.03346999997,220908.79856999998,102084.73429,215819.63225999998,27940.5255,286477.78517
2021-03,1486182.45576,1235201.0464,1062978.40376,890563.43181,500897.09551,583418.57169,79328.81168,476070.70283,351341.90434999997,160112.71401,338672.17567,43725.40496,414490.12871
2021-04,2013668.50835,1697430.18868,1383094.25412,1286428.1523199999,669876.86804,786488.3422000001,111057.27427,627764.78934,475419.97331,215765.40732,471413.36924,58285.57808,547666.7291
2021-05,2528817.24002,2146236.335,1690479.80956,1692268.8517500001,836397.35778,977222.11653,136604.40383,815984.9654399999,598509.1899499999,269263.51467,591036.25193,73707.35835000001,686028.6861299999
2021-06,2993643.26358,2605653.48287,2139901.13618,2108918.16116,1013993.3790300001,1171185.6075000002,166651.16612,959044.2737,762990.7424,352393.1997,747132.01332,91918.22456,807531.76338
2021-07,3556225.06892,3068073.6181900003,2472648.10834,2510698.41355,1181135.13947,1375406.6668999998,190874.42974999998,1097178.61911,888940.26117,409064.32177,882355.09223,107034.31683,931150.92797
2021-08,4129845.6396000003,3515816.24836,2799890.2567700003,2964689.36706,1352148.5645400002,1576171.73577,216835.83999,1267264.0684800001,1013112.2038,468979.78855,1038432.0006600001,336348.50968,1046671.82376
2021-09,4699547.94965,3993621.4750200002,3149707.94923,3483684.68674,1544538.63054,1807249.14906,242926.46193,1425191.38197,1147410.32719,531440.9045899999,1196231.16121,138333.44868,1042571.62782
2021-10,5268333.30805,4537216.6735000005,3464756.37374,3980112.63448,1721953.36574,2027840.63852,272746.25552999997,1580278.32969,1284295.4549200002,593741.46281,1348458.65344,434808.70124,1175962.49395
2021-11,5880846.81621,5042651.26549,3796362.73735,4512511.7402,1914032.82168,2265577.17396,305917.74223,1797665.59084,1421811.0352999999,665082.49806,1549989.5653000001,479336.11973000003,1304791.44645
2021-12,6628010.65724,5856471.309339999,4455259.7753,5270547.74794,2140498.41569,2453591.0350099998,349658.55682,2017372.4903,1592122.6191999998,763297.2472699999,1753042.53017,522067.19498,1494516.71444
2022-01,581406.47755,500427.97909000004,350130.60249,532919.14585,174161.37625,188874.64940999998,30985.14127,175821.7012,123001.20331,57183.49703,158248.05846,32169.9312,122067.1995
2022-02,1176359.9367,1018537.84155,682788.2381099999,1112435.55197,353376.9082,376368.33298,109933.82502999999,428775.08447999996,245576.30785999997,134799.66157000003,329048.36906999996,62189.04321,272804.58953
2022-03,2059717.1221600003,1617493.32522,1327206.6554400001,1621511.4651300001,543152.63335,642740.60965,154039.44879,523295.0408,367533.85219,196038.78323,407877.92534,84624.30365,427876.09946
2022-04,2604936.5298699997,1998982.30642,1666482.46477,1952327.30849,716514.10934,917832.37737,207107.00202,637220.26493,478892.7168,251083.8578,501261.90961,105468.42223,538251.2481
2022-05,3150662.01207,2384378.5581,2018744.72976,2236838.7817100002,890347.79499,1090819.00777,267151.21151,761093.19363,596290.55425,304547.24166,600508.3562500001,129186.93056000001,655240.51222
2022-06,3803485.84248,2734952.03564,2421264.10992,2565833.66627,1091077.4189199999,1267804.02587,327699.17746,894518.10197,717237.1634999999,373859.269,708569.97702,153172.04015,779160.6449
2022-07,4363737.17187,3138945.35638,2767883.90708,2958824.07501,1260954.48897,1457372.17199,379217.21971,1032111.6015499999,871262.25722,428930.17599,809926.3569700001,176590.10955,927186.42343
2022-08,4938738.84371,3521656.9548500003,3112383.73645,3309384.8667900003,1431680.6649099998,1675710.2176599998,436703.57840999996,1184056.78471,1010229.54481,501485.70317,911353.0197899999,205865.78546,1062263.85871
2022-09,5643203.16967,3952377.79293,3486136.40233,4214539.95749,1617137.94734,1893831.62792,492583.83654,1373305.99721,1140829.20908,571989.84947,1038474.26924,229797.6375,1182165.98827
2022-10,6260955.5499,4368865.28128,3872064.8473,4867465.26032,1791341.75135,2102257.4243099997,564113.04127,1506704.2577300002,1267748.62394,637404.80852,1147342.9523699998,252671.00665,1300731.9752200001
2022-11,6894986.5568200005,4802564.139,4326373.2021699995,5542653.64805,1957883.37978,2325026.4986900003,619468.06683,1656201.6017200002,1398178.52619,700613.35296,1292026.53809,277181.05653,1421322.3660900001
2022-12,7867316.93224,5412419.07015,4999759.30354,6117421.4224,2149960.4547200003,2599986.42957,855915.4831,1866776.26369,1594003.52821,1000880.0677100001,1484059.14242,302942.92189,1587368.86103
2023-01,651376.2643500001,485202.46064999996,463846.98339,752025.47572,198489.65898,193423.83938,59434.931710000004,163404.84266000002,120697.86987000001,64658.079580000005,127917.11991,22821.03098,119717.31513
2023-02,1340435.13237,967224.16417,922595.15377,1615046.60161,387636.05165000004,415463.53087,119388.02560000001,314994.00951,238821.24176,144857.22439,285228.56812999997,45931.89675,275807.05195
2023-03,2077925.57419,1468810.9293499999,1495564.7316899998,2468114.54183,600546.44541,681428.50959,238833.40952000002,490534.17834,383561.07143999997,214812.04228000002,459676.71046,70478.39048,418975.50798
2023-04,2788882.0614400003,1983492.19541,1967616.66779,3276589.5266000004,805473.76593,892853.4123099999,299160.51109,651515.51118,522649.71071,296627.63086000003,608947.71015,93541.41835,582914.16021
2023-05,3597073.16433,2479856.23813,2405403.03692,4097166.76662,1011807.2323,1135328.0879199998,400316.85734,818497.4316499999,666143.88379,371405.39598,748721.97585,117139.36648000001,787639.8122099999
2023-06,4303743.965030001,3016930.9064200004,2919028.83893,5116730.4509,1232286.7724600001,1361011.98861,543671.70632,1076139.44167,805873.81482,445689.50407,908384.68467,140565.05421,962340.59215
2023-07,5002050.88256,3611179.7116900003,3401453.7689,5914941.40764,1462382.62299,1604531.1421700001,617917.08629,1266216.08878,954569.25637,515831.9695,1048374.0510699999,162647.63355,1134535.3857200001
2023-08,5692268.53043,4212782.896880001,3828183.54727,6776501.90606,1682209.5227299999,1852112.1512499999,710477.31273,1433837.81815,1107130.02955,587997.5504899999,1189659.59307,187869.1546,1337822.38549
2023-09,6589696.12325,4799214.70135,4283710.66713,6580133.80494,1910328.88829,2106076.3876400003,809566.80325,1633397.55756,1259028.87598,679379.1195500001,1337235.52205,212738.74102,1514869.10947
2023-10,7397608.015910001,5481407.13756,4754666.14961,7443022.42339,2140211.39617,2490987.97607,903218.11085,1836937.60037,1436346.2824799998,757026.56587,1495627.6393000002,236739.15815,1738657.9164
2023-11,8186281.14726,6171797.2227,5256558.03426,8318562.290879999,2367726.27778,2755177.97332,1023671.3605300001,2019395.90946,1604579.1455599999,841755.7196300001,1658797.88209,262796.13892999996,1966763.26739
2023-12,9145103.69913,7131174.300179999,6174946.27776,9277883.16313,2628241.27529,3071525.65556,1180821.5316599999,2799193.9033100004,1821686.9009500002,934085.15157,1935756.29639,298029.00065,2367423.90065
2024-01,712703.50439,638006.56724,500911.10641,807683.11019,204803.66483,223941.90574999998,69770.07858999999,182843.87987,143554.47542,76381.21148,166576.6556,25697.57918,195735.13176
2024-02,1536331.47815,1269141.6879200002,1001440.16535,1647111.07761,418118.8078,475794.53564,121195.83236,384391.0556,307000.93491,161771.39876,338473.44746,52186.98262,411548.69501
2024-03,2305904.5734699997,1919580.2322699998,1651364.06698,2475850.49039,655499.8765499999,729335.62188,190416.71946,587605.03206,483586.52547999995,259525.76595,530342.68371,81240.44283,650471.7683100001
2024-04,3109044.3762,2669590.4393599997,2185276.63201,3213768.0941,887430.7653900001,979729.9731099999,272497.02942,918239.35682,670743.61565,349632.04678,773777.26604,108689.26684,877189.46936
2024-05,3939267.81715,3373306.74883,2709845.0289000003,3934636.66624,1124579.1880700001,1264199.34672,445903.44672999997,1128923.5805900001,851382.61587,443842.05728,979601.7950200001,139614.25059,1116933.117
