,raiffeisen,fuib,ukrsibbank,universal,agricole,otp,citibank,pivdenny,kredobank,procredit,tascombank,ing,a - bank
2021-03,1501265.43461,1414103.55349,1146181.40688,1113045.3359400001,516629.87188,663299.90533,49407.87292,578738.5969199999,396819.22914,153459.04421,395788.70888,72212.9934,535195.12421
2021-04,2001224.0081,1940900.56067,1484021.4079,1533728.20185,698655.8622699999,933369.04519,80012.10378,853626.03768,535924.1159,211229.95037,564860.71702,93344.29372,737741.66698
2021-05,2580000.17989,2478064.98851,1918075.72224,2063084.89028,914421.24314,1224722.41949,112400.28173,1038013.60041,668517.8578,252660.40691000002,714404.44203,110767.21068,947127.12526
2021-06,3025414.09071,2993021.63111,2451960.7805,2545167.41433,1098804.8422700001,1485875.7474,90511.28267,1198447.87307,837703.8241300001,346387.40444,877790.24679,157763.43951999999,1147611.64663
2021-07,3593832.19538,3606692.19196,2790763.04432,3052606.30704,1287085.59425,1725210.4463600002,127453.69229,1415425.74367,977472.6815899999,399439.75788,1035932.3493899999,183772.2368,1328325.53235
2021-08,4141184.8151200004,4155484.51782,3155577.19929,3611937.45327,1507256.93634,2008097.2508699999,153282.38407,1622160.43105,1106487.9975700001,469366.17061,1211669.10011,309768.63696,1520512.81391
2021-09,4722768.6168,4775828.7133599995,3497728.51454,4222308.9337100005,1739739.20349,2219560.4071299997,179077.45269,1800387.9251599999,1254471.6331,544710.95516,1404479.31166,217793.61334,1700078.98391
2021-10,5306954.36638,5386322.84366,3881999.55584,4798311.85903,1922079.1305200001,2568867.07789,211948.91806000003,1994258.2457599998,1443524.86571,648853.2751699999,1602577.30169,398867.58585000003,1854109.79771
2021-11,5978320.92767,5955721.91709,4205419.15327,5383752.7313399995,2169087.39099,3007877.08941,245363.02378,2269989.46894,1606625.2466799999,697926.6457700001,1815408.92864,434730.92348,1987378.5696100001
2021-12,6725669.77482,6806456.15933,4971157.42186,6139516.31567,2373456.07833,3261020.95416,279878.5857,2536675.78759,1809248.48044,778270.91162,2057439.11161,465876.10547,2150885.50661
2022-01,673699.03293,552646.75698,416675.18799999997,699145.15428,256953.36465000003,284468.91922,26872.35196,140772.71103,105391.17693999999,58477.03055,204543.64099,18324.127520000002,188494.21257
2022-02,1802518.48634,1258493.7357700001,822955.36625,1373231.32338,564439.22539,635528.79263,359747.18793,418228.74662,232544.05756,302916.70265,434897.99967,32775.491590000005,434850.92856
2022-03,3574541.4436,3397880.27564,2109446.91695,2869732.2325199996,1219032.58898,2855446.40891,811707.3619400001,525084.36456,634095.32865,1343740.9636600001,727526.08503,56616.76517,898440.53831
2022-04,4548342.802999999,4582622.518379999,2796502.4285999998,3510907.96469,1630817.68967,4441820.06955,962955.56583,759525.48897,872825.22891,1396168.36661,979571.7912,80024.01486,1307548.15545
2022-05,5352289.29462,5837149.021670001,3111464.8993300004,4630233.505,2080830.00489,3836349.49831,1011454.6610999999,1094371.4686200002,1169115.53355,1582405.13637,1263934.23533,119203.63464999999,1818230.65927
2022-06,6717570.56539,7066600.12141,3826956.37077,6352019.10508,2709561.82864,4847682.82326,1180315.16952,1705038.20635,1532707.22385,1945650.5248999998,1678583.1918300001,160758.85880000002,2412341.33969
2022-07,7492803.40109,8493692.2857,4954830.94403,7636736.130270001,3362697.4317,5372723.3534200005,1280939.4186500001,2067078.7912599999,1769809.1679500001,2454407.2907700003,2147362.4732899996,283977.60733,2918337.40764
2022-08,9002064.02969,9483937.21491,5293768.28342,8454629.89175,3973635.6378,6017607.86672,1259884.91622,2430390.59579,2099395.30446,2675978.85363,2550187.24924,305436.81441,3253349.11345
2022-09,10406754.437080001,10802013.17778,5923252.00585,10101524.89,4661353.430400001,6279965.585220001,1262039.1814100002,2837602.0768399998,2373341.22022,3000968.5339900004,2895493.8654500004,290437.39984,3607811.19502
2022-10,12111730.0332,11945277.867430001,6586824.60879,11013198.5404,5317068.66818,6836615.22351,1339178.6597099998,3075269.08893,2631246.34558,3211390.08751,3080957.1059499998,313093.70733999996,3914211.14286
2022-11,13809876.93401,13117390.73264,7139331.2646699995,11865099.05404,5827197.88831,7491050.98275,1325105.49266,3400984.1549799996,2903892.61485,3401284.4458,3308641.1999500003,338186.79465999996,4166335.38224
2022-12,17372977.2934,15938001.95599,8238753.095899999,12440097.93696,6581764.890860001,8263708.03726,1549792.44507,3931785.0153099997,3323075.5107199997,3985380.5185599998,3628017.34377,365847.67574,4174356.7853200003
