,райффайзен,укрсиббанк,південний,кредобанк,універсал,таскомбанк,а-банк,сітібанк,агріколь,отп,прокредит,інг
2021-01,39970098.04235999,17018607.96948,18113470.385149997,7634786.112100005,2878051.3693100004,11022517.949339999,960897.4822999999,1226867.33173,22581998.51416999,21551471.818299998,19787322.167750005,7354028.61969
2021-02,40294371.015629984,16884118.41399,18536542.875840005,7571263.192509998,2984112.7949299994,10579506.089849995,1039980.1138000003,1292923.3771700002,22811080.626909997,22268645.58301,19731463.051659998,7537421.51382
2021-03,42594154.579809986,17501948.089130014,17574519.995799996,8214545.441389999,2573418.93999,11232915.657060001,1111213.6219399997,511803.95842000004,21004639.751190003,22253574.72366,19934836.90183999,6360656.4909500005
2021-04,45790508.45937999,18603696.488029994,18350031.91422,8478896.77253,2620883.1040600007,11641863.95101,1086067.22463,1066663.1425899998,22321839.298499994,23442477.696889997,20807247.887109995,6620965.61945
2021-05,47504272.36602998,18409141.72287,19629771.480330005,8824154.003169999,3050021.95853,11503484.997310001,1073434.35834,1227176.4463199999,21987975.38639,24256737.32252,21089407.674629986,6320893.00061
2021-06,49581702.321570024,16108426.436099999,19787285.346100003,9408794.424799994,2759948.9772600005,11256970.894720001,1148247.1219200003,3714808.95902,22438101.398109995,25804884.69953999,21888124.22861001,5230529.311410001
2021-07,50479433.11660999,16843712.187280003,19342627.56196999,9644562.802230004,2650677.09715,11987629.591830006,1196828.1788600003,4048831.6456400002,25119189.615330003,26317695.291739997,21724586.259269986,5766288.213339999
2021-08,51986042.55207,17800880.77983001,20050494.829979997,9811511.015379995,2144566.624130001,12099012.746710002,1259239.3967399998,4149964.71315,27456204.31309001,28215915.27338,21824537.09908,6881878.96659
2021-09,54168593.77331998,20059532.313810002,20326103.073440008,10031833.253019998,2206042.7197700003,11762350.714729998,1276576.15293,5645967.584679999,30920460.68457,29094558.24742,22280155.16469,5696433.97602
2021-10,57756273.663820006,20206684.450820003,21327290.526040003,9976503.259650003,2179908.20945,12402076.132770002,1235495.6163700002,4741751.38883,30483583.26656,30373623.33461,22487674.001569994,5412626.25101
2021-11,61181584.300859995,22226631.37796,22686542.01902999,9995118.831739988,2239880.0461500003,12302238.115649996,1265190.55085,6705603.25312,32707756.085600007,31609392.57988,22969295.595760003,6978633.629240002
2021-12,62428135.193160005,22233049.201759987,21089468.962530006,9111803.03528,2401264.2674999996,12075015.75167,1141010.1137599999,7722336.67784,29545120.590150006,32850431.92697999,22990191.62376,6822272.58606
2022-01,62752777.60195001,22119096.513649993,21790868.799149998,9232615.344129996,2505470.3439199994,12443290.964010006,1240369.75387,7397442.48612,33117452.034919996,35157083.45130999,23282343.4968,5997620.346580001
2022-02,65453761.393840015,23182684.138930004,23397087.125379995,9444479.071880003,2621181.0963999997,12858334.142620007,1327366.8385499998,8379460.491140001,35456918.254870005,37585823.29027001,23806097.8198,7357419.236710002
2022-03,,,,,,,,,,,,
2022-04,,,,,,,,,,,,
2022-05,65227006.05148004,21834838.168139998,21786655.329539996,9274711.266800001,2734008.01441,12087348.080929995,1384067.0921799997,8478936.49699,32033389.539100002,34115859.01398,24903508.617019996,7027575.9205599995
2022-06,64507557.54898999,19996396.327969994,21205914.613289997,9172949.570630006,2987212.3137799995,12146862.69136,1409210.93164,8077418.38714,30371267.711320005,33221944.35603,24610559.299820006,7138956.764979999
2022-07,68776021.30645001,19268738.030679997,22876266.23471,9453178.08808,3644404.40646,12737525.542099997,1463292.4592799998,9172303.762910001,32833054.32683999,35636768.03421,25793536.016879994,7810138.66758
2022-08,68651488.05461003,19086726.53442,23003062.730320003,9389140.031020002,3607462.3148600003,13045426.193789996,1433379.9785800003,9337794.450119996,31952601.049379997,34364327.977900006,25065943.962969996,8129876.429160001
2022-09,67553215.61844996,18296456.21408,22029344.670949988,9435410.275109997,3529744.8412200003,12519458.635549998,1432826.2834699994,9103003.239570001,31408892.778640006,33488556.406840004,24265413.163390003,6948689.15709
2022-10,66972659.77763001,17310162.526559994,21418367.907099996,9113360.041019997,3567466.8415699997,12589846.235239998,1466697.97195,9198896.05827,30551970.078050002,32720541.47056001,23423274.744989995,7870563.05207
2022-11,66919644.56284999,16658124.048909998,21085038.87569,8761291.34758,3285078.855,12879637.64875,1422957.99904,8505507.631940002,29442044.70962,32180265.673199996,22965574.260350008,7378250.589150001
2022-12,64642731.52257,15374509.34893,19233916.56093,8432350.37556,3341933.8510699994,12333227.53508,1337317.2302899999,7528526.75644,29302119.165269993,31533572.79947001,22552506.687690005,7857109.33386
2023-01,64020926.35583997,14634576.382480003,18589052.820860002,8095238.265869998,3371313.54023,12026809.457740007,1406950.8198,6002907.167169998,29109104.735849984,29835159.699180007,22358909.320609998,7703262.46842
2023-02,63656421.887619995,13889024.874479998,17490960.91636,8052242.9459,3738897.7159900004,11896642.088279996,1415759.8352799993,5815810.823199999,28153260.31173,29651808.059959996,21826711.974049997,8532963.87603
2023-03,61957867.66645,14504790.125449998,18124755.105820004,8260273.695169999,3435794.78204,11890704.16818,1338035.8304599999,4755525.944329999,27244527.48797,29300908.578339987,21846707.62564,7972581.47871
2023-04,57930930.74058001,14413742.28509,17656422.26663,8507536.101039998,3483685.7388299997,12795308.057540001,1373648.5007299997,5090113.32729,25913082.434930008,27639782.031520016,21420030.521840002,7438551.06599
2023-05,55872451.21734001,13621566.906189999,17497869.403150003,8818837.436519999,3333907.49464,13215039.773819996,1351446.98994,4534183.788659999,23802901.361280005,26902761.200740006,21502676.07326001,7994211.830380001
2023-06,55014313.92666,11751776.340280002,18223372.857499998,9122577.113009999,3371129.50771,12795349.824560003,1342259.495,4899195.097390002,23373534.84456001,26796952.727019995,21757912.45396,7723878.30856
2023-07,54856052.842560016,11464324.47875,18662300.29868,9171022.105759999,3382200.89848,13203560.67418,1390671.3690299997,3904573.98434,23722163.938320007,26536731.168880004,21683580.30633,7476357.333579999
2023-08,56449039.77422,10710315.251130005,18180128.084989995,9325906.17317,3346161.2677599997,13818286.708669998,1395036.28584,3051833.18904,24530576.779049996,27140189.33742001,21316625.052830003,7046241.756420001
2023-09,58321240.205030024,10413673.57432,18326218.07547,9871634.219099998,3627123.4927800004,12844700.441310002,1351038.46908,3730209.23532,24288170.46265001,27104704.811089996,20880367.861860003,7267418.840229999
2023-10,59875064.394990005,11392974.27481,17937925.247879993,9621273.07737,3629530.089229999,12727468.898400005,1345773.0094599999,3323489.4473599996,24233992.015240002,27396033.380110003,20549320.296520006,7139944.308529999
2023-11,61365572.68597002,11821189.412860002,19276028.5623,9775781.098150004,3784880.992030001,12802448.229450006,1355356.0065099997,2746652.8019500007,24362399.32903,27719115.962090004,20658074.917050004,6933598.94307
2023-12,57743797.61490001,12107328.44934,20046832.921260003,10403783.460380003,3978409.21471,12966446.404539999,1145530.1500999997,2769054.5826199995,24289191.817090005,27545286.186380014,20725650.422329996,6423105.25062
2024-01,56731162.30305003,11026070.350589998,19991353.545879997,9751468.431440001,3890129.140210001,12594161.419210004,1339913.1016900004,2794341.94407,23063496.31254,27169389.359309997,20651193.008119993,6993165.32161
2024-02,56601621.09294999,11013298.248520004,19942177.525300004,9814453.317439998,3887112.6671900004,12680273.934330001,1415087.5044800004,3630195.6408800003,21956063.18039,27068174.521550015,19967455.585819997,7572575.77226
2024-03,57972374.59288001,11533361.526200002,20859284.453309998,10289169.874979995,3925536.6248900006,13393895.675739996,1370147.1132800002,3628420.96087,21278330.693820003,28193669.51407999,19054646.600530002,7765517.2337
2024-04,58079908.899880014,11213587.63446,20367231.599180005,10350545.876779998,3966032.5879800003,13594010.895730002,1513930.2120000003,4142071.2347500003,21459787.672039993,29323188.635410003,19359185.72080001,7437381.933130001
2024-05,59541852.96453002,10903977.15597,20805882.085289992,10517230.870419998,4083157.828,13896222.241349999,1538693.8596700006,3892167.80339,21661031.122989997,29334555.363810018,20031573.81056,8302822.648510001
