,райффайзен,укрсиббанк,південний,кредобанк,універсал,таскомбанк,а-банк,сітібанк,агріколь,отп,прокредит,інг
2020-01,40219780.45356001,14863547.544449994,14341631.686909998,6283183.417490001,1401502.66878,11261220.467180004,973935.2009000004,3415221.546979999,20139423.475189995,18222622.351970002,16424238.36952999,8162349.75163
2020-02,39260328.977120005,15050445.3625,14900136.559650002,6231732.12907,1424014.7283899998,11160994.079299998,991319.4512100001,4197922.161950001,20050659.800800007,18391856.74739,16386964.02284,8050317.42559
2020-03,43118662.93103003,20002267.872570004,16959664.016259998,6818538.82878,1608651.9167700007,12659438.085269997,1101569.1544400007,4165266.651069999,23276165.343440015,20229133.090699997,18310503.71617001,6930482.86805
2020-04,42200141.19576999,18419795.38173,16142328.503419997,6517704.272670001,1483464.7639200003,12404929.874889994,1070328.1516000002,3201396.3169700005,22329819.710069995,19590682.068620015,17973200.51290999,7148022.6313
2020-05,41109526.62313,15341427.9096,16310564.463530002,6615370.18681,1493083.5981300003,12469618.59352,1078665.8508799998,2978108.70826,19956527.17432001,18349902.379369985,18342874.97880999,7432644.504009999
2020-06,40073118.93359,14815427.091989996,17224657.64687,7045550.2500100015,1542874.9687199995,12159953.110849999,1159672.10787,1914737.81152,19380976.12964,18116795.105480008,18276276.291800003,6755453.7499400005
2020-07,40459201.23730997,16776292.606869996,17357249.743610002,7369658.328470001,1677871.9547600006,13142443.556709994,1078075.7457400002,3574534.12897,22038299.72612,19010321.30106,18836954.45662,6685867.72846
2020-08,40034370.259700015,17658047.951419998,18371443.7485,7440003.599509998,1784211.5940299998,13076229.42564,1086470.5599399996,2953444.3552700006,21878590.953080006,19297965.309899997,19016025.70262,7623487.666699999
2020-09,40151987.53693998,17866036.554379996,18585598.57679,7888716.193800001,2322958.2862,13498713.698839996,1083839.0383300004,2569464.7844300005,22448010.614269998,20328941.19526,19441082.303499997,7133824.78504
2020-10,40608890.212919995,18231217.98065,18990756.744849995,7676256.828879993,2134958.00725,13689587.89566,1012274.0497699998,2284468.1839399994,22088739.149109997,20811378.43922001,19704014.58517,6957509.872030001
2020-11,42091433.81051001,16805174.08647,19621170.86372999,7628415.143110002,2649452.4102900005,13192696.489670007,1050428.5154600001,3150711.28952,23826241.153900005,21772455.113040008,20074444.99520001,7123172.53624
2020-12,,,,,,,,,,,,
