,райффайзен,укрсиббанк,південний,кредобанк,універсал,таскобанк,а-банк,сітібанк,агріколь,отп,прокредит,інг
2021-03,40202611.59128,32116710.20498,11952144.7164,9871202.77419,25453693.3805,,1073074.09929,576.66971,11017890.47197,22097442.11713,8701028.19205,0.0
2021-04,41816864.95806,33465045.03785,11914656.27597,10119463.63398,26923507.38221,,1134809.58859,562.20183,11228810.30636,22128993.98085,8664299.57781,0.0
2021-05,41315704.94059,32770709.19095,12116163.2501,10274401.58251,26793281.7724,,1125538.2295,560.21268,11123289.31994,21854482.42369,8610460.5219,0.0
2021-06,42778437.29079,33507026.87899,12451382.95568,10415391.52905,27772088.40467,,1165102.52146,556.03048,11154514.38178,22020137.18464,8554289.09894,0.0
2021-07,42859249.94252,33383898.55792,12538793.21521,10480148.41511,28675406.08692,,1177458.9954,554.0572,11214269.0519,21993789.1963,8521480.98809,0.0
2021-08,43291032.60749,32795250.71279,12702980.06733,10716001.71334,29260532.18129,,1147605.40653,554.03072,11109506.20323,22052367.77057,8444263.73506,0.0
2021-09,44000835.7437,33412399.85851,12814396.3615,10938725.59952,30410998.31991,,1150942.32925,550.60044,11207949.33926,22410947.15298,8406359.12754,0.0
2021-10,43894304.66147,33484560.83696,13080922.36758,11136396.89834,31780965.95353,,1192006.73654,548.65267,11552387.41592,22273329.94916,8332102.3797,0.0
2021-11,45861238.15573,33563963.04044,13488603.27988,11428794.75893,32621426.75094,,1223099.18862,556.08804,12064966.96631,22612981.50646,8453256.89732,0.0
2021-12,48750220.8307,36585148.77751,13428715.85371,12075595.75398,37266751.21018,,1258370.32103,562.55058,12528814.40004,23686539.00595,8617756.46123,0.0
2022-01,47357840.4838,34702339.73405,13695197.5871,12154248.08111,36874301.35666,,1199244.65282,571.29321,12472678.27933,23525059.20953,8638628.73371,0.0
2022-02,49046592.00397,36927306.61046,12279237.54256,12496655.84039,37488106.33801,,1136544.57118,575.88309,13063255.54019,24857268.01532,8897452.52756,0.0
2022-03,52913298.39414,39875749.49571,11638103.59541,12715243.25729,44853129.5927,,1070776.22047,575.45774,13524438.31535,25792972.59549,9023375.37357,0.0
2022-04,53717595.89751,41811022.10102,11123892.29426,12962296.75176,44659364.67071,,1036208.51452,572.89813,13818176.84754,25829615.46197,9052663.74512,0.0
2022-05,52662761.46044,40390200.73059,10686016.87907,12501429.04041,42740559.26712,,1013968.08395,573.66345,13466414.41399,25141211.48545,8965354.37875,0.0
2022-06,53751181.25464,41984513.57755,10631781.44283,12644797.39715,43896738.82302,,1015467.33183,574.02135,13415620.94722,25354897.49837,8916009.66598,0.0
2022-07,56977891.61788,47673756.51962,11912435.31435,14421672.28299,47890963.73847,,1087287.75236,642.00593,15288353.16118,28524150.49739,9992201.11626,0.0
2022-08,57272602.61958,47222733.37463,11706191.83397,14656263.10153,49169725.02175,,1079676.95423,641.44572,15007374.47469,28183371.67415,9985648.01201,0.0
2022-09,58442994.69404,47429330.42312,11811359.66469,14910856.6104,52396507.78977,,1093438.22123,640.72107,14701383.02787,28151174.78626,9911508.61617,0.0
2022-10,59652034.91206,47225037.84722,11875100.09792,15113374.85426,54438589.58525,,1094886.36687,639.84566,14672380.1914,28306269.14448,9911794.80588,0.0
2022-11,61425597.0812,47514262.9445,11963838.50882,15254052.78492,57357985.75762,,1126030.10779,642.83075,14896012.73155,28533224.01387,10032448.14226,0.0
2022-12,65450872.91529,51471795.9995,12167566.06871,15902795.63809,62374980.35067,,1175538.32945,644.4047,15438879.97182,30339835.84101,10307887.64045,0.0
2023-01,65575618.19176,49147970.38962,12397728.12412,15931860.30796,62337441.45927,,1135180.82048,644.70003,15439375.0389,29942569.65288,10312870.1184,0.0
2023-02,66061835.38542,49903100.63891,12648713.05195,16260997.74058,64725695.86866,,1144812.12912,643.27966,15733988.86108,29991974.06091,10310298.44422,0.0
2023-03,64498794.50053,50628678.12381,12802949.15766,16432770.37357,66899700.11601,,1134208.42314,645.09832,15999391.08562,30201373.86722,10410653.73094,0.0
2023-04,62950614.66218,51812112.6276,12949948.05839,16773652.513,67025274.17333,,1187720.83719,646.64063,16113668.65136,30746525.30833,10427585.99079,0.0
2023-05,62029331.43029,51166305.95525,13312334.25491,16867652.2318,67137290.63646,,1192833.29843,646.00073,16323615.58522,29740545.35352,10374230.45454,0.0
2023-06,64046584.08517,52895512.8215,14111861.77745,17367750.43823,69222830.22734,,1205265.13619,646.61179,16553094.89127,29863393.2672,10498628.50356,0.0
2023-07,64055185.31714,52808610.6162,14518611.35797,17884426.38858,70590177.56106,,1216377.18152,648.64358,16773714.42138,30087627.53554,10573332.62095,0.0
2023-08,63772521.20419,53008980.13832,14735447.70029,18130778.68742,71187542.71672,,1238790.86525,647.74976,16967967.68947,29485213.61815,10509728.15425,0.0
2023-09,63968157.21729,54004564.94104,14999477.11125,18527180.0057,73447659.55846,,1277061.62733,644.82834,17859727.57014,29273034.5795,10579459.79862,0.0
2023-10,64497040.55888,53164141.20834,15091190.66984,18589933.94951,75162531.35666,,1291282.64894,644.02516,17752386.01599,29532976.1778,10800875.66644,0.0
2023-11,65710895.6287,54257174.85851,15462288.11763,18859090.89667,77475519.62391,,1317402.8968,646.11394,18007706.01519,29401306.77428,11021260.62759,0.0
2023-12,68986108.63919,58805861.7834,16189148.64463,20209366.33071,85453672.24686,,1397422.30863,664.7603,19009184.87087,30794225.25406,11747991.8897,0.0
2024-01,67061515.35815,55364108.79794,15981056.60151,19863402.55649,81945013.88356,,1340407.47515,661.52867,18859838.54651,29664347.8547,11738943.71747,0.0
2024-02,67845525.99855,55847462.45056,15957205.22782,19900588.56398,84119983.51943,,1359124.97325,663.24511,19382990.4397,30238384.58965,11706848.43904,0.0
2024-03,69865900.88343,58012134.30906,16296317.53509,20556709.68707,87269879.13392,,1367367.91336,671.08414,19874526.67135,30526771.12384,12245594.35477,0.0
2024-04,70971134.66635,57938581.8328,16285009.05205,20736171.45232,88238838.24391,,1400078.64806,674.67422,19878651.05368,30872081.24213,12341361.15892,0.0
2024-05,71534004.00979,58445885.63718,16655216.27226,21014224.88321,91523244.73469,,1400488.25769,682.96995,20287408.04222,31083079.85369,12491057.42934,0.0
