,райффайзен,укрсиббанк,південний,кредобанк,універсал,таскобанк,а-банк,сітібанк,агріколь,отп,прокредит,інг
2020-01,30416010.09864,22454981.79088,10248743.0981,7815394.1685,11765683.90545,,900673.59039,637.03264,8244518.62445,16474434.62802,7052082.26219,3171.12328
2020-02,30692630.62231,22939659.97824,10450182.40321,7989573.61802,12963709.32078,,914201.55598,610.84812,8465701.71995,16993947.6627,7172975.41247,63.89779
2020-03,32476921.77489,25390139.77475,11350236.53519,8286696.53767,14308866.54602,,927176.3612,636.41209,8940058.81083,18134515.8843,7773826.3094,71.72031
2020-04,33821941.29726,26263373.58525,10432007.05956,8128879.39245,14919723.64924,,958886.93485,611.5656,9118727.03957,17652067.61076,7556216.51929,69.28402
2020-05,33603585.74912,27036538.90209,10661097.17629,8191799.8667,15513721.15581,,944712.84747,588.33086,9269164.10889,18222431.07516,7629972.44129,69.13789
2020-06,34570377.25825,27568761.21685,11033351.80546,8431303.9234,15999667.03112,,991880.90016,573.69755,9469401.96933,18337205.65032,7683042.37198,68.66066
2020-07,35239682.15868,28697591.26325,11308784.19753,8365315.80274,17205794.93482,,1010758.60273,680.58553,9746508.14515,19299956.15863,8067640.12121,70.89412
2020-08,34809712.08071,28979374.04958,11249144.34581,8395908.68241,17932420.57779,,999636.32136,656.39231,9733867.25722,19449380.92928,8183316.38824,70.41301
2020-09,35865131.14296,29455439.02244,11306585.60354,8618172.74087,19224465.36339,,1023150.03363,653.84539,9879992.44412,20037003.16388,8398001.53999,72.25185
2020-10,36293673.82354,29650839.53894,11104839.86734,8741946.07578,20094659.65461,,1044020.16335,641.87806,10070629.92341,20418388.82012,8450508.91758,72.56337
2020-11,37072629.11453,29717463.61388,11096729.99518,8974206.17,21079021.25775,,1059129.19822,619.67606,10299038.4891,20903618.92101,8522403.4307,72.63032
2020-12,39153261.23258,31884826.30994,11261554.81225,9452466.99976,23201730.03601,,1083304.83079,601.43489,10944581.13304,21883609.70131,8760958.89798,0.0
2021-01,38583412.59287,31472852.67352,11547362.51188,9501615.58617,23929912.93293,,1074699.68688,582.45231,11061282.50793,21832898.88948,8727578.43265,0.0
2021-02,39484251.46641,31950169.23862,11832713.5543,9708775.415,25127837.47652,,1076093.25114,579.03475,10998598.09613,22076723.74826,8673330.23148,0.0
