,privatbank,oschadbank,ukrgasbank,ukrexim,sense,first investment
2020-01,21933419.085950002,18348573.64861,9101831.99945,7722696.212,8043640.0728,551621.147
2020-02,25953295.7465,16912296.328050002,0,7720812.2530000005,8121893.166,470600.2555
2020-03,21933771.39539,18787570.51113,0,1596593.93239,4004774.528,442505.8527
2020-04,29419894.81723,18468049.59927,0,13306173.178609999,2800611.576,658380.64253
2020-05,23933579.50219,37182760.4897,0,17049113.30624,3602359.656,719027.0825299999
2020-06,5401614.53121,42323429.299789995,0,22372607.31553,6205081.334000001,1138804.9347599999
2020-07,918521.3823200001,45136420.93991,0,27296566.49235,3900639.054,634046.7693
2020-08,7435407.413699999,48621021.6151,0,32309869.27612,2001311.22,376887.50002
2020-09,15453849.31358,51956013.74677999,0,38062692.53509,1601573.7119999998,650061.38455
2020-10,19926650.50654,52476317.946940005,0,47069396.53492,2100688.275,583321.29763
2020-11,18455700.40924,54991407.29164,0,56890627.06677,2701770.1470000003,470538.09547
2020-12,27417600.79092,71266301.52324,3500478.14127,57177969.578260005,8702717.606,845853.2967699999
2021-01,16353066.14621,72286559.99623,0,51823227.29452,10605722.88904,848443.93944
2021-02,16201404.00585,64365105.82508,0,53819325.1704,12912046.35524,895042.1556
2021-03,15912631.10779,70667208.81332,0,52165025.704569995,13325138.23766,1264233.11567
2021-04,22007336.991290003,72982158.5433,0,52811599.499689996,13003367.73722,1383006.02972
2021-05,18717921.184899997,75043778.94144,0,49196670.87088,15419215.77465,1183229.44027
2021-06,19715253.67106,66998030.22365,0,51437236.54805,16932533.3269,1063303.36198
2021-07,12213821.04328,62151854.42239999,0,51063567.70419,15113951.14858,976833.8079499999
2021-08,7916327.353259999,57060677.523940004,0,43457463.58197,11621207.36405,884860.73755
2021-09,17645502.93758,66285032.895459995,0,49908169.715890005,10831994.4275,983096.8940699999
2021-10,23823118.76681,64445427.03741,3001849.32,46741739.62409001,9718641.25428,882886.4343399999
2021-11,16830663.73419,65036299.21475,5001027.4,42199722.34468,9730390.1788,1006448.22899
2021-12,26319530.80313,82480106.29510999,5004383.55,46144246.70109,13716676.34174,934162.1592900001
2022-01,5615201.9391,67013214.99403,0,38772690.951950006,12518321.39133,958199.86823
2022-02,108950.72386,71517460.2714,0,36492634.85362,797922.43719,817086.9586199999
2022-03,2609585.3316699998,77740550.17193,8001972.64,28093882.037970003,7605442.26191,814624.72401
2022-04,7610004.92916,83421744.25874999,8005917.84,32933498.198319998,7316823.4065,689653.13
2022-05,17910685.056220002,77623551.40280001,0,32707581.7616,5420838.203070001,677900.031
2022-06,41611259.28809,69918927.60058,0,24919973.27226,5399796.29686,697314.80346
2022-07,46111971.012219995,59081551.35746,0,25159836.52016,5446811.63701,695338.6383
2022-08,46612651.928890005,54234016.233219996,0,21736005.95023,5309045.88765,711211.8716
2022-09,54614299.635869995,57853315.864429995,3005671.23,28294996.97001,3574804.24173,737620.6024000001
2022-10,72114886.89604999,60479791.85328,9005671.26,36458757.57674,2846602.47908,697902.94048
2022-11,67515423.41196,72314466.33436999,6003780.840000001,36837253.12715001,3211872.72531,698377.9578999999
2022-12,100242085.4939,79981912.66006,7013232.87,34107780.29943,8520441.86369,668334.11268
2023-01,65617078.379779994,71743056.46582,2001260.28,33195365.349,6772063.575049999,604992.9521
2023-02,62117632.48286,85376265.81954,6003780.840000001,37013685.03418,7823303.019230001,654540.65588
2023-03,50118215.44866,70302266.38494,12223063.002,41055051.92581,8225008.785100001,647137.99868
2023-04,75699051.59091,76198436.20841,20032876.799999997,41108078.9157,9542620.715839999,628258.9058800001
2023-05,60719690.03211,75583359.72385001,18009863.099999998,41182689.42034,9353352.60472,633078.2124900001
2023-06,77633666.82047999,74864461.19881,9014794.56,50288118.974249996,8304726.957749999,618609.01139
2023-07,77975007.22774,88168682.91953999,6002958.899999999,35342769.568919994,12083697.98921,202857.60361000002
2023-08,82705202.13259,88321750.19409,0,30728487.8331,20105827.83559,124046.09318
2023-09,93267061.72057,88179640.28885,12015780.84,50733834.95869,22414280.85237,185546.37097
2023-10,90953351.71302001,86922498.34053999,7003068.52,48708692.618829995,24264692.05322,191103.32107
2023-11,101497666.2756,95691232.90754001,23524958.346780002,40166534.99622,28330259.52415,233778.52724999998
2023-12,133798041.09588999,114948439.70210999,23889602.04161,55720927.35612,28426098.49998,303105.51059
2024-01,108745374.39179,116002818.40739,20540569.980299998,37039277.57916,29019761.008459996,211633.91995
2024-02,83072476.08355,121963491.60136999,25112618.94773,45577100.59491,25811291.98636,250251.58552
2024-03,85488128.41529,132419702.99632001,23679004.26633,53247430.11758,25231019.89317,236529.74359
2024-04,84230474.04371,136824728.64365003,22078288.03833,21454248.720480002,21578991.609249998,247966.55308
2024-05,102350969.94535,138337477.5722,32700326.82486,48502930.01573,20332322.149579998,209916.82656000002
