,raiffeisen,fuib,ukrsibbank,universal,agricole,otp,citibank,pivdenny,kredobank,procredit,tascombank,ing,a - bank
2022-06,29299618.28884,0,28882427.68709,7404663.036,11209936.15845,10837867.212,11507246.575339999,3452173.983,3322235.9436,950598.6329999999,4803024.671999999,111069.94554,2751732.87671
2022-07,32630656.45538,0,32365679.02271,10519849.305,11621928.756,10751728.887,18034027.39726,3706994.517,4877142.3996399995,300567.12299999996,6011342.46,235444.24634999997,4002520.54795
2022-08,31633496.65645,0,33106846.053200003,12007561.680000002,13708632.918,13575471.217240002,22013863.0137,3202016.448,7438753.27272,1050661.6469999999,3702331.518,625393.8375,4002520.54795
2022-09,38188103.6417,0,35160630.07648,13008186.620000001,15709893.197999999,16277661.95005,22514178.08219,4702961.658,7726182.33634,1701071.23288,2301449.322,930585.6582000001,4002520.54795
2022-10,39294864.316029996,0,39388159.27601001,14008821.959999999,18911909.646,20680955.78124,23714934.24658,6203906.868,9847863.488589998,2051291.787,4002520.56,725456.8515,5003150.68493
2022-11,39933154.259550005,0,40642256.17503,17811216.492,21113295.954,25518066.69338,26016383.561639998,10506616.47,8342993.80167,2601638.364,3802394.5319999997,830523.0162000001,5542573.70809
2022-12,49503460.88554,0,45427960.05815,23529607.18,23028986.21,30245995.03775,26032767.12329,17121550.617000002,9671232.88016,3204032.87671,8510712.32876,1381738.6343999999,6244052.616450001
2023-01,52993321.97214,0,40459013.98173,17811216.492,21113295.954,29086161.18448,28517958.90411,11807435.652,12622329.21579,3071934.5297999997,5603528.784,1460920.0044,5094068.657980001
2023-02,46991287.49517,0,37195755.76621,16410334.296,22028644.773479998,27712607.1066,27767486.301370002,11907498.666,13277051.991,2551606.8570000003,4302709.602,1631027.1282000002,7283929.844289999
2023-03,40900990.90742999,0,42452072.504030004,14008816.360000001,23237058.34511,28434122.339780003,37023315.068490006,12507876.75,13978410.29586,2601638.35616,6804284.952,1711076.8554,7294997.66365
2023-04,52631943.89712,0,50796091.16200001,15077873.035,25579853.149949998,33816563.12312,29047671.23288,13772602.8,17645565.40499,3573410.96854,7180712.33482,1208576.7497899998,7977640.745320001
