,raiffeisen,fuib,ukrsibbank,universal,agricole,otp,citibank,pivdenny,kredobank,procredit,tascombank,ing,a - bank
2022-11,17248959.90672,13325855.18194,11155700.223280001,13880435.00129,5900125.90084,8033579.39446,4222633.44453,4010255.75492,3142698.0113999997,1631735.39633,3346395.5585600003,343686.11835,4389118.40711
2022-12,19387257.09555,15452663.02596,12574447.42177,15391862.96372,6620193.64956,8990118.92131,4868230.830159999,4404878.94229,3497419.9756799997,1840141.68453,3671198.3762999997,372243.0109,4433510.285180001
2023-01,1890083.9239100001,1234222.59812,1287118.23236,1448653.70547,682532.26551,949299.91624,669627.97707,350195.8614,385310.2723,182890.89069,277773.51811,28572.79764,334724.61569
2023-02,3800683.07597,2293480.4099,2473921.0264100004,2744304.0123699997,1340703.16248,1721372.5568499998,1250722.37729,634987.33701,666039.18615,352783.64752,533026.27423,55538.5221,629300.16181
2023-03,5706792.716779999,3539229.2561999997,3819899.88963,4186888.17795,2060489.48514,2623037.02231,1915424.01556,1035302.4304999999,1005440.21974,539190.99844,851933.7133599999,83246.59237,880728.72476
2023-04,7385199.48027,4695036.089930001,4995185.54374,5411451.16077,2753701.08874,3428967.75599,2552168.2904999997,1284257.69623,1299122.74172,777501.2070899999,1053555.5439499998,109702.95606000001,1121244.6925300001
2023-05,9341725.82571,5964782.971960001,6259604.00986,6490767.42851,3477270.31442,4318048.81431,3205435.81392,1656900.47793,1644167.68363,976978.31244,1294648.44352,139714.37186,1366486.7975100002
2023-06,11183534.9245,7255508.82215,7586203.08146,7885002.440219999,4242699.69039,5179743.215100001,3849258.81747,2045187.33189,1990236.77512,1181594.55232,1566981.31333,170496.02557,1660804.58086
2023-07,13041694.1956,8638779.73735,8927442.24318,9261530.90769,5061522.47171,6107026.698249999,4517194.469310001,2477014.76533,2387386.11763,1404841.09037,1829530.84872,203890.1664,2012671.11704
2023-08,15051523.04793,10035000.85499,10355844.56134,10729921.4617,5893276.50214,6964518.71678,5226827.88738,2912609.57831,2766167.22432,1635801.87548,2098814.46271,240006.28784,2316090.63264
2023-09,16950706.80076,11456289.48832,11550472.28403,11167443.22129,6654412.39239,7642632.7043,5925405.02229,3343492.8627899997,3141507.13734,1869166.26139,2391318.00196,278017.23201,2682259.3143200004
2023-10,18847697.463150002,13080735.48434,12781748.611130001,12733009.06552,7461439.22171,8661646.39942,6706072.35585,3920231.0467399997,3534700.6001,2118644.43217,2671811.3831599997,311224.94347999996,3082956.00245
2023-11,20840459.66764,14532373.62475,14069826.44361,14326172.01057,8256726.410929999,9483830.57313,7426323.0807,4316276.87389,3932977.9302000003,2357010.7318599997,2964642.25544,344167.14584,3469826.29458
2023-12,22587247.81488,16043683.29211,15414264.26274,15792813.10041,9041682.784389999,10384867.50771,8171730.53461,4818173.08141,4341414.52513,2610257.95376,3251317.10657,382263.61541,3796333.7896100003
2024-01,1956399.50476,1551005.3077699998,1269971.98642,1785326.1510299998,861170.04475,873473.0954,683905.92241,480958.21043000004,408588.96491000004,249121.22094,290970.20017,30426.84593,488364.58158
2024-02,3677368.15028,3102338.04473,2469177.18216,3208878.8310499997,1674618.8364300001,1671779.66257,1325616.02644,885594.70341,786987.41439,479829.56721,618489.77901,64488.977430000006,878558.5220499999
2024-03,5458388.583,4511266.857679999,3831089.9713,4755127.2897,2513877.30183,2495836.73684,2004238.97121,1312292.60358,1206649.35861,722605.02591,924463.4848399999,101634.31129999999,1266050.17707
2024-04,7215080.80636,5924669.20444,5045932.93912,6191381.93766,3342536.09278,3356895.3628700003,2648911.02181,1874311.83415,1638052.38669,947704.7155899999,1268351.04529,142008.72498,1755464.91721
2024-05,9137856.419510001,7421297.03794,6400823.8358,7683476.93976,4201189.67539,4201655.83983,3334944.92689,2298809.4334299997,2043729.48451,1185555.55131,1565960.05893,175836.90954,2176193.7546
