,privatbank,oschadbank,ukreximbank,ukrgasbank,sense,first investment bank
2020-01,3775761.1841100003,603306.49222,-156330.37076,134190.71026,203897.60683,-2745.44269
2020-02,10158802.71654,1085415.10436,360289.74501,294258.78177,301590.98562000005,4686.251569999999
2020-03,10429428.054370001,2628429.15575,-2074172.81634,339071.62218,295003.62237,7339.0857399999995
2020-04,17285402.39084,3293556.29887,-1658792.51332,380633.79831,319931.78625,6264.98495
2020-05,19617193.60267,3563761.05191,-1577762.61805,403545.63947000005,370373.88131,11974.7143
2020-06,14037422.65238,3593112.15928,-1917295.89553,437182.17934000003,462233.97323,10408.03729
2020-07,16201835.16323,4316409.36314,-2243684.33354,553996.54646,586646.73839,18464.9374
2020-08,18391132.54996,4435900.474359999,-1882480.38559,680153.16102,773088.5932400001,16977.483249999997
2020-09,21279391.59934,4736562.77622,-2246247.28916,685188.15266,810443.60133,13528.34517
2020-10,22852990.86829,4798514.02752,-3173043.26089,725421.5879800001,854900.6564699999,9801.33164
2020-11,25032135.80888,4846255.41989,-3765636.84039,765441.9521700001,949588.8304999999,17028.80159
2020-12,24302225.44833,2776323.09412,-5603999.20094,411039.34162,1154785.81278,10952.135549999999
2021-01,1535233.31738,138580.20538,102409.47651000001,80614.94202999999,185981.2198,-3726.7492899999997
2021-02,1309600.12755,202185.64752,201879.8936,178251.08843,426941.36350000004,-3936.32087
2021-03,2384821.34949,252355.77025,324903.66581000003,244057.52984,977908.69956,1660.82035
2021-04,6046051.00457,389214.07189,580318.51911,313576.05977999995,1116167.7212699999,1740.33039
2021-05,8690903.119450001,463321.40726,894873.13728,434299.02483,1276007.44035,-3811.04238
2021-06,11611500.48173,512634.20277,1122945.57322,726428.94934,1460340.14729,4932.97182
2021-07,16398918.221110001,606258.6187199999,1368999.0748299998,1134923.45184,1866776.00821,1272.97254
2021-08,18502277.49952,749459.7049799999,1647832.93899,1380400.36885,2328027.6674699998,996.0336199999999
2021-09,21211632.08793,849353.16839,1749939.1612,1747786.79442,2458088.3781399997,14440.6384
2021-10,23800799.33952,777568.77756,2052132.0820300002,2741490.80291,2743445.77141,51785.804059999995
2021-11,26334389.43197,1374007.99035,2254701.24243,3477356.49315,3079186.03393,51841.82149
2021-12,35050410.738409996,1055377.51549,2728417.182,3771006.59432,3319120.94997,39568.45372
2022-01,1690912.1119199998,1126397.89296,130065.34934000002,115748.56967,641228.73744,2645.20905
2022-02,4127536.7677200004,443033.09961000003,247654.3144,115752.34075,699016.19713,2991.8705499999996
2022-03,3714976.4129999997,243562.19003,-2019289.16029,-1408884.12034,720672.7551899999,-3233.0088899999996
2022-04,858719.40661,-2281601.83999,-2025961.83307,-2329650.55679,413236.65077999997,-147.71289000000002
2022-05,5654793.63324,-3582531.9247500002,-2095981.85608,-1899814.24932,30055.928659999998,-12621.71369
2022-06,6284001.88531,-4042913.18058,-2536517.3533400004,-3198847.05571,-2348500.79667,-32791.232299999996
2022-07,10934432.789369998,-503487.81154,-3303300.4579,-3540552.1039,-3519378.9978899998,-45363.847669999996
2022-08,14145587.86404,2341307.41006,-4405919.69899,-3397516.01917,-4876358.69268,-60847.362140000005
2022-09,13828217.16726,2712668.99155,-7906125.38752,-3358996.8961,-4318125.33318,-85326.28675
2022-10,17762523.91389,1089788.87821,-8378374.44616,-3652875.99426,-4221896.01058,-93974.02923999999
2022-11,22874057.43505,1582461.33501,-7687730.92294,-3754313.2714899997,-5073486.7559,-103309.75098
2022-12,30197968.44122,639802.98242,-7718304.0623200005,-3861512.65385,-7110163.43239,-163951.29122
2023-01,6315581.07757,2242222.5875399997,623024.2302499999,234318.28936,680469.24688,-6198.15882
2023-02,8728405.46333,1845690.26542,418222.28388,488824.27585,804892.84933,44022.80011
2023-03,16042628.31686,2541687.02701,981642.5998600001,1433558.6497,1194266.37492,32606.668159999997
2023-04,20882207.003939997,2070359.01011,1243736.98483,1808756.8684699999,1326189.3834499998,22223.93028
2023-05,25479347.40576,2231178.2050699997,1536210.72677,2184929.93178,1398198.78532,12739.350339999999
2023-06,29749257.14232,6838249.39382,1975922.06528,2596066.56789,2143650.6957699996,2710.2171
2023-07,34398660.48463,8236235.63355,2326137.2034699996,2885879.65203,5360296.5812800005,-28710.48686
2023-08,39210437.7085,9484678.71312,3073219.0092,2621390.78777,5438080.79345,-24021.22739
2023-09,43372762.288320005,14176460.47147,3595073.7604400003,2921037.51674,5584099.757660001,-30307.23
2023-10,47101510.91119,14582694.89958,4131843.66305,3361229.9259699997,5741911.961730001,-28998.94703
2023-11,54456046.41814,11563363.04345,4925452.84198,4079872.60394,5251235.50839,587.70065
2023-12,37764685.27561,5978259.95532,3247446.02918,1936424.60682,2858978.72294,-16350.01265
2024-01,5869204.72619,1556264.32868,1061225.66717,939916.99532,479268.63818,-3550.76298
2024-02,7569436.72163,2464521.91251,1683253.3711,1450771.9314299999,477655.96512,-3640.37542
2024-03,13856792.59777,4856065.542409999,2474470.74419,1907768.3351999999,1193126.77246,-7640.88734
2024-04,17470402.669970002,6472223.27192,2868351.20689,2456733.5546399998,1455009.75805,-12473.20921
2024-05,23957136.004430003,8739236.4144,4169717.87794,2826993.26265,1709142.3276600002,-16521.854470000002
