,raiffeisen,fuib,ukrsibbank,universal,agricole,otp,citibank,pivdenny,kredobank,procredit,tascombank,ing,a - bank
2021-07,2766327.63535,2276035.66527,674819.60858,2049843.26006,845407.0857299999,1561671.39009,896283.67007,375260.79177999997,498277.4534,433792.57766,306979.22101,53874.49025,271023.21112
2021-08,3230947.92697,2650786.45598,839907.53521,2274925.84765,970900.4905399999,1754883.10144,1055601.63945,436963.10584000003,582103.27983,500992.61519,335160.51961,38151.27032,372765.75034
2021-09,3636619.71602,3020658.5499,1035140.9111499999,2461548.50376,1078374.8739,2066094.9102399999,1224573.76866,500926.53595,645955.6609700001,567782.66602,364965.24673,71325.54963,434304.63739
2021-10,4068866.0147800003,3472553.50137,1221940.3319,2787817.00935,1254855.46226,2271089.39775,1395178.1841699998,564210.58979,681120.35701,601476.16754,384604.31142,38904.17766,536833.4544299999
2021-11,4401429.22264,3961745.88807,1544450.73774,3064060.11242,1370128.71604,2458761.1358,1566809.97799,586697.5539,741851.89582,690525.8017300001,400629.28278999997,49681.99415,688798.58542
2021-12,4873338.76492,4187591.6492099995,1454486.22533,3072211.0646800003,1552720.0849400002,2745110.7200800003,1758108.48338,694177.44186,796300.3938900001,765365.16409,456062.26236,57270.648199999996,800013.12229
2022-01,440871.09844000003,596512.2390200001,213940.14096000002,386810.26864,126407.4843,295018.79974000005,197050.75128,170503.57534,118473.41727,73572.01841,44393.05544,18529.05015,118079.37645
2022-02,486279.34011000005,941897.2379099999,389164.96790999995,438627.67816,204575.00571,527430.49855,86708.78215,53374.94969,189406.19906,-15979.69767,47206.59999,32544.29203,160143.36564
2022-03,-128970.73982,185804.03883,-118632.57139,-109616.60856000001,7887.76337,-834549.7372099999,-91644.21559,213550.85628,39623.53609,-760513.54069,2479.76609,38083.112,73734.36783
2022-04,-85248.36905,189042.85915,-54821.294350000004,-72874.47724000001,21169.55685,-1714096.14457,-74143.06397999999,254122.72016,41366.22506,-697571.6595899999,2637.70524,39668.56393,22193.03624
2022-05,424853.19635000004,223950.18252,349545.17516,113214.39845000001,60762.96511999999,-599649.82329,105942.54639,305538.80176,89783.43906,-727719.40621,5150.32003,30071.89789,-5000.43658
2022-06,628486.15378,218634.68592000002,724088.99334,250102.57615,30680.76457,-783063.05998,235590.6033,309765.92517,58354.36702,-906983.9380099999,12851.369130000001,22613.416999999998,6202.26728
2022-07,1604831.55452,185168.78177,1074589.1944600001,444191.02875,43308.79677,-571061.59566,671140.00801,339772.0567,144027.77396,-1227466.57639,13607.2091,-41048.049329999994,18254.85133
2022-08,1872525.9446,231169.15608,1699575.15044,654911.2054900001,57532.46411,-439647.15683,1115543.37497,342061.83498000004,57992.786889999996,-1288542.1995599999,17914.29738,-41261.72402,32366.373109999997
2022-09,2394837.53877,48026.83482,2098714.51921,877848.9711,24026.13332,-16686.92472,1506055.73615,340537.05585,68447.58178,-1434229.95412,24862.51397,282.10383,116967.64786999999
2022-10,2509343.0487599997,47517.02461,2616794.01984,1262355.7674,24057.40728,208042.8775,1904123.38085,456859.06182,131605.62852,-1456647.3328800001,27830.30443,2331.76406,152470.64023
2022-11,2793985.14053,170990.29558,3269564.29496,1824941.45766,59594.93058,445644.17471,2384553.6968699996,538866.7199400001,195985.75271,-1468762.14347,30644.61234,3484.80693,186823.17595
2022-12,1572798.73316,-397722.92341000005,3558683.12607,2158813.95424,31219.812520000003,597105.96705,2720688.60309,389653.90981000004,142416.24309,-1772507.56703,30950.08669,4381.9208100000005,202636.64637
2023-01,715810.0214900001,499060.57357999997,605287.38385,378514.04084000003,14522.137069999999,617621.89936,544890.11735,174474.56313,177567.231,110209.99863999999,20759.42088,8414.77048,48281.976720000006
2023-02,1697497.5528099998,998515.1090099999,1208042.56284,725930.91543,59189.77334,1046971.248,989385.85421,243522.05805,246539.4814,178639.51564000003,38705.88655,17335.15597,97375.78468
2023-03,2061131.24594,1545208.66766,1747049.5817,824057.47209,102933.19158,1459188.29406,1398648.86428,328097.4413,277905.60323,210936.2262,128877.98326999998,12731.70989,106909.56095999999
2023-04,2825183.43088,2229934.8283700002,2316100.78634,1158618.9821600001,299504.32006,2008294.12277,1948595.60824,383796.67585,464567.42368,353346.36296999996,148043.84322,27770.46659,158879.18011
2023-05,3261583.07337,2986372.7561999997,2893846.51985,1307979.57574,600642.6632000001,2569053.1613600003,2272570.99035,552410.28534,695754.51593,384425.36978999997,165126.65188,26332.11706,180270.76066
2023-06,3118667.17245,3676534.8479,3565397.93446,1564708.5581999999,994260.2215399999,2854464.4863899997,2757843.14369,534725.21456,914796.15639,491735.1567,180365.41281,38107.700059999996,205863.33962
2023-07,3816655.72755,4426664.50192,4290535.05955,1964217.52724,1525056.81709,3628540.77278,3253213.20009,886713.21019,1154658.31239,652294.0952300001,205904.51526000001,50881.14716,305026.85482
2023-08,5117764.048789999,5031912.101439999,5084678.2369800005,2428690.4328,2157553.2082499997,3949403.2841,3603673.01878,683766.46556,1333424.72853,808167.80479,220329.70593,64638.83672,447925.85149000003
2023-09,6135773.93316,5680969.638859999,5664293.54422,2859103.25763,2293566.11114,4747905.51028,4227496.70885,818679.13446,1509443.87663,655163.25768,248816.7123,79231.50224,561025.7074300001
2023-10,6892511.329709999,6476544.40396,5968715.01921,4560015.28731,2894292.4462699997,5294004.43276,4900370.50224,1592900.66155,1677671.39173,901506.23291,253869.99449,86302.79745,811386.80725
2023-11,7432513.91127,6693502.85685,6865818.123729999,4953558.297259999,3479480.7226299997,5442377.11107,5369559.42837,1511020.11454,1740706.34766,970977.8509300001,260943.09792,59948.73471,646413.89327
2023-12,4781247.48533,3955475.0623199996,4220308.94501,1865685.16331,2793033.50864,3712306.68483,3588772.87793,924429.8582599999,1211500.2222999998,848565.49014,63055.58285,58275.72564,474385.45854
2024-01,1053505.60904,700500.54316,603029.37138,467769.70247,843663.81553,482950.38864,476604.79728,397457.16492999997,221910.87676,200458.52718,61740.174119999996,13428.22799,264551.54982
2024-02,1958975.9649699999,1412306.85627,1197160.47128,822480.70577,1561339.76442,937775.26194,857422.76023,643922.95258,459768.86510999996,356539.9627,169053.86052,22519.43392,172728.87971
2024-03,2526262.97341,2133801.94215,1699927.10184,1064070.40894,2016040.75356,1556265.0615400001,962410.70432,587992.3323199999,675887.6476100001,299553.3048,237657.09933,26439.19682,505715.77969
2024-04,3327220.20291,2661413.6230200003,2334820.78021,1616867.6305500001,2619028.58185,1957161.07525,1333235.02318,755021.52543,749403.32084,395761.55294,286316.4791,34001.584299999995,739954.63806
2024-05,3997383.70157,3196395.56976,2929624.74037,2242259.79158,3125634.34622,2403170.75056,1723359.04794,1387061.82053,870644.6509,423425.59383,292376.82302,36963.46553,835253.5201
