,Total
2020-01,705257057.2529399
2020-02,713075308.2488799
2020-03,749298477.8546307
2020-04,726640843.41538
2020-05,739454611.0708404
2020-06,757632194.9433099
2020-07,789545065.7361399
2020-08,800885299.3308299
2020-09,809733465.3886898
2020-10,815636391.8915203
2020-11,826278950.8835597
2020-12,858956715.6154202
2021-01,866487481.5337701
2021-02,870075725.3989202
2021-03,875919918.6455599
2021-04,891712155.2887204
2021-05,902581123.12794
2021-06,923238215.94904
2021-07,951119377.2518796
2021-08,957693859.2075403
2021-09,990589894.5467495
2021-10,1007812829.0637699
2021-11,1028443970.6366997
2021-12,1056595968.0345397
2022-01,1070614913.2170998
2022-02,978004224.9519199
2022-03,970848906.9780798
2022-04,986221960.6830397
2022-05,987367718.5115403
2022-06,978660810.9229518
2022-07,1051658452.1408095
2022-08,1047500464.6305801
2022-09,1068974360.4751999
2022-10,1104189287.8678102
2022-11,1133510543.54607
2022-12,1181126906.8429494
2023-01,1189298598.5528495
2023-02,1197419150.1170297
2023-03,1211016896.0094802
2023-04,1247862095.8468204
2023-05,1260377462.7317398
2023-06,1293648914.1392207
2023-07,1318874621.2127292
2023-08,1320905781.71269
2023-09,1324945676.4529402
2023-10,1340466702.16794
2023-11,1364684531.08817
2023-12,1452268713.6815698
2024-01,1435674817.6719499
2024-02,1460805448.7346606
2024-03,1469134968.1364195
2024-04,1502218305.4181602
2024-05,1511938105.9148407
