,приватбанк,ощадбанк,укргазбанк,укрексім,сенс,перший інвестиційний
2020-01,200504906.2883,,25711281.00535,26723052.2558,38000593.63761,166993.36614
2020-02,202497990.50016,,25821546.45375,26618241.93536,38882837.59146,167200.64652
2020-03,211045119.25765,,27358721.18321,28399219.57637,39771186.15968,172426.8185
2020-04,216006177.08237,,26944225.716,27367848.29866,39348756.42581,174612.30832
2020-05,217847582.24846,,27369677.34866,27324044.2483,39464586.57681,177183.62353
2020-06,222278143.91158,,28124912.27963,27469416.40734,39506721.92016,184774.43429
2020-07,225796488.77704,,29544425.13916,28044996.90139,41563332.44965,192366.98909
2020-08,226165057.77624,,29532819.99662,28150141.41451,41655753.26352,203229.99794
2020-09,233399213.21228,,30208388.58727,28458296.30242,41632914.6785,234929.5904
2020-10,236529519.0636,,30624267.85311,28451614.64647,42282296.40861,279131.9844
2020-11,240556964.59707,,29916748.62214,28615826.74675,42803302.67333,263152.59902
2020-12,252742677.65702,,30237444.88844,29302716.36446,43800451.17232,271582.72783
2021-01,247910686.2327,,30306787.29311,29065829.80399,44217421.93674,263089.64074
2021-02,248820451.33455,,30342737.6057,29176317.17848,45008083.29069,255609.918
2021-03,249419786.19247,,29949792.08857,28974709.38405,44047226.87715,246097.44472
2021-04,251603500.362,,30448602.56801,29061704.70215,45430177.01157,247137.93345
2021-05,248919838.18793,,29538430.6842,28848376.33619,45460235.09308,245641.40037
2021-06,256147023.01086,,29412441.53166,28449249.11265,45990347.76346,254627.48651
2021-07,250020529.17115,,28708011.1014,27547337.22463,46786042.65317,240550.73613
2021-08,247231644.15647,,28168456.96494,27170257.67683,46846984.49161,219100.19887
2021-09,248751627.96171,,28050919.35069,26662702.31206,46657886.58191,189510.40499
2021-10,245656248.30737,,28196293.84209,26257890.57414,47788457.25505,164754.4366
2021-11,248789175.96795,,27958206.52738,26537060.93888,48943215.92375,166078.42945
2021-12,263567738.42576,,28309584.04413,27034457.87971,50514170.03707,181718.4565
2022-01,250045630.88844,,26928855.83117,27352686.76621,51501365.5422,172047.37556
2022-02,239734816.10976,,25154878.33409,27167351.07121,50158606.57412,179495.19617
2022-03,282785209.73343,,25790830.77213,27597866.4665,48190429.64774,162145.13288
2022-04,290030220.98856,128798695.48449,26070950.25999,27827359.43451,46258819.67227,156860.75581
2022-05,296710400.46099,131423824.71503,25484673.51223,27421740.88331,44077633.19176,125216.04363
2022-06,317792566.63988,137162194.72071,26001957.38572,27611139.83609,43134172.42841,117983.2184
2022-07,335718920.86365,147672170.68054,28982428.7493,32468290.74653,47320223.641,125943.98602
2022-08,342622556.0369,151159121.26861,29722917.0744,32245360.49783,46766375.87003,113339.25464
2022-09,349039022.22977,153428525.36396,31463453.33348,31989596.4251,45163720.88157,101969.01923
2022-10,357002080.4782,154309630.64914,32201884.14671,32151950.50055,42594393.33355,82693.24631
2022-11,364926238.20754,162506953.83228,31475593.65754,32499572.82704,42430601.86624,78506.36946
2022-12,390583163.92925,169790872.53725,33563280.10554,33436172.82833,43729112.92964,75921.48619
2023-01,382542019.43467,170778213.72257,32234059.13134,32765284.53833,43880112.0082,76734.46392
2023-02,388034502.14987,172254027.93929,32234329.10064,32692873.05356,44323570.49384,65894.16888
2023-03,392219989.9186,172472355.27931,32039111.7642,33292228.97347,44244242.00118,61046.07481
2023-04,394781490.26699,171981301.61449,31581780.58988,34134646.28257,44052656.98816,62241.7271
2023-05,396795390.14528,173226041.51663,31714777.66955,34114015.8181,43832549.78723,58918.63607
2023-06,409859655.99874,177692244.19871,32407893.06767,34780034.49225,43991815.32044,58139.85352
2023-07,414305073.55621,179072148.20983,32927192.65462,35127482.5023,43878626.49887,59321.12755
2023-08,415364285.26434,180086492.48226,33159750.50397,35358052.45864,44683403.24338,59749.86892
2023-09,426758099.3602,183284400.40014,33580177.12781,35736928.9286,45520543.60282,57973.79525
2023-10,428070792.2288,182222722.88073,33447393.72493,35999448.00011,45884434.62199,57832.71402
2023-11,440559683.5629,186462693.4773,33435109.59122,36526115.88976,47322963.1422,54454.40592
2023-12,464132225.87973,192748583.61379,35500961.62511,38936054.07518,49205154.87058,63758.10559
2024-01,445784577.29488,188248326.84255,33647528.50597,38815499.01593,47755889.12442,54811.1136
2024-02,452562468.21277,189100002.2282,33788275.77814,38928828.33661,47540143.93646,57540.21143
2024-03,458351288.02037,191073064.15206,33395945.94744,39620382.24362,47604053.23411,59051.86007
2024-04,465874510.26442,193230797.11981,33852784.29248,39435337.05735,47729145.39619,57604.77638
2024-05,475094565.60453,196392596.66318,33993410.72665,39886985.85725,48281368.60503,59529.70832
