date,"Поліграфічна діяльність, тиражування записаної інформації",Металургійне виробництво,Спеціалізовані будівельні роботи,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами","Надання фінансових послуг, крім страхування та пенсійного забезпечення","Оренда, прокат і лізинг","Оптова та роздрібна торгівля автотранспортними засобами та мотоциклами, їх ремонт",Операції з нерухомим майном,Інше (для фізичних осіб (у т. ч. суб`єктів незалежної професійної діяльності) та нерезидентів),Діяльність головних управлінь (хед-офісів); консультування з питань керування
2020-12-31,89938.88818,133491.04992,3216.65131,560413.71134,161208.17402,39747.05656,3507.01166,160940.0,0.0,0.0
2021-12-31,0.0,108294.44758,2615.1368899999998,650970.87638,215423.77267,1964.02575,0.0,0.0,27369.915,0.0
2022-12-31,0.0,73103.42539,0.0,271709.23083,601397.30552,0.0,0.0,4539.69863,69064.251,0.0
2023-12-31,0.0,86409.05479,0.0,287537.35569,747268.66018,0.0,0.0,0.0,137423.14157,55826.38283
2024-12-31,0.0,22297.63518,0.0,140127.45308,268547.59025,0.0,0.0,0.0,60714.497310000006,167479.14849
