date,Інше (для фізичних осіб (у т. ч. суб`єктів незалежної професійної діяльності) та нерезидентів),"Сільське господарство, мисливство та надання пов'язаних із ними послуг",Добування металевих руд,Виробництво харчових продуктів,Виробництво напоїв,Виробництво іншої неметалевої мінеральної продукції,"Виробництво машин і устатковання, н.в.і.у.","Виробництво автотранспортних засобів, причепів і напівпричепів",Ремонт і монтаж машин і устатковання,"Постачання електроенергії, газу, пари та кондиційованого повітря",Будівництво будівель,Будівництво споруд,"Оптова та роздрібна торгівля автотранспортними засобами та мотоциклами, їх ремонт","Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами","Роздрібна торгівля, крім торгівлі автотранспортними засобами та мотоциклами","Надання фінансових послуг, крім страхування та пенсійного забезпечення","Страхування, перестрахування та недержавне пенсійне забезпечення, крім обов'язкового соціального страхування",Допоміжна діяльність у сферах фінансових послуг і страхування,"Оренда, прокат і лізинг",Діяльність охоронних служб та проведення розслідувань,Обслуговування будинків і територій,Охорона здоров'я,"Ремонт комп'ютерів, побутових виробів і предметів особистого вжитку",Операції з нерухомим майном,"Діяльність у сфері спорту, організування відпочинку та розваг",Виробництво хімічних речовин і хімічної продукції,Надання інформаційних послуг,Лісове господарство та лісозаготівлі,Виробництво гумових і пластмасових виробів,Наземний і трубопровідний транспорт,Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження,Рибне господарство,Спеціалізовані будівельні роботи,"Комп'ютерне програмування, консультування та пов'язана з ними діяльність","Адміністративна та допоміжна офісна діяльність, інші допоміжні комерційні послуги",Складське господарство та допоміжна діяльність у сфері транспорту
2020-12-31,180174.05855999998,720822.31819,264490.96424,597484.20282,1229097.09177,204284.26033,46826.75995,330.53566,2380.02303,2014576.71355,2295161.98377,20674.45348,130553.6648,4149831.63765,1666.34846,214026.50114,22924.30518,229026.25799999997,100974.71421,5762.96359,9876.84836,457.98764,2550363.7188,11691.37061,10026.76179,270697.21460999997,880.8570199999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-31,1270561.67401,828147.65469,271361.15885,412818.19938,1221824.1300000001,17853.65418,23542.90666,694.07958,1352.86279,4213380.83203,673422.21751,19133.26547,178618.23195000002,5759071.30024,38220.0624,147253.58955,49016.96475,231095.87333,429072.93856,8097.31505,110622.02078,176.12496,2678311.02343,6581.5261199999995,4356.24729,467423.40094,1278.7689,5715.04735,4312.26102,16772.89134,13940.56207,15030.68494,16018.11278,0.0,0.0,0.0
2022-12-31,891599.62628,1180142.40133,214899.98871,22160.28863,943175.96681,0.0,0.0,0.0,853.30411,3691757.1753599998,720583.93537,0.0,144074.01418,6693810.28583,73971.08828,101369.7401,1941.37819,22138.53804,82182.72117,7656.89717,100027.0458,25.05801,2547099.84359,7279.331819999999,493.02207,827944.18516,66.88699,7278.05723,8946.87768,17544.26346,0.0,0.0,117598.28252,1.58844,0.0,0.0
2023-12-31,97989.61222,1645534.47107,172079.45397,6167.13544,0.0,0.0,271064.7998,0.0,3557.51069,2918603.25459,755875.45626,160035.15069,143436.71747,9201213.61811,37381.51272,106265.28623,0.0,27419.31165,26683.04452,6158.20251,121031.11715,0.0,773996.8796699999,83011.77768,0.0,219024.96452,0.0,9728.001479999999,10925.88002,6.53789,0.0,0.0,134400.59751,0.0,2027.5433999999998,0.0
2024-12-31,0.0,787357.6063900001,68105.21277,1048.2013,0.0,0.0,38916.7812,0.0,2285.22791,2082792.8097100002,153848.81913,119565.17457999999,57965.33863,5495084.19574,4171.65144,61150.53371,2500.36917,63732.063030000005,0.0,0.0,37450.74162,0.0,0.0,24028.188670000003,0.0,0.0,0.0,4119.46616,1204.95795,284.33473000000004,0.0,0.0,67537.36792,0.0,4302.45357,48715.77253
