date,"Постачання електроенергії, газу, пари та кондиційованого повітря","Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами",Операції з нерухомим майном,Виробництво харчових продуктів,"Виробництво готових металевих виробів, крім машин і устатковання",Спеціалізовані будівельні роботи,Охорона здоров'я,Допоміжна діяльність у сферах фінансових послуг і страхування,"Сільське господарство, мисливство та надання пов'язаних із ними послуг"
2020-12-31,21466.06282,549208.84925,469387.46798,194.30608,15412.60335,4303.99444,81668.57489999999,0.0,0.0
2021-12-31,8716.06803,18109.11049,439662.95454999997,541.16668,0.0,0.0,0.0,7834.1768,0.0
2022-12-31,10116.83167,149229.92236,364764.51298,0.0,0.0,0.0,0.0,6098.2448,101986.30137
2023-12-31,0.0,271975.44383,431829.53102,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-31,0.0,223274.87861,202217.08598,0.0,0.0,0.0,0.0,0.0,0.0
