date,"Сільське господарство, мисливство та надання пов'язаних із ними послуг",Виробництво харчових продуктів,Металургійне виробництво,"Постачання електроенергії, газу, пари та кондиційованого повітря",Будівництво будівель,Спеціалізовані будівельні роботи,"Оптова та роздрібна торгівля автотранспортними засобами та мотоциклами, їх ремонт","Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами",Тимчасове розміщування,"Надання фінансових послуг, крім страхування та пенсійного забезпечення",Операції з нерухомим майном,Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження,Охорона здоров'я,Складське господарство та допоміжна діяльність у сфері транспорту,"Виробництво готових металевих виробів, крім машин і устатковання",Ремонт і монтаж машин і устатковання,"Оренда, прокат і лізинг",Обслуговування будинків і територій,Надання інформаційних послуг,"Каналізація, відведення й очищення стічних вод",Допоміжна діяльність у сферах фінансових послуг і страхування,Виробництво іншої неметалевої мінеральної продукції,Діяльність охоронних служб та проведення розслідувань,"Виробництво машин і устатковання, н.в.і.у.",Виробництво меблів,Інше (для фізичних осіб (у т. ч. суб`єктів незалежної професійної діяльності) та нерезидентів),Текстильне виробництво,Діяльність у сферах права та бухгалтерського обліку
2020-12-31,358059.32177,46745.003339999996,759539.24737,25071.44652,462297.69864,512011.76658,325637.2486,73059.07296,19613.8412,102715.94434,1462377.78895,22480.492290000002,90342.13561,104772.43691,141542.0029,61382.10197,44130.3413,3390.9645600000003,173.80969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-31,0.0047,556535.32116,811181.43642,54413.19194,366539.91043,459315.077,503819.29438,46900.49835,20708.30347,21754.94569,1241243.01843,18053.830159999998,0.0,0.0,455.9101,428275.32427,12192.051500000001,0.0,5388.67451,72052.12192,169622.52724,1764.09824,11589.549490000001,62143.32464,0.0,0.0,0.0,0.0
2022-12-31,325913.94848,887298.49679,710989.3696699999,60481.87951,468492.73131,308094.68267,386584.57458,238087.24495,21153.02062,1076.64783,1356410.49709,0.0,5719.1548299999995,0.0,464.89977999999996,115636.89763,48107.48283,0.0,4609.86267,41746.48832,314194.57658,0.0,89340.56931,274924.54647,4640.94136,0.0,0.0,0.0
2023-12-31,680302.8398,1199535.12407,222591.43004,198904.47058,691614.12822,780282.76743,500009.62155,374644.95276,34013.928139999996,9847.37312,1680525.50039,0.0,43129.453349999996,0.0,478372.26728,0.0,34253.69859,7433.42522,1817.46603,0.0,475347.82050000003,0.0,173062.03261,488484.22875,3479.21987,18365.84524,0.0,0.0
2024-12-31,365071.13888,543301.42215,0.0,267241.07043,252775.52827,429417.14783000003,535021.78258,248612.08948999998,19170.38983,53490.44414000001,685840.20808,71886.93385999999,4661.8562600000005,0.0,73964.32724,0.0,3440.39594,5485.36064,0.0,0.0,259291.94556999998,0.0,86598.49298,308894.02045,5317.58182,372485.64521,1095.80351,350047.81421
