date,Виробництво іншої неметалевої мінеральної продукції,Ремонт і монтаж машин і устатковання,"Постачання електроенергії, газу, пари та кондиційованого повітря","Оптова та роздрібна торгівля автотранспортними засобами та мотоциклами, їх ремонт","Роздрібна торгівля, крім торгівлі автотранспортними засобами та мотоциклами",Наземний і трубопровідний транспорт,"Комп'ютерне програмування, консультування та пов'язана з ними діяльність","Надання фінансових послуг, крім страхування та пенсійного забезпечення",Виробництво одягу,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами","Сільське господарство, мисливство та надання пов'язаних із ними послуг",Виробництво меблів,Будівництво споруд
2020-12-31,1159.90204,6506.93866,920.97929,486.11021,18445.96812,17174.44817,101399.10177,117178.50105,1940.5101900000002,9114.592709999999,412.12766,2420.1600900000003,0.0
2021-12-31,3729.973,7707.89703,0.0,1288.24113,23140.0103,0.0,167646.64638,67609.03311,0.0,30373.05784,0.0,0.0,0.0
2022-12-31,0.0,7952.73345,49900.01437,36634.24485,0.0,0.0,0.0,16399.78081,0.0,84311.37687000001,0.0,0.0,384.75686
2023-12-31,0.0,10613.99388,0.0,43800.0,0.0,0.0,0.0,0.0,0.0,100800.00001,0.0,0.0,9756.16468
2024-12-31,0.0,3782.59679,0.0,13950.0,0.0,0.0,0.0,0.0,0.0,33600.0,0.0,0.0,13753.43101
