date,Інше (для фізичних осіб (у т. ч. суб`єктів незалежної професійної діяльності) та нерезидентів),Виробництво харчових продуктів,Виробництво гумових і пластмасових виробів,Виробництво електричного устатковання,"Виробництво машин і устатковання, н.в.і.у.",Будівництво будівель,Спеціалізовані будівельні роботи,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами",Складське господарство та допоміжна діяльність у сфері транспорту,"Надання фінансових послуг, крім страхування та пенсійного забезпечення",Операції з нерухомим майном,Поштова та кур'єрська діяльність,Діяльність із забезпечення стравами та напоями,Виробництво іншої неметалевої мінеральної продукції,Ремонт і монтаж машин і устатковання,"Постачання електроенергії, газу, пари та кондиційованого повітря","Оптова та роздрібна торгівля автотранспортними засобами та мотоциклами, їх ремонт","Оренда, прокат і лізинг","Виробництво готових металевих виробів, крім машин і устатковання",Будівництво споруд
2020-12-31,134317.845,84141.80545,437568.09664,29955.96636,127384.66171,164166.85677,304037.5201,2493808.5957,941811.1388,384767.8299,348804.1466,6.91086,1.08604,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-31,135116.145,91212.73993,386852.1871,111739.25343,148430.96296,273191.47897,328218.55216,2293596.45389,641602.88121,225497.4411,339009.18615,0.0,0.0,80541.58667,33260.81531,0.0,0.0,0.0,0.0,0.0
2022-12-31,147001.41,107674.28321,349458.34859,35905.5322,137387.5953,251185.27515,305932.82294,1956323.41244,388672.66145,75460.62446,337376.33025,0.0,0.0,87932.92846,11548.4188,197518.98283,167.82869,28303.14701,0.0,0.0
2023-12-31,197292.19499999998,157397.491,105236.35026,0.0,164865.11436,248454.32643,307298.69925,1970846.93112,497118.94017,216527.89467,402886.30425,0.0,0.0,114118.93325,0.0,315003.24998,598.6852,43311.512090000004,97076.69274,0.0
2024-12-31,105054.75,89361.13434,0.0,0.0,82432.55718,59936.07233,138014.93561000002,613453.55087,253867.33854,122601.63928999999,292452.63347,0.0,0.0,109651.55221,0.0,134905.31286,353.0393,16390.87299,42006.92011,40444.842390000005
