date,Інше (для фізичних осіб (у т. ч. суб`єктів незалежної професійної діяльності) та нерезидентів),"Сільське господарство, мисливство та надання пов'язаних із ними послуг",Виробництво харчових продуктів,Виробництво напоїв,Виробництво одягу,"Оброблення деревини та виготовлення виробів з деревини та корка, крім меблів; виготовлення виробів із соломки та рослинних матеріалів для плетіння",Виробництво паперу та паперових виробів,"Поліграфічна діяльність, тиражування записаної інформації",Виробництво коксу та продуктів нафтоперероблення,Виробництво хімічних речовин і хімічної продукції,Виробництво гумових і пластмасових виробів,Виробництво іншої неметалевої мінеральної продукції,Металургійне виробництво,"Виробництво готових металевих виробів, крім машин і устатковання","Виробництво комп'ютерів, електронної та оптичної продукції",Виробництво електричного устатковання,"Виробництво машин і устатковання, н.в.і.у.",Ремонт і монтаж машин і устатковання,"Постачання електроенергії, газу, пари та кондиційованого повітря",Будівництво будівель,Спеціалізовані будівельні роботи,"Оптова та роздрібна торгівля автотранспортними засобами та мотоциклами, їх ремонт","Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами","Роздрібна торгівля, крім торгівлі автотранспортними засобами та мотоциклами",Складське господарство та допоміжна діяльність у сфері транспорту,Діяльність із забезпечення стравами та напоями,Операції з нерухомим майном,Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження,Наукові дослідження та розробки,"Оренда, прокат і лізинг",Діяльність охоронних служб та проведення розслідувань,Охорона здоров'я,Наземний і трубопровідний транспорт,Державне управління й оборона; обов'язкове соціальне страхування,Обслуговування будинків і територій,Текстильне виробництво
2020-12-31,125.22025000000001,1230749.95973,2045126.3249,247865.9179,10310.886340000001,3047.96651,95895.36056,284021.44952,77128.22386,14006.74781,49455.18204,7750.90325,373741.38352,1563665.09467,65022.34429,79494.78637,95331.30845,380.45706,17468.70356,110346.98503000001,42636.178889999996,15005.7677,3114890.52597,105573.81306,272623.34571,45373.99806,1176845.79478,88937.91402,33078.808399999994,263802.70441999997,7204.94801,31252.53356,152181.57516,4674.1276800000005,0.0,0.0
2021-12-31,6.57674,1452527.46138,1828079.66753,99438.69069,35545.15333,3869.5071399999997,245389.46018,99422.369,89468.30697,73.39991,23725.88423,26540.49053,1650.11203,1585197.93735,32077.09154,114544.96878,41704.2164,134.25523,15823.45545,133009.84199,53438.48652,18616.94646,5501894.41281,63486.95437,45384.24768,45063.89435,1036116.03083,27083.669429999998,49720.39939,194069.90714999998,5906.046850000001,31124.14063,124207.96927,0.0,54586.24398,0.0
2022-12-31,0.0,1978404.09799,2102545.97057,0.0,11836.76146,6341.9859400000005,288871.79781,5127.0504,81950.52216,235.40538,27036.13078,12822.55536,0.0,1582939.00903,16222.3207,63872.03325,9894.04954,182.46662,23683.52538,146708.01525,71777.84003,17190.85113,5379209.16922,178202.59459,3733.25031,50475.8116,838666.1624799999,485.20246,27205.271930000003,156193.23444,12116.129649999999,28717.56208,16943.03963,0.0,57912.826870000004,0.0
2023-12-31,0.0,2190101.82559,2396270.787,438181.20743,0.0,1448.57905,78058.90726,168943.69104,52455.099350000004,0.0,27916.70122,30155.05022,0.0,1997573.54078,7500.0,128445.12333,12984.551370000001,0.0,21995.66274,198719.89786,30954.62067,5130.24816,5592033.06397,102791.51194,50226.162919999995,73078.0515,850459.6683499999,0.0,38490.82399,142229.83413,8126.94282,38354.64789,6082.44036,0.0,0.0,0.0
2024-12-31,0.0,1050770.29241,1548743.52505,303066.31782,0.0,0.0,1545.56124,59885.98689,0.0,0.0,12397.82426,2050.47081,0.0,1010428.75124,3000.0,28038.025429999998,7225.41083,0.0,13826.01829,107151.38503,24825.06131,996.71837,2565107.95169,20910.105470000002,32772.858420000004,37525.798200000005,403094.29895,0.0,13133.69122,95794.11056,4253.6505799999995,20145.10973,2347.45061,0.0,0.0,20356.68991
