date,"Сільське господарство, мисливство та надання пов'язаних із ними послуг",Виробництво харчових продуктів,Виробництво напоїв,Металургійне виробництво,"Постачання електроенергії, газу, пари та кондиційованого повітря",Будівництво споруд,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами","Роздрібна торгівля, крім торгівлі автотранспортними засобами та мотоциклами",Наземний і трубопровідний транспорт,Тимчасове розміщування,Видавнича діяльність,"Надання фінансових послуг, крім страхування та пенсійного забезпечення",Допоміжна діяльність у сферах фінансових послуг і страхування,Операції з нерухомим майном,Діяльність головних управлінь (хед-офісів); консультування з питань керування,Виробництво меблів,Будівництво будівель
2020-12-31,32329.77496,533281.56163,29459.19201,48705.06718,320085.38921,162503.27868,509126.35392,171928.45239,725709.0164,832909.35801,77.96223,605369.34511,183025.96373,1180286.68669,669885.2459,0.0,0.0
2021-12-31,160747.13076,259921.15329999998,35375.69876,134140.32685,737017.72387,50744.65753,695349.70816,467820.21433,527789.31508,681458.3579000001,179.72178,207659.44991,1017261.81011,365426.73629000003,487389.863,1295.72004,0.0
2022-12-31,59655.57036,1000.4415,0.0,0.0,292422.40905,0.0,715062.27883,273386.37992,0.0,0.0,165.73062,71953.0903,966499.95507,367097.61334,0.0,933.82861,0.0
2023-12-31,1195.43209,0.0,0.0,0.0,0.0,0.0,924744.69274,5276.233560000001,0.0,0.0,0.0,5265.84944,202986.4505,319921.94941,0.0,606.68108,0.0
2024-12-31,0.0,0.0,0.0,0.0,0.0,0.0,18672.50734,0.0,0.0,0.0,0.0,0.0,39904.58714,50172.85838,0.0,0.0,3026.47768
