date,Телекомунікації (електрозв'язок),"Роздрібна торгівля, крім торгівлі автотранспортними засобами та мотоциклами","Надання фінансових послуг, крім страхування та пенсійного забезпечення",Рекламна діяльність і дослідження кон'юнктури ринку,Операції з нерухомим майном
2020-12-31,54695.80607,1039.19327,440.0,4.3712,0.0
2021-12-31,63614.69433,0.0,0.0,0.0,0.0
2022-12-31,96185.54226999999,0.0,0.0,0.0,372.999
2023-12-31,256441.26727,0.0,10263.84919,0.0,870.331
2024-12-31,2146.84481,0.0,8418.42452,0.0,0.0
