date,privatbank,oschadbank,ukreximbank,ukrgasbank,sense,first investment bank
2023-09,169453.6823322398,153764.77250287123,20552.71866994805,24107.038035001355,21572.116463768096,88.6703278643697
2023-10,207076.3572932636,48668.25971604597,24977.91120591459,24653.968641566273,26884.7947688938,114.64528806133623
2023-11,306933.52538993367,-12781.871277931461,27809.675693030953,24899.57415182522,25168.185876106196,299.6479607300885
2023-12,350072.0088236722,-47714.768513885065,32473.43934537611,23907.143128875727,24670.50829118363,132.4798916149905
2024-01,268070.85403406393,61783.79289622393,25366.235263797204,25969.349335093742,24488.24422603644,116.89668180617905
2024-02,162085.05836713192,59029.6679739268,14982.56889860416,23274.456807216226,21885.42301290493,125.62679562812747
2024-03,235006.26901008794,102328.15119658562,20422.02612829799,23471.09554190378,24380.93470512157,101.27786057941026
2024-04,177556.1382075712,69023.73199822156,18477.22930894308,24484.48222738821,21772.758354166675,94.45231732723578
2024-05,263999.9439853942,89698.9207252581,24145.19518131453,26497.150830269453,23053.890664568098,103.2968405943087
,,,,,,
