date,privatbank,oschadbank,ukrgasbank,ukrexim,sense,first investment
2020-01,51091.136546849084,45903.455719734666,22182.720869402983,30851.84063225539,15308.690824626865,329.54094112769485
2020-02,46632.87121300813,41688.5380711382,19538.212493495932,27971.994397154467,13356.364752439024,154.65100772357727
2020-03,43851.14186103748,39690.336789473695,18534.1380749716,27879.826131389633,13963.402590685346,125.93844604316547
2020-04,38935.17590595149,33613.615406686244,18744.83039860397,25746.056676708307,12010.536859662021,137.75854371785454
2020-05,39298.691443118274,33326.07105072733,21277.12672435659,27104.662565460654,11811.938077955978,130.73671092875784
2020-06,37303.37683751402,32398.145327967068,23056.43773493073,26712.27242830401,11884.430117933358,193.76146798951703
2020-07,36430.527114243865,30324.48054741852,21300.212581105825,27202.6902980593,11203.27290919076,131.720896008788
2020-08,34535.73422710754,29053.333616279084,20989.25884956395,27048.086696220962,10084.260841206407,105.81215734011644
2020-09,31082.079776268773,27243.936937455328,18856.61231379555,26088.16194245888,9130.281773409582,99.8627315939956
2020-10,30969.837720692092,27116.10257344634,19241.28169314972,25904.407332627114,9114.381336158198,114.17502860169489
2020-11,29029.843154715665,25942.260810667576,17830.51733309788,24723.46357011655,9095.251438360994,116.51751748498761
2020-12,28404.074294284714,25885.33702023429,15205.41267802626,24963.56667021655,10336.14504579339,152.27738906638257
2021-01,27419.78723742027,25344.729572997876,14212.928790574062,24282.210468462083,10599.745027639972,172.4848795180723
2021-02,23014.43194153515,23757.22076685796,12737.039134863699,22162.927898852224,9673.32389060258,163.14897058823533
2021-03,24516.272593884896,26610.595289568344,12060.119564748202,22476.77639352518,10787.88419316547,227.03611870503605
2021-04,22833.205986394554,25747.376638739708,11459.144300393848,21351.83187611888,10726.398630504833,292.8244529180092
2021-05,23001.66162826087,26126.875138405787,10791.86087282608,22154.163249999998,11521.759897101454,301.93981775362334
2021-06,19127.19403046989,24378.641210719547,9370.689763215865,22017.84970007342,11540.251180616735,304.9374842143905
2021-07,18513.9550856303,24465.172556045545,9292.221237780232,22654.87942704888,11751.57808452774,229.8462528482174
2021-08,17582.73266803583,25207.365807692317,8997.919379014196,23008.608136669147,12089.958430171782,229.77338125466787
2021-09,16335.469468761676,23250.525038159394,8602.02912495322,22832.55694612796,11628.662504302285,215.26326636737727
2021-10,16504.143000379237,22714.413130451256,9761.424324611307,23178.713396283634,12391.612408797873,132.61717406143376
2021-11,15269.462482419662,22773.898851417765,9386.674089981085,21583.096154631417,12424.083067296788,134.86990434782575
2021-12,14540.930799706006,22023.11143292907,9131.896916574802,21077.398766997416,12864.321854465255,118.50358324145581
2022-01,13768.497731951395,22419.089740171552,8618.348087919943,20414.311725875625,13507.611278055754,119.07439671193708
2022-02,12384.526769799366,19418.711489968326,7707.2568092221045,20550.67440478704,12286.774358676521,110.70441816261882
2022-03,16250.570325128205,21133.647698119657,9574.028920683762,19514.94546905983,12696.845595555555,201.54428888888887
2022-04,10992.04035521367,20522.927076239313,10845.181779487182,20698.78290222222,11608.838312478632,202.83479726495722
2022-05,10796.519372649578,22056.783190427348,11488.206669401703,21509.90998393162,10853.748557948722,216.53649880341888
