date,usd
01/2020,24.12
02/2020,24.6
03/2020,26.41
04/2020,27.22
05/2020,26.81
06/2020,26.71
07/2020,27.31
08/2020,27.52
09/2020,27.98
10/2020,28.32
11/2020,28.31
12/2020,28.17
01/2021,28.22
02/2021,27.88
03/2021,27.8
04/2021,27.93
05/2021,27.6
06/2021,27.24
07/2021,27.21
08/2021,26.78
09/2021,26.73
10/2021,26.37
11/2021,26.45
12/2021,27.21
01/2022,27.98
02/2022,28.41
03/2022,29.25
04/2022,29.25
05/2022,29.25
06/2022,29.25
07/2022,31.85
08/2022,36.57
09/2022,36.57
10/2022,36.57
11/2022,36.57
12/2022,36.57
01/2023,36.57
02/2023,36.57
03/2023,36.57
04/2023,36.57
05/2023,36.57
06/2023,36.57
07/2023,36.57
08/2023,36.57
09/2023,36.57
10/2023,36.52
11/2023,36.16
12/2023,37.09
01/2024,37.87
02/2024,37.97
03/2024,38.66
04/2024,39.36
05/2024,39.71
06/2024,40.48
