Date,01,02,03,10,11,13,14,15,16,17,18,20,22,23,24,25,26,27,28,31,32,33,35,36,41,42,43,45,46,47,49,52,53,55,56,58,61,62,63,64,66,68,69,70,71,73,74,77,78,79,81,82,85,86,87,90,93,95,96,09,29,38,59,72,75,80,84,88,19,91,08
2023-03-01,824339.36241,6911.69847,,399469.20488,10942.73215,12366.1078,82707.28537,3096.49349,113360.55361,63287.8732,13195.57291,29441.52539,29781.74922,67462.60478,106195.5398,41048.4892,54362.27828,2449.18444,18851.21531,14007.64186,16761.31646,3154.69529,46293.63804,2853.13962,89567.10478,6491.92108,24204.651,141659.74224,962803.9787,405944.43497,246924.24038,5562.78039,3890.22201,78717.35437,100520.79745,2755.23331,484.65268,13966.97321,4045.89685,,1539.40724,209647.38656,16699.23884,2726.86078,2210.71392,11525.20528,966.6047,38832.86459,372.40246,19348.52814,2047.98658,4753.05634,5004.97425,96464.10874,,655.28073,1583.89563,3374.82307,18270.08972,1485.20638,1234.36342,450.44018,3074.62712,5621.77851,157.38793,294.56827,615.25142,237.55943,,,
2023-02-01,782906.6246,6689.67915,,384178.69018,10989.05424,12956.00211,91303.43275,3200.64608,108341.86589,58958.9361,13596.43823,23032.58128,27370.51506,67214.33429,103886.12614,38609.94566,57855.58609,2549.18225,19405.17074,13608.48292,17853.5181,3375.19731,48183.60678,1738.64642,90728.28146,6562.95007,23664.08297,123532.02531,953580.00012,417606.22513,247350.87812,5962.18804,3927.64124,77221.98644,92732.99593,2773.41973,523.24566,14354.41709,4149.91266,,1556.03175,213348.8445,3953.21404,16977.16151,1518.08983,12824.84733,999.24713,38061.96652,378.86614,19415.98167,2035.16419,2442.56165,5328.42035,97764.28633,,660.15509,152.75894,3618.42327,18569.54349,1491.33532,1269.26181,498.09335,3106.87053,5632.13146,154.08843,317.92001,617.96209,256.48828,,,
2023-12-01,1309933.1365,14852.18331,8776.37038,536990.01573,13302.39042,10963.72995,100155.0142,3360.59802,131177.38021,53862.20189,15224.13825,23553.60652,48404.98223,69175.57681,84663.09469,53375.5327,67192.6763,1851.42913,46225.24155,49481.60988,14464.27735,2698.36955,34323.03498,1600.56726,187962.0582,8299.14083,48813.89695,197828.6666,1258452.53447,442471.02143,428550.20639,9486.69213,7231.1744,77555.05779,93312.4219,16085.60222,179.40575,15400.66414,6629.92449,,826.4619,287719.02783,9555.57827,15246.69651,10371.40501,11635.84073,770.4712,41531.4977,240.3348,13455.33209,7734.55371,1191.44723,4066.81245,128975.07013,,812.39929,26893.63744,3985.95523,23202.07161,774.87101,3490.80056,183.08017,20741.2579,10412.72681,62.20783,338.25433,,,489.22133,519.97841,
2023-09-01,1141739.57518,11321.78971,9987.03771,402017.14833,12408.15671,12749.83387,88234.51858,4168.63554,124237.43427,60588.11441,16900.64959,21945.66697,31410.74921,65173.18423,93612.06743,47539.85651,60893.71095,1898.92472,46388.52867,50606.06366,13136.16807,3517.59753,39470.20246,2334.3255,146568.68494,8772.88732,38071.28845,172567.0858,1099638.55089,417228.29252,370755.78301,8929.96442,3943.96962,72014.03812,85756.73798,2816.57233,245.22874,15033.54762,5697.05927,,1000.68549,287663.83977,11659.61653,1452.96759,6643.32793,9605.84288,961.33906,40411.10219,334.08101,17694.77754,2000.7958,1294.80262,4493.90385,121261.96012,,580.5385,19198.11017,3959.37433,19147.66692,1040.68744,3582.31175,236.62698,19765.71558,,94.28814,534.39117,,,540.43979,583.1845,
2023-10-01,1230525.89745,13020.9633,10129.25787,482446.82956,12276.69803,11843.47679,84757.48809,3955.98752,122016.73392,58911.65576,16192.45905,21007.50104,43672.68633,61772.98558,90537.02472,43544.7224,64271.37325,1875.81487,45218.42273,49714.79613,13234.68877,3144.09703,38506.95894,2601.37613,164366.35117,8457.37421,38216.16073,175464.02916,1181213.77383,420407.21028,376786.56161,8634.30008,8260.02639,75778.4733,85452.2315,3901.62547,223.35014,15111.69685,6865.10878,,980.10861,287496.31005,10931.23902,15107.47055,6255.80278,9340.55877,906.68335,40214.91149,299.57737,15759.67022,3504.74483,1245.23969,4271.63695,123405.52549,,856.62328,19206.36908,4520.05751,19663.74898,952.18358,3551.48992,219.94803,19268.31431,10048.94734,83.57288,468.37947,,,523.38306,562.42724,
2023-01-01,758234.6398,6990.93781,,381633.13377,11766.06728,13242.64111,91709.2283,3245.58447,104483.70829,59601.51448,13867.59527,23472.33765,27242.38923,64119.31029,104357.25386,39897.30033,58025.81457,2524.49755,19491.11892,14556.18609,17355.83794,3513.6854,49168.38011,721.99936,89995.77118,6646.46723,23724.13788,127160.29308,944480.27391,428103.16612,249172.65535,5747.65304,4000.04463,79952.07126,86262.19209,3694.7778,376.69626,14532.42213,4270.19739,,1583.37239,216121.04062,4114.01996,17357.50886,1557.80786,12879.92965,1049.68743,38350.66808,414.93423,18135.66546,2165.70629,2934.92417,5239.37163,98421.33553,,657.79564,165.00316,3870.86098,18825.66055,1492.44386,1291.64854,553.19488,3120.07984,5548.90352,172.96027,320.04633,609.55421,280.9948,,,
2023-11-01,1238932.68779,15132.85864,10290.93677,478126.49269,13329.65683,11378.79776,89093.24924,3519.77981,126935.36052,56367.47978,15902.35219,18486.57275,47109.59543,69335.67875,87109.15952,53989.71635,64451.85523,1885.32756,44762.68825,49320.13373,14690.5112,2885.18449,36646.20352,2401.39015,181529.80387,8438.38503,40291.80322,182587.38292,1206661.20893,425039.73468,410863.96247,7888.98367,8294.80045,75939.17327,87351.97875,3815.43785,201.41148,14560.28192,6668.67734,,838.49224,282870.79985,10200.77346,15464.24775,5814.4415,8736.23699,840.13196,42232.29486,235.57363,13819.69701,3402.16102,1212.65195,4178.76254,126957.10435,,834.17348,21913.37783,4204.02523,23251.91608,864.52497,3521.17939,204.05505,20591.92101,10261.33911,60.81216,399.52601,,,506.31537,541.58635,
2023-08-01,1118744.83661,11256.66687,9830.5736,392147.38659,8965.13018,10827.63134,87905.15826,3993.78181,124955.21444,62027.63416,16793.85965,23709.29468,31440.7849,66759.41907,85371.24902,47620.80916,53631.06907,2160.87495,37487.09177,51646.42867,13743.07292,3871.55942,39903.88717,614.06538,139817.9334,9217.01202,35163.52847,170565.7469,1099965.46458,419844.12839,358180.44791,9008.68908,2713.3943,75939.34371,88300.95351,2913.88623,286.42335,14961.87001,5841.16516,,1009.19212,289963.77974,12231.36532,2118.41245,7089.2593,10515.72869,1007.13673,40938.27084,396.38903,21796.92634,1572.52897,1310.72853,4591.65748,123396.5439,,593.52098,19106.10839,3991.52827,19982.47572,1130.72686,3603.52429,258.207,4926.41141,,104.9028,592.97542,,24.73773,557.40752,427.11167,
2024-06-01,1536135.29921,21621.35242,,743025.75786,17551.82182,8364.50444,135997.1559,4063.21189,198429.23847,112768.31873,15508.61527,29246.27302,55097.10722,126447.82267,72629.82678,42787.10931,955.69675,628.99642,57268.45597,50572.51839,16522.62955,7374.55174,29073.05063,2854.74943,245985.37403,8007.86502,52752.08117,219884.22685,1603051.52513,410740.04835,566832.93118,6717.2033,8965.36411,110940.87496,118275.92218,14518.23534,274.9922,11132.43179,16228.8893,,532.7721,263108.84853,3908.64727,16238.64314,17870.83435,9581.02531,474.34757,47652.60625,176.771,8132.55647,4956.13851,1030.84567,3857.64296,133305.9171,,238.73248,24869.89263,2781.11264,35868.01349,485.4956,5276.78593,115.91819,19210.59538,9989.21881,,55.85794,,1870.42315,386.46532,327.21012,2177.20147
2024-05-01,1515675.65333,22639.97484,,759823.43581,15702.46633,8945.51053,141752.593,2837.24651,186471.95237,116996.84722,16555.41481,25465.44082,57528.1539,130674.61489,76388.17211,37557.91645,803.12975,626.7352,56089.31904,51543.09814,16295.98288,7960.37761,27306.56733,2254.33889,231894.56302,8032.53806,63085.23633,211475.35576,1569885.92815,433380.27247,568305.91769,7362.71148,8406.44148,112951.16754,109286.68357,15251.57059,285.43712,15416.36305,16699.8959,,585.16216,239411.53086,4890.84321,16228.71914,18617.42186,10145.86328,513.78714,47792.14993,172.87497,9715.7999,5243.89534,1086.53766,4067.8974,136842.37138,,517.36009,26166.55099,3049.29501,25919.14456,578.79711,3325.24014,118.17248,20117.54167,10436.55856,,169.53676,,1950.20155,403.69999,415.82606,2138.41659
2024-04-01,1467769.96764,17415.68609,,747649.12443,16130.98357,9412.21123,128475.03205,3192.31288,183221.54624,107901.0619,17163.30511,25485.17418,57533.06956,129738.10468,76813.24334,48990.34411,979.57978,625.19779,56798.31109,49331.26883,16827.2612,8182.49534,28256.84048,2844.84077,177263.42482,8379.13306,61860.25761,194794.06066,1547112.52787,429101.10289,547225.98843,8588.55296,4564.18993,105003.10925,104667.01981,15539.75022,295.87604,12921.41936,14257.90065,,636.75056,239616.80782,5643.71954,16272.58595,18032.65074,10859.74295,539.88223,51212.4971,192.58211,10744.79455,5458.61459,1139.43258,4331.451,139670.88422,,526.79214,26339.96503,1951.62687,26344.65387,583.43557,3363.4279,117.99913,20395.3435,10557.00612,,225.78701,,1958.09721,420.96152,436.71358,
2024-01-01,1382567.85158,14108.07369,4727.06049,717123.99583,15579.20488,10643.13845,103995.22134,3210.17508,172573.95803,114551.80166,16747.9834,26368.08012,51927.86727,92071.42144,83273.4102,58178.67871,68316.80864,729.13213,46799.68774,50057.92029,14483.88106,4243.43025,31732.45254,2077.23104,191600.89583,7939.83506,50094.75908,195921.53258,1331307.03359,454344.22009,478127.30739,9315.83968,8089.57014,83379.41446,93045.8659,15994.91698,137.58123,14894.29197,6620.85139,,782.66874,291810.77837,8924.97806,15679.20947,11057.04564,12324.51812,701.41459,54056.29336,229.88005,13183.99368,8436.23817,9198.92857,3882.85511,138877.96029,,580.08201,26978.85085,3788.83804,24163.66537,714.16018,3463.59191,162.355,20811.62817,10573.94959,7.43142,270.76561,,1981.35233,472.01203,478.18287,
2024-02-01,1424856.15055,13746.25109,4124.76734,736410.22887,15585.55403,10210.79336,111932.86013,3543.88591,176723.67537,114174.44265,16678.6524,25861.91438,65281.36826,104304.25461,83918.80456,66774.82216,68731.05215,733.04308,46561.26289,50793.85768,16344.91538,4108.60382,30216.64708,2903.93797,169429.37132,7682.29409,57089.71247,196511.90131,1342725.81372,458583.29706,506467.175,12228.34603,7327.14746,81107.23754,100874.73803,15831.91994,124.57033,14051.02443,13029.54546,,732.25575,276956.1815,8295.69306,15385.14876,11046.68913,11750.38171,649.24896,52533.48454,221.38357,12210.64551,5804.14802,9076.29227,4701.26023,143952.32806,,557.77278,26777.38922,2251.80739,27486.81456,722.04244,3436.43628,126.99256,20779.74233,10580.556,7.06822,254.2402,,1968.12676,454.67072,458.21575,
2024-03-01,1396167.33647,12553.2818,3800.53874,732659.6118,15349.10585,9766.89968,111113.99685,3377.62657,177589.05616,109511.18713,15624.87501,26651.84373,64107.41168,120855.54703,67358.27708,63381.47364,67178.7175,716.25108,46838.52141,49498.67475,15945.87194,6872.81187,31645.47203,2990.17564,209104.7534,7738.81167,67431.19246,203423.45509,1358563.71778,424822.24758,515370.0185,5642.34624,8829.93688,101140.30471,101444.96842,15667.41684,306.26078,13501.54035,12622.6563,,681.24278,264746.1265,6385.43582,16153.08988,18517.84833,11676.84332,578.47881,52175.09622,209.78543,11390.7031,5633.65326,1183.45834,4445.45059,140893.43539,,535.11868,26412.02477,2113.16781,26673.87105,730.36045,3395.94466,117.91444,20601.96785,10627.80703,,232.46164,,1964.10957,437.41958,459.1596,
